,lane,top1,top_dist1,top2,top_dist2,top3,top_dist3,jg1,jg_dist1,jg2,jg_dist2,jg3,jg_dist3,mid1,mid_dist1,mid2,mid_dist2,mid3,mid_dist3,bot1,bot_dist1,bot2,bot_dist2,bot3,bot_dist3,sup1,sup_dist1,sup2,sup_dist2,sup3,sup_dist3
Aatrox,top,Darius,0.027551905017821884,Sett,0.028557178693102328,Camille,0.0328226161696316,LeeSin,0.01908109103434728,Kayn,0.020207352809294404,Graves,0.025277197649908895,Yasuo,0.014438107936018069,Sylas,0.015105796717111175,Zed,0.02515307264943244,Ezreal,0.011396551382381305,Lucian,0.01583315498941389,Jhin,0.016731461917905536,Pantheon,0.014141753698249406,Thresh,0.01944009548117776,Pyke,0.020829589181113006
Ahri,mid,Akali,0.01104962889904768,Irelia,0.013225926869296968,Teemo,0.02361434593753728,LeeSin,0.01706448659310325,Diana,0.01849866908079293,Evelynn,0.02113022072674359,Yasuo,0.021219387767554544,Neeko,0.026563227021673536,Leblanc,0.028406783224850494,Ezreal,0.009991053968597232,MissFortune,0.013628514365654466,Kaisa,0.015433992550566792,Lux,0.0076013600231622375,Morgana,0.019665094889367785,Thresh,0.01992729373312006
Akali,top,Irelia,0.006434520383408924,Sett,0.019888943641119372,Camille,0.02727219256586106,LeeSin,0.00804577292319139,Ekko,0.010699508502698138,Kayn,0.012926111808283057,Yasuo,0.006262646478202542,Sylas,0.008531016502512073,Zed,0.010937417813910446,Ezreal,0.0053443966767642735,Kaisa,0.008008096491000665,Lucian,0.009041335424357599,Pyke,0.007671056229474214,Pantheon,0.008550630838427201,Lux,0.009105820650866878
Akshan,mid,Gwen,0.10441764036121547,Sett,0.12832084575094665,Irelia,0.1834783922623353,Viego,0.11496171983941601,Graves,0.11837872658897503,LeeSin,0.15247939231264782,Yasuo,0.12716516232616246,Yone,0.129440788080248,Sylas,0.13090149134170342,Ezreal,0.06582788306538265,Vayne,0.1326481052462009,Lucian,0.13288774722208593,Senna,0.11493376773212888,Thresh,0.15007643038010435,Morgana,0.15399796117983924
Alistar,sup,Shen,0.048110631160342046,Malphite,0.049135733379809615,TahmKench,0.054096677671158916,LeeSin,0.03327621071227819,MasterYi,0.049018760196864394,JarvanIV,0.05562982925769878,Galio,0.02810439744965047,Yasuo,0.037425719120610275,Zed,0.04678450687328157,Ezreal,0.023931906733392017,Ashe,0.04103415124750334,Tristana,0.04275362658485779,Thresh,0.030236502467025726,Nautilus,0.055322411048235307,Rakan,0.0625172763547945
Amumu,sup,Malphite,0.06572263773741367,DrMundo,0.10373367153537244,Volibear,0.11482935030765365,LeeSin,0.09201338982586961,Rammus,0.09220186416250448,MasterYi,0.10223265073672977,Veigar,0.058725406084093254,Annie,0.09538914124172869,Ahri,0.11521265593229141,Ezreal,0.06602312916499047,Ashe,0.08609529363880974,MissFortune,0.0863085196307461,Blitzcrank,0.06520718492378187,Lux,0.09815348892407644,Pyke,0.17469277540881198
Anivia,mid,Irelia,0.05085660895864222,Teemo,0.055004777334747214,Akali,0.055594213874442924,LeeSin,0.04128333180175726,Ekko,0.04184861189057094,Khazix,0.06710829623087981,Yasuo,0.041943392561642506,Orianna,0.05181831646945641,Veigar,0.07228375461312685,Ezreal,0.021714981045532666,Vayne,0.042489017368267386,Ashe,0.047962389582590276,Lux,0.0320728243714181,Thresh,0.04041471027883283,Blitzcrank,0.04738980207702753
Annie,mid,Malphite,0.07958929222527551,Nasus,0.09280311580249993,Kayle,0.09442118962187063,LeeSin,0.09261943001954662,MasterYi,0.0942552100870742,Evelynn,0.11515115528098593,Yasuo,0.07146841540706936,Veigar,0.08216620272835594,Orianna,0.11519096966743878,Ezreal,0.053874875987333114,Twitch,0.06251702186850412,Ashe,0.07831713745478856,Lulu,0.07678761441664055,Lux,0.08443855947256469,Blitzcrank,0.0935049867692015
Aphelios,bot,Irelia,0.029044470386895824,Akali,0.032982106637676686,Sett,0.049368970272542285,Graves,0.03611912832036236,LeeSin,0.0367619263443451,Ekko,0.047821760388350655,Yasuo,0.02863620919651757,Sylas,0.033421408085663774,Yone,0.0467147795626369,Kaisa,0.02660885613323678,Ezreal,0.03289457179987689,Jhin,0.041368719760779535,Senna,0.025395598816648348,Thresh,0.03966388827697289,Pyke,0.05778213156499212
Ashe,bot,Teemo,0.027144439743592153,Kayle,0.04779565261601576,Irelia,0.05165845976660072,MasterYi,0.030940430978405983,Kayn,0.041362150611782146,LeeSin,0.047567091749288005,Veigar,0.025337675806208115,Ahri,0.02653635027610291,Yasuo,0.030190058158824078,Caitlyn,0.025549452775477377,MissFortune,0.030927890692072416,Kaisa,0.03463765907709572,Lux,0.018677379467527084,Morgana,0.026521146630570563,Senna,0.02708833297263245
AurelionSol,mid,Teemo,0.13366834975890318,Akali,0.15312118976620318,Irelia,0.1576266620201481,LeeSin,0.11536376016969176,Ekko,0.11815126952582483,Warwick,0.13601424379830723,Yasuo,0.1286169739864579,TwistedFate,0.16844106947926768,Zoe,0.17923637540959117,Jhin,0.077559283083663,Ezreal,0.0787022969151245,Twitch,0.14577443191774436,Xerath,0.1035564292986881,Lulu,0.10394890967051915,Thresh,0.1197181988137711
Azir,mid,Irelia,0.08385226119023818,Gangplank,0.09318909046105542,Akali,0.10553295824016842,LeeSin,0.05074603779526915,Ekko,0.0933153372965279,Taliyah,0.11441204833482399,Yasuo,0.09741031129607824,Viktor,0.11802531712677879,Zed,0.11885804890881439,Ezreal,0.058059347270104006,Lucian,0.07065667720891912,Vayne,0.07189352369888934,Thresh,0.04377848397216858,Pantheon,0.08011914787208933,Velkoz,0.10428467375980925
Bard,sup,Gragas,0.04046010109683185,Sett,0.05409821397297062,Akali,0.06615265788734158,LeeSin,0.027945294964200448,Graves,0.05241912391813752,Ekko,0.05283815205558672,Yasuo,0.029110340889143223,Galio,0.05011681988607991,Ryze,0.05196912247182358,Ezreal,0.01730423861139244,Jhin,0.03184802875394043,Caitlyn,0.037945752392965694,Thresh,0.024586873332379276,Pyke,0.03770969460486393,Senna,0.045259013248974723
Blitzcrank,sup,Malphite,0.01558222391835205,Teemo,0.019078787867656873,Garen,0.02421910397607542,LeeSin,0.010778264134534577,MasterYi,0.01707373107881168,Warwick,0.025277155714671335,Yasuo,0.00929544472954454,Zed,0.014674602723796396,Veigar,0.01760787813742587,Ezreal,0.00748467291293058,Ashe,0.016223652830727457,Lucian,0.016829940425174456,Thresh,0.010258456710486238,Pyke,0.0216607226107924,Lux,0.023067329097607347
Brand,sup,Malphite,0.03399739295615042,Teemo,0.034345737746485756,Garen,0.05414212319048523,MasterYi,0.04711628642877517,Kayn,0.04865886377991916,LeeSin,0.0492874306325075,Veigar,0.019577499735633084,Annie,0.045823588473264586,Yasuo,0.055158399811739436,MissFortune,0.02745419931458291,Ashe,0.028108723538384284,Ezreal,0.028182182645408962,Lux,0.03194744754011201,Morgana,0.04578606389104511,Amumu,0.07611133133202179
