Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
86,91814,75,89144,99,77068,32,56638,117,35227
157,137297,777,57998,62,27081,141,24226,266,22471
222,395187,518,213365,350,127739,498,113112,145,79875
98,153711,141,79765,5,75819,19,75211,11,73228
143,64077,59,53913,11,46980,412,41843,126,38971
412,528698,157,214168,53,189784,555,129553,202,128926
777,121298,102,102065,412,94040,53,90878,99,86260
36,44978,105,31940,45,28589,34,28216,19,25171
119,42238,421,39491,86,39132,23,37495,498,36749
82,77714,10,41014,33,30770,25,24158,106,21895
238,41620,145,36373,360,28452,45,23983,99,23763
245,209767,555,177654,56,164306,875,102451,83,96441
99,283413,113,246681,202,125800,498,120896,43,113330
11,83242,145,74981,238,67461,5,62458,110,61003
111,56668,24,54000,555,37869,18,37428,12,36202
19,71410,106,55015,28,49401,131,45917,141,45377
99,241662,497,140769,16,135788,235,87125,222,86374
222,141051,11,91534,35,68895,19,36486,91,33770
111,58654,21,54652,89,54549,25,51388,37,49818
875,41914,5,41821,145,35760,22,32819,236,32699
498,279660,497,66696,16,45387,412,41349,99,38794
157,144504,55,140418,202,96222,92,66385,517,50645
157,60115,11,49116,5,45791,141,44090,266,41918
131,355305,55,181425,11,166043,99,103966,84,79922
136,267613,55,193114,82,133136,72,133132,9,122964
9,246600,19,163624,11,73876,99,63843,147,42531
53,142354,141,77613,40,57992,497,37142,5,33614
432,74734,412,67185,497,63778,44,36101,89,22692
77,83184,35,56659,86,40684,81,40079,14,38245
25,211188,103,127309,34,77630,143,70766,134,69086
31,103385,75,80430,86,57536,6,23915,412,23358
99,129027,498,109536,21,102545,84,98618,55,96272
39,318402,9,186000,240,98746,53,95817,86,93807
157,116080,45,69069,555,59379,517,34539,238,32754
122,314666,234,60016,555,43045,875,42025,45,41912
143,130020,89,124880,25,118047,53,94789,63,92826
12,149301,18,143194,64,128086,104,74886,236,72127
25,63236,75,52128,45,42480,78,38920,63,29427
111,271964,143,265226,63,106913,25,74619,11,43222
516,207983,497,123139,82,104351,106,101324,517,96355
28,213086,86,80888,420,59078,17,54132,101,50238
142,89598,84,63328,498,57374,350,41853,28,33350
143,134422,53,116006,63,59680,25,58561,45,39367
150,63602,157,45723,202,44948,92,41805,84,39565
16,107800,19,48604,497,40972,37,38824,91,34201
29,95197,238,53045,157,50057,17,41495,24,38176
39,202484,412,82869,25,67186,69,65186,142,52751
42,107318,69,84073,161,67808,517,39648,10,39131
141,56293,84,54962,245,51789,39,38380,517,32240
21,300771,498,216456,99,177750,22,131716,18,128685
15,56140,25,54045,81,50057,63,49985,111,43335
21,308479,25,110325,143,56505,51,39379,16,29010
19,135060,98,94113,2,90697,53,83455,122,80767
245,241212,412,222043,64,187887,35,139798,25,82275
1,48050,245,47428,234,43744,99,39732,24,36592
99,60113,86,54783,29,27945,245,25351,11,23867
21,203886,235,86678,498,86310,145,85477,222,80053
142,194203,84,120274,50,115117,54,71304,432,66087
141,174411,19,90808,11,89899,53,73520,86,64815
53,109114,157,81850,412,51775,59,39607,161,37740
53,45693,16,39929,89,36244,54,34636,45,26995
39,52192,99,49665,42,44949,131,40496,134,33492
17,68689,99,66601,157,60603,238,56591,21,54072
157,99617,103,67715,45,60400,238,41851,51,26905
25,217819,267,148564,37,93974,350,72412,17,65684
64,180042,157,164550,55,103797,67,87361,412,63846
777,54974,86,39305,518,30353,234,28649,122,26127
99,461008,103,225635,21,114739,25,107040,81,90870
28,123884,103,68710,222,34662,99,26938,142,26914
497,118434,24,112916,875,99648,555,93572,157,65270
17,147743,6,141090,19,119558,106,90895,77,83720
103,220758,223,127670,17,122514,161,118642,31,88675
78,640727,99,77081,86,76010,157,63886,121,62885
17,185374,59,52924,23,37631,120,34859,36,21075
164,96295,25,91144,555,75478,432,69141,19,64705
10,132353,98,115079,555,68872,711,61887,11,59066
99,126221,35,107197,53,81007,17,79393,238,68834
150,103977,516,101457,98,82060,37,77970,3,57593
157,427820,11,117755,141,100597,84,79700,64,76557
238,426407,106,197965,24,186749,75,172627,82,148419
238,130006,3,118458,26,41973,516,36619,115,35829
75,229893,58,103526,98,89064,22,82642,78,77977
555,205049,157,89683,99,83441,6,78976,11,78732
141,72132,41,46947,234,35336,157,34082,203,30509
234,199324,121,61102,35,51008,777,28250,141,24021
99,406135,22,97008,267,91688,43,86876,142,80100
11,190444,83,186367,19,180143,75,138666,157,133692
555,181927,54,141872,21,71537,63,62623,57,62319
141,158153,54,51643,523,48962,25,47743,58,46330
39,113865,55,95755,24,40658,45,31471,238,28704
54,212273,777,45202,555,41363,36,36091,517,25394
157,355516,44,320760,202,183930,55,149297,523,132999
360,66335,22,64313,10,63760,114,60776,23,57196
18,166084,235,122492,412,109121,43,97133,15,88024
99,420283,16,119160,92,90952,21,90038,103,78636
110,84019,245,77600,67,62364,157,53500,17,51512
25,103127,63,72189,555,61099,412,60412,89,52876
161,160603,267,40774,412,33770,79,30402,163,27811
121,112425,238,90520,99,90354,21,63383,17,61854
201,236280,86,74388,53,46892,82,43286,222,29653
23,84574,74,60241,18,55329,39,51738,33,40437
55,229015,238,99224,157,62980,92,39628,498,36257
