Champion1,Champion2,Champion3,Champion4,Champion5
555,111,245,145,89
238,157,64,105,875
21,15,25,96,143
202,81,84,141,121
122,24,19,875,82
141,157,11,86,64
86,17,11,106,90
142,45,29,89,18
41,202,14,27,79
497,16,254,7,555
37,99,25,22,110
238,8,412,157,141
117,145,75,54,50
141,90,45,53,26
150,238,875,497,202
3,114,85,111,150
141,80,99,21,157
412,517,4,64,7
20,235,78,518,99
119,202,498,67,51
55,81,141,234,105
99,101,23,141,157
115,59,111,56,497
555,202,412,82,141
12,222,131,99,420
222,67,51,157,202
157,61,777,235,268
8,67,81,157,145
3,161,131,81,84
92,55,157,107,69
7,134,25,517,111
432,98,240,412,80
62,13,112,268,101
412,497,8,64,555
75,24,102,86,31
3,50,89,555,12
134,127,43,22,55
161,45,99,26,63
11,238,157,202,141
69,61,103,7,8
25,22,16,17,143
92,498,103,67,267
254,102,82,25,141
21,222,11,202,67
420,111,57,17,67
223,24,98,59,11
266,24,114,19,59
238,103,518,99,777
91,141,55,92,64
34,101,32,113,120
412,11,28,238,131
67,81,157,35,202
157,412,55,53,64
55,497,412,245,17
164,114,8,246,887
104,16,92,117,24
104,222,236,18,29
518,81,16,267,360
157,64,55,238,99
63,25,202,21,166
240,13,105,103,266
92,238,246,61,268
114,86,254,141,875
157,238,18,412,202
27,6,516,41,25
119,67,51,412,64
8,86,13,497,84
107,92,202,238,114
6,82,14,121,157
7,38,8,58,13
69,63,18,45,238
157,82,887,23,24
154,81,9,64,555
141,81,105,82,21
67,38,236,51,202
41,5,33,98,72
26,777,157,22,80
157,164,420,245,55
202,6,84,106,35
154,80,59,35,24
17,157,202,21,141
266,412,28,19,154
235,111,497,147,143
14,67,51,41,86
55,238,157,119,67
8,523,91,164,203
157,122,238,75,86
11,114,35,24,84
157,55,777,517,202
245,268,157,45,222
99,45,555,25,498
497,267,131,201,12
12,432,420,223,23
64,67,157,81,9
202,432,21,18,22
141,81,19,24,22
58,202,92,77,266
82,99,78,517,1
99,103,518,222,117
12,245,63,89,267
133,105,131,245,157
154,69,50,26,81
92,64,41,157,79
22,54,89,223,81
202,81,236,145,51
89,117,412,99,25
26,63,412,134,69
23,2,157,22,202
412,55,84,497,81
17,145,22,114,53
35,64,412,80,79
143,555,235,50,202
245,56,131,11,5
157,238,11,105,86
145,84,81,51,142
412,150,432,90,62
777,238,80,518,90
55,8,777,99,81
157,122,120,114,24
157,61,99,134,101
101,142,81,3,64
92,99,202,412,81
150,17,122,420,875
91,518,28,266,115
78,114,39,17,14
236,246,18,67,119
103,28,246,69,161
412,497,157,432,64
92,29,64,157,55
28,157,24,121,77
7,142,61,34,55
99,55,103,145,84
55,39,245,246,234
44,51,412,145,523
412,516,203,98,51
90,89,412,99,63
154,201,32,86,113
16,267,40,350,99
238,8,67,41,157
35,238,99,161,64
98,157,10,412,99
55,157,104,202,238
246,161,555,142,518
6,122,3,875,36
497,89,201,111,12
3,103,36,201,61
113,141,102,15,24
3,111,6,555,53
64,84,59,555,81
106,157,238,84,141
121,238,254,21,222
32,45,202,51,21
412,53,223,89,85
42,45,114,112,99
64,412,157,238,55
104,120,121,245,141
28,31,245,19,113
157,105,55,67,236
86,121,202,201,235
86,350,89,44,9
21,350,115,45,99
142,145,79,64,53
11,77,157,67,24
157,360,105,202,121
67,145,81,8,360
67,222,29,145,202
86,58,54,122,164
17,11,157,1,107
236,67,81,145,202
150,106,58,875,62
103,62,28,131,145
90,34,40,63,45
18,10,235,58,53
157,238,84,777,91
157,86,266,41,64
69,12,412,43,53
75,122,41,11,120
120,86,421,157,122
31,122,114,236,8
25,43,161,62,80
25,222,121,131,99
18,17,157,145,202
105,75,69,86,420
81,102,18,236,99
89,350,99,28,21
6,81,18,145,202
24,236,22,67,107
50,245,222,238,157
202,29,81,498,84
2,223,79,77,83
875,516,122,86,497
107,121,238,157,64
350,161,86,555,9
64,157,35,99,81
81,157,126,92,18
427,421,60,64,79
157,84,238,517,236
157,238,236,18,222
238,157,202,119,29
24,157,92,516,75
142,110,21,51,202
234,86,36,122,82
412,432,64,104,53
98,114,85,51,76
64,412,517,18,79
86,28,23,222,19
6,83,82,75,18
64,55,157,107,77
72,92,107,39,8
107,516,150,234,6
245,157,164,202,238
202,236,51,22,81
86,202,122,82,157
113,141,22,25,122
157,64,126,4,22
238,92,67,157,145
145,498,28,22,21
412,497,111,875,201
157,238,41,517,126
53,35,9,99,79
157,64,57,412,53
157,29,121,67,236
64,238,245,105,222
19,120,17,62,102
238,7,68,58,10
157,64,122,86,81
29,105,145,350,55
157,58,238,39,119
81,61,202,99,51
119,92,29,81,67
28,54,127,32,60
39,145,150,41,92
222,51,18,76,67
92,13,254,131,24
45,161,101,11,1
412,432,267,121,222
27,245,134,29,80
412,64,53,81,161
55,7,238,64,41
157,16,99,86,53
29,157,64,412,67
6,157,35,235,147
92,24,266,58,875
39,86,75,58,82
101,104,63,80,115
412,201,432,6,89
142,61,84,517,163
122,82,86,67,90
238,122,80,111,29
141,245,202,517,64
30,120,26,555,83
32,103,24,81,14
412,19,141,555,497
2,23,103,24,112
245,9,523,36,234
15,203,28,145,22
421,64,107,121,141
39,134,157,75,45
67,498,117,18,60
67,157,238,64,222
131,90,40,43,111
21,64,238,202,81
51,119,22,81,67
238,84,69,245,141
157,254,141,24,412
143,147,518,99,111
145,80,81,202,875
64,13,131,98,84
11,56,86,19,17
107,53,17,114,14
122,107,86,36,104
14,142,238,17,99
121,102,28,20,23
6,36,24,114,83
161,90,85,61,134
25,111,99,103,43
29,90,202,67,35
202,145,81,157,523
98,157,412,122,84
145,29,67,157,107
21,222,145,51,22
157,202,238,517,145
117,145,202,103,99
45,17,67,61,420
89,39,81,222,145
55,84,145,166,67
99,19,17,55,1
131,498,99,429,11
161,69,157,67,64
58,238,421,19,145
555,246,143,360,50
28,51,29,59,22
157,67,222,142,202
110,55,81,67,103
35,245,17,29,67
45,81,18,33,22
157,119,67,55,141
412,555,202,81,222
240,6,202,84,412
24,51,18,126,81
64,59,51,2,412
497,412,157,202,31
141,61,84,103,19
497,412,111,117,145
