Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
104,222461,64,144586,76,113230,246,68187,28,59210
412,57443,68,53922,21,51590,157,51441,18,51034
67,196814,157,136290,238,105755,64,82743,222,73239
240,105132,150,87680,6,54318,875,49536,420,46169
91,439786,518,70652,28,67779,266,52598,115,49966
81,61638,145,44628,157,41832,17,24699,67,21933
50,257826,202,207977,266,189319,106,88828,75,77677
19,1095248,48,391716,106,297791,86,263841,141,190921
67,121873,236,94293,202,91522,81,78039,498,74527
122,392090,412,296839,64,262502,238,254220,29,254012
161,543364,63,233721,22,183354,498,173204,99,172876
64,174317,28,161443,19,101803,24,92076,56,91241
19,163059,2,61835,113,56992,75,54124,36,48334
67,624178,238,289018,53,284255,51,198897,157,193072
120,315206,23,271882,18,269649,81,258380,13,231451
21,210885,222,161467,11,152967,202,141427,67,125915
24,300573,51,157800,18,151982,126,147349,81,146994
78,455964,25,303799,19,211830,142,179789,164,132018
89,251442,53,224252,40,203814,86,116635,111,82245
41,701121,64,455132,555,389995,412,218392,24,131238
99,321907,37,214904,25,127682,350,120434,24,94090
41,312269,202,222734,14,156050,27,142184,79,121880
150,105359,55,102352,82,79098,412,74126,164,66966
238,294539,7,149675,61,85489,268,40029,8,33819
202,450872,29,191908,45,162254,24,147427,99,107792
157,327232,38,241571,41,188654,55,152187,8,111402
81,118992,222,118514,145,113956,22,108098,51,94340
81,82031,412,62201,113,59658,57,49904,64,49453
28,571057,23,278896,89,139179,32,86578,121,80455
103,294364,99,188506,86,180550,11,101430,147,62721
141,220755,143,161102,101,114175,245,113557,254,80700
75,177328,161,138325,86,119992,268,112461,111,98948
157,298227,69,184310,161,181906,64,116164,7,76538
55,388716,105,218590,91,144113,10,81677,25,64526
11,446586,86,225340,59,182327,80,171850,238,159847
161,483970,236,136517,31,126515,22,48641,136,37550
157,144114,119,107498,145,102434,64,102003,67,97299
122,293199,24,153381,19,120461,875,110632,82,100079
157,169236,17,119106,25,79624,238,62307,23,56511
555,136179,89,118724,55,91015,202,84975,114,64894
80,189232,254,94808,11,74878,45,54515,23,27759
360,120758,412,112979,202,99574,498,87847,238,86595
84,159232,122,108269,86,106460,106,78685,350,62202
131,84307,99,59933,78,54320,32,51161,254,40199
157,201145,238,69080,64,51762,107,45498,23,43200
81,244013,145,163263,141,147926,61,134690,69,124012
51,151295,145,70935,67,66515,18,65113,24,55299
23,55931,223,54751,98,54364,40,48631,77,37102
145,85450,202,78587,81,72900,90,58818,236,57683
107,320306,145,218600,236,187924,202,165033,86,152754
107,176466,53,104700,17,81285,114,78236,14,73338
21,242210,61,192474,84,91649,222,81887,22,81545
161,74217,141,67650,61,61870,101,60561,99,47474
157,469827,55,297619,84,203321,238,179285,64,88926
69,268792,157,70634,161,50640,84,38123,141,28252
35,489046,161,96757,54,85918,21,67155,90,54202
202,288049,121,93355,69,74957,222,40589,51,40132
39,242360,107,180460,6,139922,41,113781,150,112578
99,642500,25,254891,43,232417,350,230192,117,156861
267,340603,350,116094,43,114675,134,110162,25,91567
10,281258,4,96085,92,81189,51,56220,13,39895
236,64672,234,62205,157,58077,81,50492,80,43224
202,126592,106,86636,101,52049,420,48611,412,44338
29,1713456,202,322164,21,230751,157,224280,64,183106
62,212969,13,137774,112,109980,268,91501,101,72109
141,113918,11,104911,99,88619,122,84989,245,82525
115,157613,99,60001,103,41344,51,34238,24,30614
164,99249,875,73218,86,57326,234,30621,122,25752
498,201146,202,141886,145,110821,51,96858,21,94860
84,160599,555,94609,39,71520,429,64593,246,63687
25,808392,143,273965,111,263833,22,181386,99,162220
41,49675,91,30027,161,28413,122,24987,17,24251
236,39472,67,31357,21,31006,145,29385,39,22990
30,207485,875,130704,82,109160,29,109070,63,104503
202,144289,141,141809,101,118406,33,92519,54,74346
157,147297,75,114355,122,78206,202,74599,57,73717
64,209681,222,112365,145,101568,67,96111,119,77461
157,280894,64,138639,84,132068,238,114278,39,113673
98,334180,222,232615,10,216587,6,143245,39,140710
22,245039,67,65196,131,64548,34,49165,13,34412
67,231711,254,172113,1,160542,18,99230,77,90756
62,180435,19,63019,122,46728,86,42129,5,38256
157,127519,24,101517,39,80166,164,66129,41,49327
157,123142,202,100601,67,68691,121,61322,45,59186
202,53840,39,46906,55,41408,91,34936,131,24991
67,513031,202,459012,41,395926,157,318426,29,270634
157,158031,82,143815,887,102669,23,77132,24,61573
64,315635,157,146141,141,116168,412,71500,222,71066
77,258454,11,202346,86,170462,75,136025,234,104529
25,116681,36,91324,103,85855,157,76844,69,33799
50,644044,267,243345,101,200567,99,131127,25,101423
6,610749,21,243981,86,151617,82,100604,11,94460
86,186614,17,176700,11,135837,106,134004,90,121934
134,41361,105,36700,22,28020,18,27863,141,24372
107,205845,55,124534,68,44553,82,40877,254,38450
21,198782,35,149448,121,147848,83,105487,13,66890
141,216025,99,205181,497,170062,238,134858,202,123354
498,354946,145,276364,21,254780,25,232729,51,224572
143,250654,51,182088,61,135945,222,130690,267,130556
99,527371,267,470313,16,261718,37,203539,117,171534
157,314007,45,221732,105,73257,64,52654,122,51494
107,251041,28,221390,104,190042,64,154360,9,115537
104,241039,120,135919,121,71399,245,51002,141,47690
113,314330,64,264504,59,250932,60,189026,48,156759
157,153898,105,97772,55,72154,67,55504,236,47877
157,497910,79,141251,101,105151,238,76626,7,53238
498,217397,497,183691,163,118982,412,103189,201,83325
37,635295,202,250323,21,189342,136,167007,267,145882
497,259581,267,229015,131,139357,201,106136,12,105699
145,1897413,498,267579,222,225244,875,214249,223,188955
236,118249,157,68590,202,53732,64,42311,67,41722
45,202124,17,124281,67,94059,61,79794,420,76332
67,76031,81,67596,498,58209,18,33106,202,32854
89,275721,267,112635,35,107358,150,104624,498,65159
131,689438,157,325895,777,188351,141,127774,517,108055
157,487412,202,356752,8,151389,145,124013,104,84006
157,266081,67,248397,202,138944,81,119143,238,108641
60,81592,11,41437,2,35728,29,34916,104,34914
266,203789,412,74919,154,74395,202,60968,48,60878
157,240939,64,89842,57,88736,412,84914,53,57545
523,170817,53,169528,21,124182,81,117383,17,102354
19,161341,555,144691,432,91529,141,90539,9,78513
235,146354,32,110499,58,94370,102,89983,131,79040
119,583667,104,133392,67,81221,141,74438,202,72023
157,338721,11,297239,141,140339,555,106022,107,67807
498,270951,6,213171,22,107909,412,105473,30,101119
245,177094,4,166427,84,161256,157,114022,98,99416
157,38948,51,33184,81,25675,412,23035,523,21162
238,377246,157,181197,75,152520,412,119076,82,118675
55,55471,39,30923,245,29328,246,27847,234,22655
427,364342,11,216348,106,115986,497,91683,36,71998
51,313578,21,240360,18,187074,15,110092,222,73661
236,94918,67,70303,145,34323,498,28040,18,26851
55,367019,7,229811,238,163610,64,103009,41,81586
119,247489,84,157376,55,155686,81,135977,145,132418
412,223040,50,175332,44,147343,99,112352,63,112133
202,165868,51,161911,236,124913,21,115067,29,103194
161,337041,69,193403,157,92208,67,73806,64,66719
238,169100,18,138536,157,108658,84,86362,39,83523
497,124584,89,123861,145,98924,81,98770,115,81369
145,95828,141,92486,11,79924,157,71000,131,70472
55,254856,157,173912,131,133784,238,123280,24,69560
111,222990,555,207290,12,111893,25,65692,53,65590
202,51014,41,39783,51,29070,236,25922,67,25767
222,119434,92,114640,1,114107,18,106287,67,95848
498,285924,22,265630,222,167901,145,158978,99,135255
16,456572,267,429714,40,339541,412,65784,117,58543
45,149137,126,57011,203,48170,157,46486,64,40301
24,182427,164,87141,31,73613,39,62802,58,51189
555,101813,157,89290,119,54346,141,52472,202,43268
91,168915,84,122425,55,108698,43,92873,18,86709
84,426865,55,349698,45,165931,61,113594,238,107669
51,141126,67,109099,202,102704,54,94930,104,80807
76,74246,104,60568,64,57448,164,51761,121,50851
