Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
122,433449,157,163749,202,161977,75,138303,150,120999
29,271476,266,135922,202,126645,141,72412,19,68304
157,225742,99,138390,202,115191,67,104684,555,82961
142,417452,103,264129,13,61182,56,41178,20,29448
98,381999,201,213370,110,166762,107,133278,266,95286
55,178001,114,98362,23,81864,106,70577,61,63611
35,296611,157,183785,202,177733,555,171169,497,151926
84,425311,412,163339,64,129871,145,121252,157,82984
202,103134,412,52151,67,38982,238,31944,555,24260
222,441139,157,224917,50,194204,59,138406,412,107790
142,364811,45,225053,420,194581,75,159210,54,111843
99,356010,15,149366,21,121302,412,104893,67,90604
157,116515,55,105498,39,90681,141,69055,84,66069
19,296434,99,148872,147,106254,141,92877,2,92669
121,247442,412,119892,31,111680,350,89411,102,78246
143,665829,267,89783,55,50280,61,48725,21,43838
202,263069,145,262156,81,181610,41,164939,236,157045
113,100817,48,78334,32,63543,17,63290,106,61548
555,258336,21,109376,84,90490,157,66079,238,48643
28,323665,33,133178,86,108906,254,56996,84,56631
11,141147,222,104348,19,99561,120,98146,96,69814
555,314475,84,99297,157,92016,43,90699,412,85694
555,98957,19,89543,77,56568,9,31026,82,30741
18,399502,50,338252,145,229228,21,223733,103,216302
142,474235,78,213575,111,151585,498,112082,497,100456
39,67822,64,65258,35,36308,112,34565,14,33033
55,301988,157,175267,25,122943,161,119997,38,105230
267,341828,17,184784,117,70919,86,69982,57,59989
29,533887,6,193569,34,193540,32,164761,22,148282
8,63753,91,51552,157,48202,90,28158,236,23739
23,920063,223,303020,420,225598,98,175117,57,84135
202,153398,122,148385,12,124914,497,85934,412,74532
412,216127,67,87476,63,86540,89,85303,12,61182
15,79767,157,79470,222,43943,22,40348,81,37899
59,147612,28,132366,254,67095,11,59372,154,55482
55,510565,99,396149,21,174327,25,119599,142,111907
420,408126,86,221634,164,169280,54,105398,24,98599
157,148803,17,106272,202,90264,45,82445,119,58854
157,74238,161,42500,246,37820,141,36678,86,35610
86,402367,25,387466,518,313605,113,238640,22,214266
25,204534,43,133747,50,124343,53,97860,80,88582
58,68603,98,64711,106,61395,432,51003,122,50202
238,165437,58,103069,63,77444,23,66908,86,57413
37,175677,99,148562,16,145224,267,116719,143,116503
136,52554,23,48860,24,38081,37,30269,77,28058
77,214907,157,160538,238,154620,141,137880,64,117606
84,111779,161,91338,69,84527,777,77824,55,68024
76,137106,236,42100,107,32286,131,28135,254,25554
41,128788,432,126260,245,106628,429,87723,64,72186
99,40859,22,28700,203,28092,25,27271,147,26811
6,687122,120,78330,111,73394,54,68688,57,60653
91,474593,238,279548,64,174206,157,148426,518,85139
202,1256373,104,483017,81,253538,145,214941,51,150141
82,117844,10,113598,86,84598,111,64012,106,56614
246,153239,28,112739,92,109598,266,108744,876,103521
157,275597,120,225336,29,218849,121,184107,92,160556
53,75376,25,55732,89,52847,350,47044,147,46181
58,264701,23,88069,24,60106,240,46943,133,34588
238,313599,53,215917,157,179383,89,101704,7,95512
202,74273,141,71550,523,34567,161,32516,157,30752
67,139957,202,30940,238,27183,64,25143,350,24338
99,390193,21,239840,67,161315,53,100169,15,98091
105,169571,161,99529,245,91668,18,79689,122,70759
202,325610,67,234475,245,170364,18,106720,145,102632
69,153115,157,135805,86,131299,238,95957,89,74013
133,2546146,31,218723,5,216188,24,181857,18,112603
45,124811,3,55656,127,44919,16,40450,50,34079
121,281497,141,114569,245,104421,202,62573,41,59129
55,374716,238,180448,157,121541,134,30582,18,23940
25,670883,99,561532,147,274172,63,210107,21,169183
63,56506,202,52769,110,49937,81,47214,51,41365
64,80884,81,55788,53,51094,17,47795,25,46856
64,828167,8,178939,131,161841,104,123193,120,98323
18,128057,67,51248,45,47716,21,28664,24,27308
498,88258,28,81858,114,52957,121,45508,99,37410
119,142484,202,111696,75,100534,23,97665,122,42474
497,537866,37,323121,117,117422,267,114507,89,110647
223,73873,117,66857,99,54528,86,45361,67,42539
238,493033,157,230077,122,218337,99,79266,64,52516
53,224754,89,183023,412,170672,25,85210,40,69247
157,443725,238,225592,92,168456,7,163371,64,153540
45,249189,75,236835,6,105245,91,101632,11,88871
67,109121,92,88104,412,87527,145,71328,157,68497
64,187565,11,79746,121,58289,29,40320,53,32782
39,719703,54,713049,56,316650,18,260212,11,172139
112,134203,114,83419,12,68446,3,68018,41,56831
202,395074,21,236100,99,173861,39,172031,516,161174
24,33421,13,30160,143,29482,131,27602,121,27328
99,199216,202,188167,61,94677,131,83622,523,72701
67,162507,105,125950,75,109215,24,107400,157,96614
81,208968,145,203887,22,194458,110,139672,202,127496
223,68322,427,49866,876,42975,421,32131,25,29459
64,67726,24,67476,202,50692,23,46442,157,45813
35,219713,143,97666,121,90207,64,89183,141,77966
99,306369,16,287836,161,194861,40,134823,25,133277
25,254245,89,115733,37,70833,99,61302,350,59643
27,269617,266,120094,245,118037,141,109245,145,102453
83,409393,133,370877,6,165527,240,44055,31,28521
238,169857,202,115038,119,110145,84,108060,157,86033
55,415129,150,125104,84,73920,39,71550,75,60338
498,435679,55,395971,555,299792,412,288448,84,263247
157,414978,777,129061,517,113761,112,78980,412,73269
23,1428513,75,169886,122,101706,157,68273,11,66432
86,154108,82,49650,14,47591,875,44591,36,26671
86,288346,420,203973,82,183298,21,134975,161,127057
99,428487,90,190228,45,146381,101,91581,134,53843
497,255487,76,130215,157,127297,432,120483,79,100118
432,210235,111,194928,555,100799,875,94249,53,91458
69,324048,28,85530,115,65508,103,56547,163,45396
157,920343,245,180873,141,157496,84,136864,91,118719
555,103807,131,60139,53,41887,238,21541,32,21265
54,232784,12,209374,101,123018,412,121069,24,111430
10,218973,86,102472,62,67845,39,67024,235,49672
43,105466,25,96484,133,78577,45,77681,51,73186
99,114924,86,51437,18,32996,145,27828,19,25188
51,603570,22,370995,222,270962,81,255183,18,237347
11,91572,24,67859,105,42744,107,25254,10,23961
498,136134,81,108935,18,90451,22,89489,267,89053
163,180809,235,154756,96,128635,246,111558,85,75122
111,52359,53,38011,92,37302,254,32987,33,25524
141,217838,19,140473,86,94488,517,90823,23,81550
86,728692,6,344937,17,304459,50,214596,83,212344
22,139315,35,132884,18,131414,17,128974,29,114731
89,235748,412,84058,99,59682,131,40009,106,39910
55,195602,157,86695,238,71260,246,57237,35,44502
223,244094,26,144483,115,114818,43,107699,63,91981
145,146916,24,118086,11,96111,77,88296,235,85234
412,128741,8,98242,90,75166,32,61387,75,52505
235,140402,104,133671,48,67689,154,64666,36,60813
84,323950,11,179285,24,118183,238,116810,54,113081
59,86545,39,73717,2,56455,86,47094,102,34812
157,305821,222,150260,21,149498,55,140992,202,136814
83,229304,141,211032,23,204419,101,162965,122,147915
115,463295,104,152197,142,135665,7,109359,35,109125
18,169147,202,152777,21,124275,15,108880,145,106845
77,181226,63,168995,40,132721,254,83847,1,76761
202,117713,15,85912,69,74700,22,36727,4,34283
141,114909,11,88096,17,78734,77,77117,56,71035
24,192952,86,166681,11,112609,120,101641,20,94738
238,208774,157,142198,202,138787,107,129185,3,106953
23,685015,91,483598,8,235873,62,209559,86,200946
101,465180,134,87769,222,67217,127,61635,50,57476
157,108765,202,103403,45,60569,238,50616,245,45159
84,191814,157,188646,92,155024,121,135882,29,128871
141,281001,104,187909,64,129004,145,128779,81,108060
141,116868,245,69688,236,61145,518,54853,145,30998
55,184449,412,146779,53,146353,67,144100,64,113594
34,274903,81,146530,4,146328,145,133510,61,122478
114,217732,122,113865,516,96569,427,62882,10,57758
55,83728,92,69554,8,69516,238,58664,39,40300
67,49654,202,36386,81,35567,222,21674,18,21056
101,58781,20,37667,56,32646,110,31592,21,31108
157,149910,107,143346,92,121179,55,94040,238,85978
157,370760,107,228525,245,218090,141,197025,35,127620
35,159857,9,147738,223,130983,427,125254,36,121355
157,558373,25,92883,92,90690,1,80022,238,73996
497,62472,86,53322,81,53072,98,51579,201,50135
202,192158,5,142968,154,141171,67,82801,102,75554
141,160148,24,126405,32,113990,131,82523,121,61246
161,108321,157,48014,122,44465,23,37553,21,33454
3,158861,122,138901,82,49740,24,44192,105,43030
90,244765,99,242927,25,157316,45,81009,133,69139
238,246277,7,173495,157,151009,84,113134,64,94743
412,168807,133,115016,432,88715,150,76077,53,72518
41,361137,157,157454,11,55915,50,38845,245,25413
111,89188,89,80736,53,75304,497,66423,25,62459
236,213124,21,176260,145,155168,17,144649,18,93935
17,86824,120,58345,84,51153,81,48901,163,45525
89,84600,111,72875,44,62166,497,46944,3,34683
31,183564,54,134362,32,55950,35,51160,44,50456
17,696335,86,192351,45,113150,75,95808,54,50072
19,274679,21,253629,432,252916,51,233915,222,207323
157,44573,141,42946,64,40878,245,36531,92,33630
81,199709,22,109640,236,90880,51,90383,110,89453
55,358109,14,223315,1,179882,133,142304,111,125062
35,269603,74,225160,92,63485,80,52172,27,45714
141,108026,11,85278,67,74742,51,63458,222,57411
157,138922,11,115025,141,83749,203,82270,222,50682
117,132551,40,98010,497,61755,89,47748,16,47380
50,593843,157,388523,202,173681,69,120306,150,106123
67,276125,55,145668,64,92924,92,69707,777,62797
157,592177,11,80294,238,46017,142,32739,92,21512
222,122295,202,107244,21,103716,25,95542,498,93232
516,111697,420,50541,555,43199,20,24736,54,23562
266,79212,104,74788,81,74415,11,69701,131,69684
157,467912,268,72826,238,69493,202,46010,8,43367
5,261926,63,171625,12,114081,25,113810,21,101232
17,671642,99,140828,133,74424,22,31973,412,28996
86,980595,54,464289,75,125444,122,101832,31,95679
516,106343,75,100923,53,93732,19,73309,45,69294
141,263885,9,232892,24,166962,17,61910,75,61860
142,214885,150,95919,103,95002,141,79653,202,79607
57,51899,54,31583,18,29254,39,28666,150,27738
267,263631,16,172795,143,104941,117,70208,40,64527
45,102936,202,102847,523,90125,777,58012,222,51818
141,110378,86,92280,51,65345,18,62548,15,59382
99,232870,25,118799,40,118336,43,74768,143,65876
99,421599,103,201001,40,53374,25,42392,117,31700
142,229788,45,113558,202,98020,21,76059,51,47094
157,104729,32,69831,202,64990,45,58050,412,50836
122,248897,86,95849,266,94548,141,94012,41,92753
18,60605,64,59022,51,52964,7,37921,498,29736
103,473691,141,194327,133,150330,203,106640,81,93254
498,345177,267,176586,98,154914,145,135979,497,122755
22,59452,412,54461,89,33259,53,25796,32,22835
11,434033,157,224718,141,186222,19,169293,202,62413
141,340715,62,139437,202,128865,117,113213,32,106549
43,126568,99,119909,117,88459,267,77382,37,56461
141,517010,28,396764,32,329818,875,125451,20,103274
150,135031,6,84682,164,53267,114,44768,141,41075
141,269611,24,132986,777,98954,84,80925,202,80326
36,97004,81,73958,39,69153,106,49122,887,48095
28,96529,55,82890,120,65487,60,60550,45,60044
1,130829,157,69850,102,49065,45,42976,18,38579
99,462499,131,356103,16,343980,22,341205,145,285122
51,94017,67,93057,157,86690,81,78755,64,66541
92,65467,25,60743,157,58004,16,54584,12,51633
238,587820,157,421692,64,322841,412,240729,67,195318
51,83680,37,70255,1,63361,39,39592,84,27379
20,110718,16,64367,555,60381,142,55802,350,49188
350,130343,555,128308,412,111273,25,86193,99,81032
55,70159,157,48588,412,26632,240,23743,64,22601
81,197326,8,137874,157,122974,67,66202,238,65587
432,119671,202,111959,35,64803,39,60471,67,54192
141,404231,19,151128,78,126665,105,126615,157,112244
412,142147,875,140699,350,100662,267,69883,497,59312
51,135667,19,78859,145,54606,55,51365,555,37812
19,72937,80,62086,115,57351,101,57085,121,56119
134,642872,105,279968,12,232272,38,118845,131,108098
516,163535,12,116680,33,104052,99,88812,6,79601
238,393584,51,217748,99,192429,35,185841,157,179573
119,309287,98,190470,4,123771,238,85771,157,70479
19,213360,17,208121,21,182708,141,172716,28,146428
24,85605,19,55300,11,42327,121,41575,141,41405
238,342288,157,207869,86,113815,141,65940,53,65705
55,149679,142,106112,157,95147,777,90259,84,85928
64,174558,69,96168,245,84378,121,71321,157,68614
86,919720,122,179144,420,139301,23,130754,14,93815
238,217546,81,188722,157,156932,103,132222,18,121103
28,127716,245,124088,121,78854,20,71158,141,45100
55,137772,245,85579,81,74901,157,74487,69,72779
28,216278,157,111498,141,109548,254,93867,201,59971
141,240171,64,154725,157,145951,67,105069,202,98641
420,162725,101,83204,9,75446,83,71157,161,63602
99,161504,91,140802,157,131446,147,116761,89,116760
45,53468,81,50343,157,45062,86,42517,82,40402
119,272296,157,205661,114,143059,131,136977,81,127472
875,268140,497,189247,44,62047,98,53441,12,47724
99,74382,3,55228,53,39330,518,37102,25,34455
238,158921,157,119834,19,103303,82,89116,64,74868
202,323440,51,131450,45,126886,157,119390,238,80358
141,385642,19,157391,154,113465,63,103936,89,40211
157,119893,498,105278,64,80748,202,75470,238,60298
157,292654,55,242139,28,210185,81,161989,238,130899
45,130441,81,72561,51,56130,63,38831,555,36149
