Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
157,109353,555,80202,122,53546,81,31706,517,28081
266,117626,54,77185,36,60833,53,39345,14,28882
58,250388,875,61353,141,53829,516,48399,234,34646
157,188270,777,65476,555,49046,517,41462,84,38462
122,38797,7,32084,238,25974,875,24392,777,21579
67,87333,360,65235,28,55230,875,42647,7,40056
11,174556,122,71303,81,57959,555,50071,64,47418
120,117547,9,74145,22,69616,412,63037,35,58859
11,119418,555,98288,157,79085,82,56204,64,54419
157,77966,875,58483,234,49528,777,44859,64,28269
25,172015,235,78478,99,74539,43,56453,350,53240
86,310838,68,142183,875,112373,122,59186,516,57820
105,43513,81,39645,35,26420,99,22991,202,22218
245,50186,157,32615,104,29877,107,24839,246,23297
266,79232,555,69863,157,61282,360,58954,107,32467
84,108473,777,41215,64,37045,164,30515,76,24578
157,161019,777,81122,141,63371,106,56423,238,40507
875,247783,106,123940,20,102889,141,92095,103,82508
555,287761,64,168866,141,124309,80,119240,234,92679
420,111166,555,58034,517,46324,101,45954,429,37364
157,125202,84,42632,64,35607,39,31967,777,26563
238,188089,64,165642,67,152915,126,150455,157,97759
80,219034,89,83679,555,54725,53,46685,350,45099
76,85434,245,61638,64,53652,104,42524,30,30663
517,84944,157,68013,80,34321,81,24724,67,22188
555,137147,11,60578,157,39050,245,26561,81,22455
91,145236,555,133188,157,121830,20,74037,39,61944
157,181993,91,113363,80,101016,22,85933,131,45352
84,180730,238,104269,517,66943,157,54852,64,36136
17,62557,35,38333,11,33738,80,27480,412,25885
222,155696,164,135587,51,110014,22,85307,267,39102
11,290888,131,82686,64,62656,141,55909,777,31838
84,63149,64,47399,55,41796,67,41100,555,39758
22,177208,498,63842,89,52485,61,51562,103,46341
104,300005,517,93887,76,93835,875,51242,120,39384
92,132715,84,83288,145,55043,157,25655,203,22987
56,50833,517,39447,67,39266,62,29640,81,25672
5,61421,30,49710,36,45284,82,39787,360,34129
141,103535,875,36399,517,26807,238,21770,3,21624
99,39340,360,34948,64,33776,555,32391,81,29806
516,90854,99,62650,56,35010,106,26998,147,21099
360,237683,145,95561,236,73569,81,71218,22,67308
