Champion1,Champion2,Champion3,Champion4,Champion5
222,21,81,67,28
777,517,64,142,91
876,245,84,517,3
114,126,4,24,266
41,67,266,51,222
202,145,81,43,21
142,134,11,45,7
104,517,266,245,81
498,246,55,101,67
412,64,89,81,238
83,516,875,106,79
81,145,92,64,51
39,104,76,27,245
145,119,67,133,523
67,81,145,222,412
26,102,86,53,136
64,76,4,60,13
89,105,58,54,412
58,145,22,51,15
64,59,517,421,104
157,11,64,245,81
60,51,1,99,81
64,157,81,84,523
412,64,234,53,81
81,64,67,238,236
103,39,64,131,81
157,517,39,64,76
112,86,67,81,30
238,7,39,64,81
9,113,33,42,56
76,157,81,64,103
64,245,238,157,517
64,59,121,157,5
157,236,64,39,55
107,555,20,81,497
81,236,51,15,22
81,145,202,67,51
145,81,64,51,412
157,67,498,76,81
518,526,240,9,517
106,11,238,516,122
157,238,24,126,64
412,517,53,64,234
131,127,67,145,222
105,35,145,64,222
245,43,80,45,61
81,64,412,238,67
8,81,157,412,64
61,101,81,51,126
67,81,236,122,11
202,81,157,238,777
412,56,53,235,143
157,145,81,104,39
104,157,245,517,64
412,81,51,21,267
84,92,41,875,131
81,58,62,54,24
412,53,64,25,117
143,3,5,32,54
89,412,32,12,44
67,360,145,235,117
53,497,412,51,68
84,517,59,254,245
81,145,236,67,64
41,166,104,64,24
99,33,143,5,101
57,235,83,54,89
18,157,81,67,7
555,412,98,122,154
238,39,84,81,7
145,81,498,21,222
103,21,53,238,145
164,122,517,75,106
875,360,11,141,777
157,412,11,64,55
238,39,517,157,875
76,236,92,64,69
64,81,236,202,104
145,202,360,412,221
555,64,7,35,517
21,236,67,64,360
67,51,81,360,157
157,64,92,41,39
64,81,121,236,238
81,145,236,164,202
150,85,91,412,12
53,497,267,40,202
81,412,51,222,145
141,157,360,777,145
7,517,142,875,103
24,8,59,80,120
875,63,164,517,516
79,412,53,12,43
55,777,266,67,202
84,360,875,234,54
59,64,86,36,57
157,67,64,55,81
117,267,99,12,350
17,86,161,154,106
81,101,222,54,360
157,81,236,412,67
887,141,54,236,133
126,131,103,157,91
92,78,64,104,54
81,113,60,517,64
245,64,141,79,517
64,76,104,81,67
64,236,12,81,238
360,523,555,412,81
