Champion1,Champion2,Champion3,Champion4,Champion5
876,82,141,17,236
350,145,39,238,28
4,238,64,81,202
145,150,21,81,222
51,222,64,104,18
120,57,266,107,106
238,81,412,99,64
11,81,67,51,22
420,99,121,157,266
107,412,80,81,53
92,107,81,25,64
202,145,21,81,18
84,39,412,64,238
104,360,555,145,266
201,12,412,432,25
4,51,21,81,2
64,203,412,53,12
412,875,526,12,3
126,7,268,81,42
117,150,85,113,89
236,266,81,157,8
64,412,67,81,11
517,145,64,81,39
202,145,875,164,222
114,21,18,498,22
102,236,56,145,64
64,104,81,78,67
19,33,555,48,238
64,50,104,106,164
238,55,119,3,555
81,145,55,360,157
136,101,131,103,53
22,202,145,429,81
84,7,142,517,777
57,78,16,105,67
92,81,67,875,114
54,53,111,235,81
64,84,236,238,7
3,518,99,142,89
235,161,101,25,57
245,67,238,157,131
64,238,81,412,58
62,126,106,412,58
518,120,421,59,60
777,360,81,7,114
145,22,81,202,360
238,157,777,7,517
238,7,127,67,12
777,22,39,23,412
104,64,245,120,106
145,22,81,236,64
81,30,145,104,202
20,86,11,64,154
101,67,39,777,236
350,202,101,145,81
429,81,51,43,360
58,114,236,164,79
266,122,875,62,82
55,39,64,11,35
222,523,81,360,202
92,126,157,238,53
69,238,81,114,236
64,238,157,39,84
56,85,126,64,254
517,235,84,103,246
76,114,92,221,104
115,103,37,30,101
34,53,112,104,64
145,81,202,523,360
238,76,104,236,64
35,29,157,78,81
126,266,164,104,39
777,91,145,360,236
120,202,122,101,103
64,517,126,164,76
38,111,53,89,59
81,202,222,67,145
55,78,29,22,145
268,7,13,245,112
64,91,120,8,86
127,64,112,81,41
64,412,157,238,81
202,238,122,145,107
81,133,157,39,236
67,360,202,81,145
122,266,85,58,62
67,81,145,4,236
39,517,145,238,103
53,89,412,16,8
245,238,20,104,154
64,875,245,39,145
11,89,86,24,117
11,28,245,36,120
4,81,7,38,245
64,245,2,234,777
64,141,79,11,104
99,53,89,80,120
126,41,517,6,523
157,39,517,245,238
157,64,39,92,236
64,104,76,60,120
114,164,7,39,517
234,777,81,55,113
53,64,67,238,92
81,145,157,64,11
202,145,81,51,523
33,11,113,28,78
203,76,81,21,51
7,157,238,39,4
89,81,145,64,43
84,777,106,164,114
117,43,99,267,25
34,59,81,55,103
412,64,53,78,104
157,777,238,245,8
67,55,15,131,103
92,64,157,81,236
223,516,114,420,245
157,25,432,64,111
157,64,234,777,104
4,23,61,13,60
117,98,497,267,53
4,64,69,81,99
81,412,236,111,202
98,53,64,555,412
39,92,887,7,142
84,517,238,157,39
64,81,157,67,22
145,202,126,81,39
64,157,145,245,222
126,39,236,429,412
81,114,236,222,266
60,120,245,131,203
64,157,238,67,111
64,7,555,777,35
412,81,53,67,222
64,76,234,81,104
516,67,157,92,104
101,81,64,412,53
39,517,145,238,84
67,81,429,104,110
7,67,238,64,245
157,39,92,55,517
84,121,157,238,58
64,76,126,60,266
432,81,4,235,64
81,202,777,67,104
112,42,67,63,143
235,99,81,555,254
421,30,234,48,203
45,30,161,412,101
64,238,157,81,7
245,105,4,7,99
164,266,58,126,68
12,61,3,98,350
157,131,64,245,103
64,104,59,126,5
711,555,81,202,101
122,64,234,517,238
122,266,876,81,24
34,69,134,131,110
81,202,67,51,164
39,126,523,81,64
517,3,42,68,112
67,55,122,222,81
61,3,245,517,55
64,106,56,79,104
55,92,157,238,81
79,64,107,92,76
40,64,117,157,81
67,236,64,157,202
421,164,104,126,236
99,21,35,51,22
236,145,157,67,110
104,79,875,64,412
76,64,104,99,163
412,12,53,89,111
517,234,777,54,114
67,64,81,236,4
26,43,63,40,57
92,69,157,67,238
222,81,202,145,22
64,157,81,412,238
81,67,236,145,51
523,222,145,22,81
157,18,238,64,98
141,555,245,41,164
412,64,201,12,497
26,18,202,222,25
222,33,154,89,8
412,64,238,81,157
67,157,126,81,64
114,92,240,89,67
238,202,236,41,58
81,39,145,222,360
875,555,360,64,145
39,412,64,84,222
12,497,412,89,64
245,141,131,84,7
84,517,134,39,245
12,117,43,497,44
81,67,157,236,222
420,74,245,9,68
3,9,60,517,64
81,517,112,236,202
99,235,43,21,37
157,238,64,81,39
41,39,114,78,117
145,81,67,202,222
154,157,141,777,67
145,202,67,222,29
40,117,43,235,22
498,39,81,777,202
24,39,164,126,62
61,142,13,202,127
498,145,81,69,67
555,238,234,84,126
121,112,236,104,60
53,96,81,202,12
236,235,81,51,360
238,157,64,122,202
104,20,777,876,43
81,360,22,67,555
114,107,150,266,58
39,64,35,238,234
222,234,67,517,412
105,245,103,238,7
164,517,245,82,126
81,145,202,67,51
113,236,67,117,89
7,134,142,246,84
41,81,202,429,236
523,145,222,202,51
777,39,517,238,112
85,1,17,42,131
103,81,90,518,142
122,266,517,875,64
84,39,875,517,777
246,104,76,64,55
64,157,80,81,164
517,64,104,203,245
266,80,517,84,142
145,67,81,22,21
67,157,81,64,13
202,145,412,157,238
79,64,104,53,875
157,145,81,67,236
64,81,92,412,157
245,142,517,39,84
141,60,36,48,16
234,64,48,517,60
107,245,104,12,67
412,157,67,64,92
523,202,360,235,888
13,136,412,236,81
56,84,106,150,517
164,3,223,234,82
10,6,412,54,98
79,59,64,76,60
157,91,101,412,17
17,54,99,36,89
91,105,141,92,67
523,876,202,76,104
121,157,64,84,81
12,143,412,117,48
64,107,81,142,7
55,103,99,142,51
235,64,21,54,117
119,360,145,236,67
412,64,67,12,53
412,67,64,11,76
142,81,164,202,7
13,20,69,126,54
64,81,238,105,266
64,55,157,53,81
1,51,222,81,24
142,76,39,80,7
126,164,150,85,887
238,39,55,64,517
104,245,76,141,234
81,67,145,236,523
55,238,126,517,266
245,28,202,145,523
202,96,498,99,497
58,875,106,517,11
107,412,236,64,58
99,117,350,43,267
238,8,112,67,236
35,350,12,235,21
9,421,245,777,81
235,516,51,67,222
131,245,517,84,31
133,80,711,518,117
412,267,57,497,117
412,112,236,81,222
523,134,222,21,115
84,517,7,236,105
777,234,81,84,145
84,777,517,126,8
236,222,103,81,238
105,81,202,4,236
