Champion1,Champion2,Champion3,Champion4,Champion5
81,360,245,145,22
86,236,17,24,22
157,67,105,236,238
141,157,11,777,517
81,523,429,145,39
43,64,1,21,85
67,92,222,145,81
64,81,157,245,145
18,51,81,145,245
81,61,517,235,202
86,63,234,777,122
81,60,104,55,59
875,102,48,59,78
99,53,67,201,63
39,164,145,517,523
555,875,157,64,84
875,86,141,82,266
412,20,238,64,31
122,21,89,86,99
25,82,111,76,32
4,98,114,202,268
245,777,517,91,234
24,131,523,67,53
64,412,53,59,157
63,81,18,222,67
106,143,202,81,98
236,119,61,202,777
202,131,64,81,3
526,53,111,103,54
37,497,98,99,43
23,420,107,777,11
51,19,82,120,50
111,267,223,412,80
6,110,81,64,104
157,875,777,64,122
64,157,238,516,266
67,81,8,202,105
62,56,24,105,80
20,48,777,122,17
221,516,81,145,39
81,412,429,64,51
122,150,64,111,11
266,89,80,51,99
412,122,105,53,12
45,21,56,81,110
202,18,81,235,111
51,147,17,54,12
20,11,350,245,18
238,84,245,236,145
4,13,104,81,54
35,7,33,203,48
102,104,81,48,111
350,117,89,67,103
11,64,113,76,121
202,81,145,360,235
254,56,7,20,22
103,111,555,81,412
64,245,104,202,76
19,75,86,122,555
157,517,238,81,145
50,53,25,412,63
157,238,64,517,777
64,67,51,59,99
59,120,5,101,234
86,82,106,101,122
111,81,67,22,51
84,777,517,39,20
64,55,517,39,236
86,875,266,122,82
78,64,238,81,157
17,35,43,67,432
61,53,85,131,82
126,64,81,91,8
99,103,56,21,81
76,7,81,64,53
202,81,236,523,64
112,517,104,234,141
412,235,101,63,117
64,11,67,157,81
122,157,64,92,103
202,53,412,111,51
80,104,3,57,497
64,81,157,238,12
80,141,82,234,875
103,101,67,238,60
67,81,59,64,53
99,32,56,37,17
7,86,11,53,17
157,67,61,91,81
104,517,131,56,412
154,35,555,64,78
35,412,99,498,28
234,421,121,555,20
238,84,875,555,517
80,99,81,117,145
412,111,17,101,267
19,555,39,234,238
150,85,11,141,19
53,201,99,555,64
89,111,44,412,25
157,238,11,875,122
245,131,777,517,24
7,92,11,64,157
245,516,122,517,39
81,11,777,157,517
99,81,51,202,103
360,157,555,122,39
67,81,236,202,39
350,111,5,53,2
122,412,157,92,64
81,10,67,122,75
50,81,64,60,429
6,23,11,32,875
10,117,81,43,145
134,11,121,131,61
157,238,777,122,64
99,111,34,22,89
80,245,89,235,21
145,64,81,222,22
238,517,39,145,236
21,81,64,67,110
39,84,245,81,157
34,39,81,141,104
203,84,245,145,39
516,33,82,106,86
81,67,53,24,141
34,11,67,54,17
11,24,238,120,91
202,81,67,145,412
114,145,157,777,238
35,25,81,145,147
80,141,238,81,236
234,245,31,202,115
64,555,81,23,12
55,223,555,78,412
54,875,86,517,126
103,81,101,134,61
51,81,103,11,99
122,141,234,777,81
81,41,57,92,105
236,81,21,202,15
157,141,777,875,91
17,32,54,86,24
62,498,103,203,235
20,141,60,64,104
516,412,36,67,53
84,83,157,39,516
141,39,157,245,518
145,7,91,54,53
81,64,517,86,53
35,53,54,20,223
39,157,64,145,412
81,238,64,412,11
92,84,7,81,64
412,53,12,51,18
157,142,236,39,238
875,517,516,106,122
99,76,245,236,53
126,120,53,81,104
81,51,412,64,238
67,54,64,104,236
67,81,157,236,64
10,114,84,104,92
92,39,157,55,126
67,64,81,105,236
69,517,84,711,245
777,360,555,234,141
45,41,80,122,33
81,64,875,157,106
17,99,96,53,22
80,81,67,51,222
11,157,875,122,141
64,3,20,120,106
54,11,89,81,17
67,64,81,91,157
64,81,517,236,104
39,64,80,875,67
555,80,53,420,54
122,39,238,555,517
157,54,64,81,92
236,523,157,245,360
145,21,202,222,115
122,86,82,202,24
157,526,89,33,777
60,107,76,81,64
39,145,360,236,84
59,121,236,81,12
268,103,245,39,777
51,22,59,81,67
84,81,39,777,203
86,875,157,64,58
99,147,143,25,89
51,96,555,81,412
145,360,104,81,64
157,84,245,39,236
81,112,13,101,202
555,53,16,81,412
81,498,22,99,136
11,39,64,58,67
75,67,81,17,34
18,37,17,89,54
777,157,39,64,238
81,145,236,82,43
238,157,11,777,141
8,80,516,154,420
235,99,101,141,82
202,114,106,21,22
117,16,143,350,89
141,19,266,64,875
107,81,3,64,50
101,412,20,8,111
64,76,81,4,104
50,32,223,30,77
157,412,53,54,24
89,111,147,235,103
64,81,91,11,238
101,141,555,8,20
27,83,86,420,11
11,9,51,81,145
157,39,104,114,64
17,18,51,10,5
238,121,81,64,35
10,517,126,235,164
236,235,412,81,22
25,84,268,102,99
111,12,59,43,101
133,67,112,54,236
55,157,238,11,122
92,55,81,12,122
122,64,56,11,236
23,875,86,54,17
11,28,86,81,60
203,99,84,777,39
11,28,350,40,53
266,154,3,202,101
89,111,54,90,86
86,875,266,62,106
202,141,21,876,235
157,141,777,64,236
145,157,81,236,15
112,142,45,245,104
412,64,67,53,81
517,875,58,523,64
7,64,81,145,245
157,412,81,64,67
81,67,360,145,222
81,412,53,64,67
99,89,16,21,7
81,145,51,236,202
350,117,147,99,17
17,202,81,16,51
39,84,157,11,234
777,81,67,157,20
81,53,51,222,236
120,3,80,517,43
82,92,20,266,555
29,145,39,67,58
91,145,234,81,68
157,39,92,238,64
13,42,51,81,84
222,236,22,81,51
157,777,122,555,875
80,98,53,25,59
21,99,103,147,16
555,142,33,42,12
91,7,412,238,11
157,238,245,517,39
81,17,145,51,22
25,117,145,518,235
80,81,517,154,3
157,84,145,39,238
157,238,17,141,555
84,202,81,89,145
8,103,7,61,67
12,25,223,111,555
238,55,39,7,157
11,54,350,9,67
92,268,67,39,13
145,81,360,523,245
164,41,67,61,412
81,555,238,84,157
51,11,22,157,33
23,141,60,245,21
1,21,81,117,222
59,63,53,420,60
126,517,875,86,106
157,777,39,360,67
59,105,80,103,102
157,67,39,114,64
68,80,17,57,19
350,99,16,117,81
517,238,142,266,3
157,55,84,238,777
81,101,143,18,202
35,202,81,101,63
21,99,236,89,134
89,25,84,54,99
104,157,64,76,429
17,25,157,81,222
6,126,104,64,84
157,238,777,555,122
141,517,157,777,238
238,154,64,55,157
360,39,67,236,81
91,238,11,39,104
246,157,86,64,777
19,36,33,5,154
3,222,143,131,22
517,103,64,141,157
875,429,84,51,202
81,7,236,517,268
267,163,143,30,61
81,76,104,64,236
35,17,53,81,412
266,517,777,84,875
111,89,57,43,53
81,64,53,61,105
50,126,161,154,236
122,266,114,1,86
81,145,99,133,1
236,81,122,222,67
11,81,110,5,54
412,92,81,99,89
5,24,59,120,18
517,64,238,69,154
99,350,876,711,28
114,112,81,150,61
246,238,81,157,19
81,360,145,523,498
268,101,64,92,412
21,157,105,81,202
157,875,517,58,777
39,157,517,104,145
67,99,113,33,61
238,141,157,81,555
4,76,64,81,38
122,82,161,17,11
22,67,145,51,498
12,43,412,81,25
157,91,121,64,4
17,99,51,350,117
157,7,39,238,412
126,89,12,99,101
17,107,266,85,20
7,142,84,105,131
11,516,20,145,82
523,81,22,202,236
50,35,254,141,5
101,8,4,236,112
35,497,240,86,6
33,106,516,86,101
412,81,32,236,67
8,420,41,266,121
76,238,104,81,99
203,157,64,84,39
84,142,64,81,157
81,157,145,64,39
92,254,78,421,203
122,157,360,517,777
360,25,350,80,131
67,236,63,81,157
412,53,35,76,86
67,22,21,145,51
104,64,76,245,164
555,39,84,238,103
64,121,63,412,266
236,145,104,81,67
238,35,777,555,136
79,63,157,238,81
12,101,25,53,1
81,145,64,236,84
99,350,21,32,117
107,67,81,84,136
64,92,105,157,60
517,84,245,238,7
51,131,4,64,67
53,412,91,101,17
412,56,12,67,53
56,86,35,80,120
82,89,12,114,62
55,11,104,64,76
81,99,157,80,101
67,81,110,236,51
412,51,12,201,60
11,238,64,81,122
92,81,245,64,555
157,777,55,875,27
86,875,360,101,122
103,21,157,81,51
26,81,67,238,236
145,81,67,202,222
166,17,350,54,360
157,11,122,777,64
203,63,28,98,56
555,157,122,777,22
39,68,27,122,54
202,101,81,51,21
412,25,35,53,21
81,875,24,523,145
80,89,121,202,238
91,17,81,235,35
122,81,157,11,75
76,412,35,85,83
81,39,157,141,105
17,101,777,82,53
99,350,57,89,64
157,12,112,238,4
81,235,51,21,18
107,67,360,39,202
26,20,497,106,3
154,57,106,35,17
122,83,114,82,876
238,157,39,84,58
240,104,429,517,245
89,53,54,111,25
157,19,240,64,234
497,90,85,98,133
91,157,235,39,555
56,40,113,53,45
64,104,141,203,876
117,350,103,99,25
101,141,777,80,91
164,876,112,114,54
14,6,50,876,9
154,27,420,9,141
39,238,266,84,517
32,105,99,67,412
78,122,51,516,54
64,60,106,497,2
238,39,157,84,64
81,245,145,141,202
145,53,360,104,412
134,236,105,67,81
67,22,86,412,90
875,157,360,58,154
157,39,360,11,82
145,39,236,35,81
875,350,54,81,157
222,81,145,157,64
119,39,67,222,202
121,53,238,18,266
145,81,222,235,236
517,122,157,875,64
517,39,64,58,79
81,56,29,22,53
84,141,131,56,164
103,64,4,59,60
497,117,99,350,157
145,81,67,222,236
39,84,164,517,58
157,67,238,64,236
64,81,103,22,121
33,102,78,63,254
28,113,89,201,254
53,350,25,117,103
39,20,81,145,64
201,92,81,53,64
131,91,103,80,54
103,51,25,145,99
238,412,53,134,350
120,5,131,54,83
555,122,53,80,412
222,79,25,15,12
141,54,80,238,145
350,12,518,57,99
19,78,101,25,83
81,202,57,236,145
85,117,86,236,81
92,157,11,64,67
432,12,111,53,64
222,81,119,236,145
157,11,85,81,24
555,875,157,350,106
238,517,236,81,145
92,67,28,64,81
238,64,81,4,157
107,53,516,11,266
154,75,86,134,157
126,92,875,777,266
105,157,7,81,67
64,92,238,157,81
555,517,84,31,777
102,234,98,104,62
145,81,64,412,53
157,141,555,360,875
412,81,67,202,222
238,141,91,157,517
9,119,35,15,222
104,120,245,5,105
114,157,24,240,64
81,236,429,202,360
25,26,61,9,1
17,53,11,98,412
39,222,11,122,81
122,555,157,141,875
157,84,39,777,234
121,64,120,48,58
98,67,81,105,350
157,238,555,141,777
412,106,141,875,202
238,39,157,84,7
50,53,412,89,12
27,420,79,72,223
81,360,64,145,236
517,266,157,84,238
238,526,53,777,517
21,51,22,81,67
875,517,58,39,84
7,141,245,164,67
84,245,157,875,266
412,99,517,103,81
67,429,101,555,360
64,157,53,81,24
81,114,64,24,89
39,517,236,81,777
25,103,81,412,157
89,57,267,111,54
81,145,64,235,360
106,164,122,12,92
777,104,81,8,28
81,53,7,222,111
112,67,81,105,4
777,84,246,80,105
74,517,57,25,35
126,517,266,154,80
81,360,235,234,53
34,54,141,157,39
498,84,117,145,40
67,104,236,145,777
81,145,67,22,202
81,64,22,222,99
62,39,82,777,84
235,234,876,101,145
17,84,104,67,236
51,81,222,145,67
555,517,412,53,518
11,45,19,53,157
62,84,64,80,236
104,64,245,517,203
136,20,555,876,516
64,81,84,236,145
21,145,51,15,222
28,51,81,76,64
350,12,117,81,84
222,56,104,234,5
202,64,85,81,51
555,141,412,238,526
5,64,106,234,203
81,58,64,53,117
10,157,202,81,67
81,145,236,21,202
80,3,33,875,526
157,63,777,235,875
147,777,360,84,53
81,122,54,98,31
268,131,164,420,157
103,81,21,412,51
234,64,104,131,81
101,122,555,55,11
157,777,64,516,555
11,157,86,106,222
157,7,55,360,238
236,145,202,54,51
222,99,350,25,101
157,555,84,39,64
50,21,360,20,22
350,43,117,25,37
238,39,99,143,84
157,64,238,34,81
37,235,21,16,43
25,55,89,54,147
17,99,1,21,90
134,39,142,114,236
81,56,35,62,57
55,13,245,203,238
11,141,120,24,5
82,98,523,360,111
157,777,122,234,8
64,92,157,39,202
122,157,131,517,39
81,412,51,53,99
91,55,777,141,84
236,157,81,145,360
157,517,875,141,122
81,51,202,412,143
81,51,145,222,21
54,81,64,16,80
84,64,39,91,145
64,76,79,60,13
11,28,33,141,30
154,412,53,67,22
350,39,238,517,102
68,887,143,412,122
86,223,54,111,56
64,11,104,67,81
22,59,113,79,15
523,555,111,110,202
141,67,429,84,122
350,876,103,99,117
157,238,777,555,234
114,53,121,24,11
777,64,54,58,80
99,35,89,50,120
64,245,76,555,53
164,98,58,68,81
91,777,875,238,234
92,234,39,13,245
62,43,8,81,235
81,201,412,43,236
67,81,157,516,11
67,2,56,50,234
222,350,28,103,17
67,35,157,245,238
21,99,117,18,89
34,81,91,38,45
429,157,60,517,141
81,67,202,59,236
89,12,24,111,36
2,64,245,876,104
518,20,360,81,103
99,21,350,22,51
157,39,238,523,145
122,360,20,86,875
157,412,238,11,64
50,36,99,126,54
78,517,85,145,234
53,5,555,31,516
76,81,420,42,84
26,21,80,7,234
111,7,81,38,53
54,11,516,86,21
235,53,25,54,99
84,64,517,5,60
91,105,81,555,67
7,3,120,54,131
79,17,64,145,222
24,53,98,412,54
81,236,84,523,202
777,875,91,81,67
89,58,57,245,12
157,555,429,238,53
92,64,81,157,76
59,126,5,236,91
30,64,1,11,76
81,17,8,25,51
21,81,25,54,80
54,51,103,32,15
90,55,4,91,56
59,141,106,104,102
11,238,39,777,122
145,81,360,236,222
234,64,104,76,91
81,91,32,240,98
236,238,166,80,202
59,516,89,111,154
17,117,498,350,497
141,86,875,2,20
