Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
64,321710,157,121952,53,118819,81,114250,24,101051
238,365386,141,143841,91,116805,157,111498,517,90141
142,294075,7,260224,161,241526,103,122389,517,101248
164,67621,266,32240,875,30484,54,29889,154,25548
157,118473,412,86150,81,77719,64,75799,67,63073
517,225971,3,221153,875,116814,106,112321,89,98834
50,347573,36,221661,99,215558,126,175468,54,136498
33,274253,89,97768,111,74415,11,63303,5,42556
517,81036,157,69742,55,68147,254,61490,235,57265
777,83035,122,77673,157,63196,81,41725,84,39572
96,79931,81,61677,35,49374,34,38135,115,33416
64,575499,157,324600,412,222646,53,186047,555,152022
245,238733,150,130930,64,111859,81,91447,102,80634
51,71530,21,60297,22,54883,236,48997,12,46405
157,121773,875,99371,555,69897,81,44418,141,41557
81,413226,412,212882,429,167210,64,130955,51,130053
17,274871,21,146852,222,145261,54,144867,360,89805
92,308973,99,204444,81,154772,64,141267,67,100038
145,52654,64,52320,81,40113,222,37734,22,22380
157,253230,67,213748,238,159862,64,147125,236,140031
64,482265,81,211394,157,152659,141,133129,236,132339
80,59746,25,56907,19,55726,412,29447,6,27290
81,298296,145,182738,64,162103,67,130462,236,108435
122,124903,875,120132,35,100577,22,65578,81,63633
64,57469,81,46513,157,45690,222,43685,11,35992
145,88777,39,82550,236,76499,35,60682,81,53205
103,118338,126,102655,86,86631,32,71705,51,71078
101,123164,516,96515,154,59595,8,48277,420,46199
157,221237,22,53460,517,45031,67,44705,523,30407
86,124976,238,123053,38,77176,58,60091,103,48726
157,168805,39,123554,360,96627,11,93577,82,89032
4,114425,98,102175,114,95481,202,76918,268,67102
34,101658,11,92374,67,76085,54,60498,17,40500
92,621926,266,192744,81,51447,157,48303,64,47630
360,122360,150,117725,523,109328,84,104204,81,89715
64,169656,81,79643,11,69548,99,60229,102,58824
80,75010,245,48151,238,40225,86,35152,234,32181
235,199116,517,98871,360,95614,145,91065,555,72190
8,81312,517,69031,157,57742,64,56588,39,48745
9,186425,119,111283,35,82929,15,57979,222,54362
53,54338,412,39555,91,37381,101,32163,17,26383
35,355605,17,118628,53,93799,81,90188,412,69789
81,327785,67,176749,202,102806,51,82042,96,38061
157,175233,777,174818,84,171288,555,101562,238,99856
875,613556,555,446312,86,204562,234,130377,141,92831
99,118015,32,96728,16,88192,11,51231,22,41295
157,148238,91,130927,777,93954,122,91194,64,66038
51,93262,81,63251,39,59510,106,58019,98,37835
497,43563,117,43012,99,30709,350,24475,157,24009
21,116360,99,91353,22,85608,5,47232,67,37029
81,195763,245,135067,157,98362,41,78633,412,78338
