Champion1,Champion2,Champion3,Champion4,Champion5
236,81,54,234,99
82,84,141,360,777
17,20,21,54,86
157,64,13,164,62
22,104,51,54,113
518,157,99,875,498
35,202,238,141,81
20,22,19,80,202
8,75,517,122,101
21,145,36,18,222
202,82,21,145,223
99,267,518,350,21
157,777,875,84,54
18,121,79,74,105
105,99,96,51,81
875,517,157,777,82
350,203,498,17,161
157,517,55,39,141
99,245,202,54,81
350,523,99,16,37
62,3,48,10,254
91,145,33,141,202
555,161,17,141,23
157,236,222,360,777
78,10,69,99,84
20,120,77,350,80
16,99,350,235,147
145,236,235,43,50
63,86,17,1,10
245,412,34,86,432
157,145,51,22,99
157,432,64,246,245
81,105,53,99,76
21,54,99,18,17
254,51,106,131,48
29,90,420,45,83
81,17,32,27,236
145,81,235,67,22
84,55,145,39,67
141,50,350,875,36
142,202,119,10,420
875,45,141,84,24
164,498,102,126,145
498,31,51,103,92
55,157,84,777,58
875,22,350,267,98
12,429,104,74,202
875,517,131,21,777
81,202,111,85,62
223,202,50,201,53
41,102,3,110,80
20,202,555,37,19
236,53,141,19,84
202,141,28,50,31
518,876,99,50,82
20,83,254,19,41
41,6,4,11,75
29,99,36,103,222
40,25,222,17,4
222,145,29,67,22
9,67,55,157,145
875,21,98,51,102
202,141,15,131,555
141,21,84,45,246
99,498,202,497,81
99,141,245,3,131
17,99,235,202,11
99,81,498,51,25
99,143,497,267,50
555,875,202,80,245
28,254,25,131,84
75,84,86,39,141
412,267,143,236,12
63,6,99,141,89
122,35,45,518,75
157,67,11,64,99
82,11,99,75,22
50,555,235,25,3
22,145,18,21,51
14,20,516,15,12
164,39,114,106,85
84,51,103,15,142
56,50,147,55,420
141,11,56,555,202
202,122,82,555,266
22,498,3,5,133
497,202,236,89,81
23,19,122,58,18
238,17,245,63,518
518,147,98,131,498
8,14,58,120,245
133,114,106,203,2
11,45,360,59,24
145,236,18,51,21
81,17,67,141,157
254,6,102,120,10
555,161,420,19,63
202,20,24,131,154
518,142,80,45,102
523,40,20,21,202
27,33,50,254,240
82,161,420,412,238
147,143,99,145,103
40,99,432,25,9
2,254,120,245,11
777,141,106,11,10
92,11,432,157,53
111,36,98,53,75
143,16,518,147,99
63,267,266,34,16
4,427,141,59,41
157,51,84,91,202
518,45,99,17,18
63,26,121,25,44
101,81,32,76,36
164,92,24,240,23
