Champion1,Champion2,Champion3,Champion4,Champion5
145,8,555,81,67
84,147,157,235,62
76,64,104,121,131
432,25,38,30,79
29,555,350,235,267
245,114,141,145,104
238,104,64,24,157
89,21,15,145,81
15,67,55,119,103
4,142,112,81,103
81,67,145,498,236
131,350,55,19,105
7,39,3,42,119
81,222,22,67,523
77,48,36,32,101
28,245,5,203,80
26,412,25,350,555
5,39,157,777,246
39,523,360,114,516
121,64,238,234,56
8,141,83,245,11
67,145,498,81,51
145,81,67,360,164
55,238,3,39,234
157,81,236,202,777
238,119,67,360,236
117,350,40,267,147
55,887,39,131,164
157,104,245,8,120
350,117,145,99,103
51,81,222,523,18
37,62,235,147,121
412,157,104,51,127
54,15,110,75,105
202,145,81,22,51
236,119,157,67,81
141,92,102,29,121
24,39,164,114,75
777,157,2,39,517
75,157,83,62,38
555,122,223,875,77
9,238,38,59,60
203,136,777,69,30
81,202,236,54,51
432,157,53,142,20
412,12,40,99,37
103,360,81,21,236
412,45,223,157,86
11,421,234,412,141
164,60,421,2,166
238,157,29,67,245
222,51,22,21,16
67,157,145,64,39
157,412,238,67,64
236,58,238,24,64
55,350,103,112,117
202,145,21,236,201
99,103,84,777,222
119,18,56,145,131
268,7,38,157,238
117,40,43,99,267
523,64,432,112,222
25,99,267,412,53
154,114,201,78,8
20,55,234,202,166
6,875,86,31,79
517,164,41,13,84
350,117,267,103,16
114,145,82,54,104
4,236,112,67,13
85,145,221,157,81
53,9,24,80,33
202,51,53,222,26
4,39,81,142,61
81,119,236,67,145
145,236,523,51,81
53,432,99,81,35
55,150,92,64,7
245,81,28,104,82
64,412,76,517,121
121,145,39,141,120
21,29,222,236,81
104,2,141,120,203
119,238,64,236,86
58,41,112,517,126
37,147,40,350,16
222,21,145,22,202
6,17,86,82,90
516,80,98,57,202
27,420,104,39,114
67,119,81,236,51
11,20,9,202,53
141,11,245,157,64
9,240,91,39,163
92,39,875,64,12
555,350,111,117,235
86,23,122,157,82
145,360,238,517,81
238,157,555,39,84
99,63,50,53,55
154,120,32,121,141
497,147,25,235,201
34,112,41,3,142
107,51,55,18,157
143,89,40,267,117
412,526,53,875,111
236,145,67,360,81
107,38,245,517,104
876,141,555,234,887
157,222,202,81,145
134,245,99,127,51
67,29,145,222,21
64,79,121,26,145
112,56,163,45,134
131,121,64,48,246
166,412,555,80,777
350,117,99,267,16
245,55,246,114,39
38,555,105,81,3
24,39,114,131,234
267,498,16,117,25
84,39,13,157,23
101,141,45,89,86
268,875,142,103,64
81,236,3,202,157
202,555,54,35,245
11,106,62,104,1
75,36,223,82,23
51,203,145,360,222
267,16,555,40,526
41,23,81,7,13
11,236,126,18,157
105,91,38,104,5
141,8,121,245,35
21,350,104,236,42
238,157,777,29,8
85,86,27,43,68
254,141,421,154,61
164,91,56,92,104
117,16,267,350,89
19,11,48,9,104
238,145,67,91,777
201,59,267,111,40
24,266,8,164,92
145,498,81,51,15
64,104,106,238,14
81,64,53,145,412
350,117,267,235,37
92,157,777,2,245
875,266,82,516,164
157,11,121,64,81
112,134,61,777,84
157,39,91,246,236
64,236,104,126,39
432,412,53,111,80
104,55,84,13,105
5,106,59,516,111
111,497,89,412,145
55,119,29,238,157
245,523,1,875,360
131,266,13,81,122
8,517,131,84,777
145,517,236,67,51
202,67,236,81,222
82,50,77,3,106
145,235,81,236,92
98,516,64,16,48
154,104,38,120,30
245,142,114,81,161
235,16,142,99,40
350,117,99,16,43
81,145,67,122,51
117,16,147,518,89
38,3,517,39,235
7,166,238,777,84
235,85,131,42,79
236,145,202,51,22
64,11,245,59,104
37,99,147,16,267
131,246,55,105,121
246,157,163,555,69
64,29,157,75,51
114,266,104,777,24
777,39,84,246,517
64,14,876,223,76
266,24,111,53,31
99,55,142,28,7
11,55,420,84,56
266,122,38,82,54
39,777,236,145,114
99,40,267,25,43
91,157,68,34,246
526,78,203,221,518
89,412,63,53,12
145,222,51,81,67
67,222,81,11,131
164,8,114,517,122
222,81,51,350,145
412,432,555,25,53
111,497,223,201,12
498,119,221,67,523
4,7,238,517,61
203,76,104,64,876
142,246,164,69,145
99,516,164,122,23
121,19,104,60,141
112,777,236,202,22
51,81,45,145,22
157,64,238,67,222
114,24,122,164,875
107,157,24,57,141
105,245,127,3,37
145,121,81,235,69
