Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
21,473674,222,305935,202,73947,51,73680,145,71003
518,98891,246,81878,238,60456,103,44757,142,43915
360,221667,106,106395,81,99443,18,68372,22,65366
91,37996,11,32785,1,30830,64,24289,54,23139
41,225113,202,122015,106,95185,98,80668,82,71627
497,119431,117,93273,131,57153,55,55407,40,53160
48,99762,86,72792,6,39486,18,24603,77,24397
145,329543,35,237314,27,104527,555,96847,36,88098
86,221578,75,124737,54,80258,99,30437,57,23738
202,128003,127,87740,25,67399,67,63589,117,59883
99,87761,45,79985,21,77862,50,64468,222,63383
164,71071,122,65845,157,56366,238,55298,64,52200
222,708322,67,226032,22,117968,154,78761,119,66354
122,247198,75,244874,83,168567,98,159680,141,121332
86,137745,21,136743,17,124242,202,114097,82,112438
99,103356,266,92099,555,91560,3,61414,711,51862
202,84165,20,60154,24,45173,131,39317,154,37291
122,396097,141,94499,99,91649,875,58875,98,58702
412,85390,35,46827,20,44901,555,35192,517,27728
555,494815,131,153334,157,122229,50,117409,84,117243
61,98440,164,70042,105,57946,126,53255,555,51542
89,64498,350,51466,412,49922,222,38749,98,37236
141,88215,81,64224,157,62531,41,62518,20,60546
106,124068,107,84566,77,80817,35,80767,141,80610
202,291218,25,169292,110,152626,84,99181,80,78054
518,659353,25,140882,21,132812,117,132627,103,127987
86,173801,53,151794,45,79169,6,64508,497,37869
67,139685,119,39869,92,34346,8,32634,51,28694
555,166103,235,111325,63,101435,101,51308,22,36158
86,195841,141,187354,10,150234,555,127193,53,73327
157,166472,64,97086,55,74584,104,59750,164,45368
157,237065,55,62774,101,46124,39,43401,236,42744
103,351410,99,110973,1,95675,131,86966,45,82655
145,83506,29,74139,22,57043,164,55841,17,55749
18,439783,5,238652,81,117546,421,113682,145,67508
203,99534,202,74297,16,61469,350,45531,89,42752
67,182156,145,78689,39,54812,22,51843,131,49733
121,267214,75,251772,122,99158,202,75523,24,70013
56,294516,122,183513,33,150726,141,137498,9,130734
84,264607,267,105476,246,96306,103,77882,99,70943
523,392491,420,268656,875,239539,80,230361,63,216626
53,129126,111,125094,432,88053,12,80475,412,64242
99,279063,267,227239,16,199421,143,117822,37,83844
39,219227,103,166592,157,67659,141,54793,28,53220
145,115091,222,95949,51,39709,89,30546,25,30071
39,529187,523,338482,157,294220,55,199876,81,178595
81,169779,51,147409,21,84276,22,69036,202,61910
111,294178,518,105879,45,81900,53,54699,63,48241
122,139524,875,130387,86,105483,62,67717,157,63864
432,996482,412,104372,19,96523,45,96005,11,74241
222,177175,81,136171,11,105030,21,50691,22,42605
31,182522,121,132493,55,98076,157,79050,14,53579
245,105582,81,94938,67,90260,222,84484,19,66108
120,88588,106,72574,111,57561,50,45330,15,44129
96,131976,21,70280,22,67143,105,64837,222,42107
141,240679,238,124919,91,112115,104,83528,59,67311
55,131386,81,109968,67,90314,145,79254,21,72698
80,254755,555,220493,35,106708,412,98781,517,90369
36,445711,412,204045,154,102067,60,45173,33,26383
246,134307,142,131163,238,127345,84,111615,39,99449
17,124089,516,102177,39,54745,19,53748,157,50457
11,61774,105,59480,23,45064,10,44156,145,35694
67,221203,81,86514,51,82605,236,80368,22,72216
43,279395,235,159037,78,85971,117,84348,127,83266
875,213113,86,180954,25,109085,10,51835,5,37581
875,134751,266,101441,122,101108,157,90358,164,82371
238,187861,157,164402,555,73507,17,35327,91,23020
143,144265,51,109089,22,71727,67,71067,28,69311
238,106346,222,86898,41,52883,67,52822,122,52209
876,33272,45,26786,82,25799,90,23388,74,21867
121,121292,64,59607,77,46579,157,38362,104,32032
62,272907,91,230646,21,77363,54,48542,8,46744
157,196188,238,153132,84,114811,202,91153,420,77596
161,539284,63,102813,99,35193,25,34002,89,33447
122,95686,101,67079,266,60419,86,59005,420,55830
114,489648,24,115633,518,75766,22,74267,5,66210
60,67835,121,50546,53,40029,1,38044,29,34137
67,547307,29,166826,145,160744,157,137775,55,116311
103,209529,111,157631,28,152216,497,132361,99,106187
21,150665,145,60621,202,48440,18,46323,15,40522
104,154066,10,131754,75,66520,120,45907,86,42221
99,259493,267,229712,16,144020,37,105705,40,84855
266,68433,104,54558,20,51439,517,35391,141,25028
37,217299,350,172397,267,108434,526,104783,235,79292
28,562887,29,211232,555,149777,360,43266,35,42916
8,133082,55,109140,84,101556,157,69605,145,55413
99,262435,17,182651,26,136795,117,109671,497,95386
99,812880,25,219736,161,104907,21,55536,115,32953
27,105749,92,87576,23,69819,86,58179,99,55207
777,50365,106,31385,82,28271,53,27625,11,25191
86,235772,57,156069,131,145925,6,127277,50,118492
6,121943,25,72454,37,71153,15,41967,82,30050
99,484725,143,171870,235,119315,103,68423,25,61433
105,943330,86,516748,157,164670,99,71785,67,44212
412,69095,99,49226,101,41932,111,40970,25,30155
875,45420,141,45337,17,44632,157,43490,555,32181
11,444627,38,90900,246,69397,777,27089,56,21067
497,210546,99,75656,427,67658,498,66889,103,57728
157,122291,64,50923,122,50789,81,39041,202,38709
