Champion1,Champion2,Champion3,Champion4,Champion5
555,238,43,875,53
157,53,245,238,26
157,90,25,5,33
37,40,16,147,99
43,58,13,31,145
99,91,37,44,21
222,236,21,141,157
119,412,157,6,67
22,21,222,99,25
86,23,11,18,223
24,143,51,236,110
236,69,51,29,202
236,22,145,110,81
28,141,202,18,75
142,235,84,523,517
105,157,13,91,99
91,38,238,157,8
2,91,222,102,83
83,53,157,141,31
63,105,19,54,99
84,555,236,24,19
161,25,19,43,121
131,80,157,53,245
412,64,234,238,157
141,2,21,18,222
50,25,74,99,16
86,245,25,103,81
19,223,157,202,50
122,19,266,875,23
131,62,555,7,55
246,82,91,141,19
34,18,26,1,63
17,157,19,82,18
143,3,90,86,50
203,518,84,103,887
122,114,555,85,86
235,16,51,25,143
98,141,5,19,11
157,55,238,69,92
145,1,22,15,497
518,99,89,235,25
222,145,45,18,166
157,11,238,84,35
145,29,222,498,21
22,157,202,498,99
238,25,412,201,11
777,157,17,202,1
141,875,555,202,35
157,429,238,55,64
84,35,103,157,238
115,126,48,104,98
7,245,84,38,127
157,122,2,75,238
26,31,15,99,16
18,11,497,64,76
91,11,55,238,7
202,41,157,81,122
99,81,235,101,157
157,121,45,105,86
37,113,106,19,516
142,99,16,63,518
43,37,44,110,412
157,99,63,81,67
25,26,53,89,254
103,99,81,518,61
77,121,106,141,86
145,111,19,53,86
24,63,75,11,99
142,518,78,39,711
84,19,777,555,82
22,40,498,16,10
202,105,120,21,19
103,497,55,84,99
51,81,202,498,110
86,3,54,45,99
103,412,202,121,9
19,64,24,86,77
7,498,777,81,10
25,16,147,99,86
11,29,18,67,119
78,35,18,157,142
21,518,37,110,134
44,84,99,1,145
11,157,145,18,141
25,103,34,143,134
104,79,19,64,236
105,238,236,103,21
122,234,555,875,45
238,157,64,92,67
75,119,122,31,51
55,238,157,555,84
157,142,64,84,150
234,2,887,45,89
497,12,412,53,3
55,157,119,81,91
115,112,245,35,517
84,25,202,17,420
254,202,21,53,245
90,523,136,85,8
157,64,202,27,24
157,555,84,202,245
145,67,19,238,166
103,223,17,161,31
21,99,22,51,157
120,6,19,234,101
141,360,17,105,122
17,141,238,19,157
157,53,412,875,51
412,99,122,11,86
99,222,55,145,21
14,122,86,31,21
163,133,6,34,106
99,143,498,25,21
142,81,84,105,203
157,64,122,238,17
555,157,41,20,39
99,86,29,245,11
420,432,90,53,17
105,141,245,7,238
111,201,80,82,86
122,86,48,141,36
53,99,147,106,59
37,63,22,50,57
223,17,518,12,25
238,122,157,6,62
19,64,5,35,29
19,412,40,75,89
91,89,80,18,61
99,89,21,45,11
157,91,19,222,11
17,6,19,106,77
21,99,45,51,32
131,235,711,25,24
63,17,101,75,102
103,141,29,81,86
54,222,150,61,37
131,11,141,24,254
16,143,37,83,89
21,53,45,222,99
234,421,203,102,25
875,122,81,497,523
555,202,142,17,99
161,81,25,63,96
238,107,55,222,84
555,82,106,25,99
55,103,202,114,238
84,145,13,24,107
