Champion1,Champion2,Champion3,Champion4,Champion5
119,104,67,29,51
68,91,103,51,119
121,141,120,80,5
79,9,106,104,48
4,24,17,121,517
350,37,83,85,67
202,145,222,119,21
266,58,141,122,145
81,63,121,517,86
55,40,117,267,99
161,69,24,7,75
112,777,157,166,24
122,64,141,164,412
79,238,64,39,121
64,29,107,117,267
238,115,711,777,7
164,122,41,266,126
81,51,202,157,103
421,141,113,245,121
92,67,58,120,412
238,517,92,81,105
107,555,517,30,92
20,111,43,89,154
145,202,51,523,236
157,777,35,105,5
61,90,51,267,8
39,104,84,236,92
157,91,777,238,141
55,131,61,84,114
101,555,157,6,777
67,145,202,110,236
81,236,64,145,51
39,517,23,81,246
420,99,50,516,122
427,498,26,29,69
76,245,145,92,246
3,86,48,31,23
104,141,121,19,59
55,35,29,39,234
238,360,21,84,777
51,81,67,145,22
68,126,24,266,57
412,53,157,79,107
54,518,75,58,45
412,84,497,12,25
875,17,223,122,555
238,92,64,54,101
33,11,412,44,141
235,28,55,120,141
61,50,236,8,112
157,126,268,245,134
103,141,75,134,82
145,81,498,22,67
154,157,120,41,104
84,157,82,238,24
104,38,245,131,28
122,41,106,31,121
12,497,432,89,412
11,154,2,245,45
84,777,238,55,517
7,91,236,133,21
161,5,157,39,131
777,157,516,112,98
60,121,64,145,18
517,121,876,104,245
64,2,8,141,157
51,412,64,40,81
555,63,29,235,40
81,145,498,18,236
24,114,62,875,86
164,79,777,234,84
27,119,17,268,76
122,114,240,106,223
141,157,875,20,887
81,245,18,119,112
18,78,29,103,99
29,101,51,26,15
141,60,121,164,245
142,711,24,163,246
201,412,497,111,43
84,246,92,64,55
58,23,80,8,92
61,98,56,101,14
59,58,31,81,43
164,6,24,114,122
18,145,236,79,81
141,131,91,157,234
103,60,203,498,876
69,121,76,114,13
222,67,202,81,145
55,157,64,238,67
84,8,268,141,238
99,103,43,147,25
99,350,84,117,267
20,111,516,12,68
39,516,875,104,18
92,23,120,122,17
86,40,1,82,54
102,254,236,22,61
122,54,114,104,69
157,238,141,92,121
106,62,875,122,157
141,202,145,35,51
202,412,14,29,119
62,86,10,30,202
61,164,517,38,777
81,51,21,235,18
64,203,28,234,131
236,119,21,777,29
142,55,21,161,69
163,79,99,235,432
96,145,63,15,21
246,360,84,141,245
6,11,122,24,876
89,350,235,104,117
58,164,13,150,39
40,43,143,350,37
105,8,101,34,38
145,81,39,236,18
133,81,51,150,145
91,83,133,16,90
107,238,157,222,246
103,91,157,134,45
887,92,246,141,245
202,131,64,7,112
111,150,68,57,412
23,76,15,266,141
122,55,64,92,24
164,39,84,13,266
79,64,14,119,157
81,145,119,202,236
142,202,412,555,432
119,1,222,18,360
113,83,141,56,33
5,104,64,121,60
163,50,427,235,13
67,81,145,412,236
421,412,51,18,60
31,39,58,62,14
119,29,18,222,96
246,14,67,222,202
64,29,35,39,41
98,27,14,777,10
67,99,145,157,81
202,112,92,164,157
14,126,13,4,221
35,24,23,5,119
8,39,92,84,246
86,92,64,24,875
432,26,267,117,40
30,9,72,119,79
58,164,114,24,92
6,164,777,166,8
5,32,119,202,79
234,141,78,24,23
61,64,55,92,268
69,103,517,113,86
202,164,81,51,39
107,91,234,120,121
119,67,96,51,202
25,117,43,412,267
64,245,157,5,11
81,42,7,145,18
85,498,112,147,517
412,39,117,350,99
119,202,516,14,4
67,16,498,55,145
236,92,64,157,67
53,412,111,555,5
161,39,8,134,777
55,69,82,41,101
202,98,101,45,150
777,86,19,498,157
92,114,41,104,126
145,119,202,104,236
121,77,107,141,64
41,6,76,2,112
236,145,81,517,13
157,266,8,23,48
50,516,115,101,266
39,236,114,84,92
64,121,104,5,79
8,114,39,266,157
145,11,64,76,234
157,238,777,161,23
142,84,64,69,13
164,39,114,85,84
412,64,29,81,55
119,222,21,81,67
157,39,777,7,238
55,86,350,99,39
104,876,102,131,79
107,106,75,875,82
37,43,267,51,40
28,121,102,35,30
427,35,412,102,33
131,157,38,39,91
222,67,429,236,202
67,81,145,22,18
11,10,19,119,54
67,22,81,51,145
412,432,497,555,12
11,67,157,64,121
53,63,20,12,75
157,238,69,777,84
90,45,145,777,166
53,12,412,111,497
150,20,110,36,58
420,14,83,28,516
111,25,43,117,412
81,412,51,236,201
23,11,24,29,121
64,5,59,121,60
44,412,111,12,43
