Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
117,145461,267,103061,43,96639,497,85432,235,81444
55,2152096,40,434336,37,163254,117,45074,16,30901
29,343736,145,227872,81,163469,222,156098,96,102269
76,75694,131,75250,104,67350,5,56997,102,44987
236,57761,238,34488,8,28604,103,24610,7,24509
157,648363,555,331699,234,243464,777,153028,39,82014
238,415343,84,404140,157,225348,412,189741,266,141318
145,284323,67,186594,81,181638,15,162260,22,120684
236,623338,81,535826,18,500767,145,403155,67,402351
24,172757,41,130343,122,105862,64,75628,69,53134
412,973195,40,461420,53,370209,555,341128,35,198941
68,152028,145,125220,51,114462,18,109208,59,88194
55,523536,35,150782,29,114875,39,113500,234,105415
498,369797,145,258102,81,191292,236,115291,51,103181
16,358126,498,306772,497,222420,412,218911,143,123711
39,902944,24,219597,164,193159,114,171317,240,73309
236,57913,145,52806,51,43890,29,35959,81,31993
64,210754,412,151044,157,132207,67,103946,24,103243
238,169731,497,119359,13,112587,55,89901,81,85892
157,259441,245,192465,104,140943,24,133026,236,119991
55,278401,35,173750,238,140351,157,120020,8,107140
875,330301,157,289946,523,187436,86,164096,6,116772
104,282207,81,174005,48,131851,245,130613,2,127086
16,305368,9,222132,89,218330,10,126676,40,117870
64,440658,412,163667,4,74976,81,71872,67,68129
39,118562,38,91154,64,83617,238,76412,7,48964
84,296894,238,133254,112,127930,202,100867,101,94574
56,2243693,90,309795,5,241797,141,209159,154,188149
106,450941,77,226402,75,170753,25,114978,86,78619
4,326215,157,138216,427,103725,54,99352,517,98888
40,521147,412,308151,432,294843,555,235525,16,156502
103,803922,141,140875,75,101636,134,64473,82,45145
145,253497,29,246885,67,207299,55,104986,202,102315
117,825758,267,477428,412,434615,25,188167,16,180313
12,477457,143,328068,497,175542,43,152421,201,129123
67,690421,77,311081,107,189296,141,168962,145,162311
79,212910,19,157769,59,135703,421,131577,64,124639
360,84900,67,79908,202,68178,119,59436,222,58523
29,602462,202,520520,267,257442,51,256246,41,202768
55,602224,86,338483,350,271278,99,192978,39,132952
122,379953,31,113167,86,111624,17,107526,19,103570
412,114868,432,107709,40,61804,24,37599,10,21803
142,70758,360,38520,81,30909,202,29317,103,22223
114,376192,39,349882,84,199946,126,180916,62,154936
39,319945,24,180719,121,107439,114,100321,42,79532
266,151822,157,64939,39,63464,55,36727,875,36415
29,661198,81,282238,145,181242,523,152340,51,112410
145,441581,81,265503,236,172406,202,169570,18,129591
235,263011,412,94353,64,60796,157,38441,76,35863
147,942232,202,490166,432,281916,222,201624,119,111619
31,388496,75,338533,22,173075,7,150098,80,102478
145,576942,81,299666,40,198633,202,179327,15,127782
238,215444,38,200188,157,100298,164,94872,121,94045
122,363527,157,212929,104,114320,875,100654,266,100218
145,418686,81,255578,67,238636,523,220942,202,210505
117,119958,201,113188,497,100891,40,83117,43,70999
121,143530,143,77787,64,61965,131,58870,141,50925
64,106639,238,100880,236,98940,51,94801,145,92218
55,573006,145,276923,67,177331,69,145266,18,124621
51,152298,81,144179,67,74547,145,73431,22,61530
105,680934,64,601205,76,147942,121,132278,61,124465
19,444460,64,291309,59,129978,102,96243,113,92536
267,371895,157,345242,41,158455,50,145007,103,137600
16,339100,107,193097,117,167986,202,167534,350,122156
24,198024,86,193482,23,172782,875,154182,122,128213
67,426497,238,313784,51,210417,412,169600,145,133836
267,409976,350,332122,16,286219,40,217786,117,217488
145,401456,523,289794,92,249058,67,145327,41,139306
142,632109,3,258463,134,183365,517,164860,13,120021
68,250565,41,182260,161,103047,24,83608,27,67897
84,86852,8,55055,268,33650,141,29378,238,28519
84,35343,81,29809,7,27956,76,27511,517,25336
91,405509,238,284012,8,234339,157,199642,64,164649
122,229135,16,141758,64,129130,99,110979,777,97745
105,263582,157,155874,777,130612,238,114771,38,90809
202,273015,81,192116,266,185283,875,150599,84,134767
119,59752,29,50599,76,40947,164,39015,53,37157
266,308066,23,103353,112,67097,41,60402,82,52900
18,133055,78,120275,29,111290,103,105428,99,100006
69,430866,412,414426,55,399790,4,343825,39,189598
145,135198,498,72266,81,66592,119,62797,236,61249
9,456195,141,237345,555,232118,254,152341,20,130488
81,96090,164,67824,236,55002,498,36972,41,31280
777,332114,69,282909,38,272127,61,257393,7,210148
58,83137,523,61410,104,37891,64,32243,67,30449
84,359142,517,279452,7,145219,134,137056,157,115598
24,186974,245,137592,497,54224,427,40746,58,39214
99,1150525,55,987862,267,190100,103,139270,21,129838
421,529107,236,179017,14,152204,145,140689,48,125117
