Champion1,Champion2,Champion3,Champion4,Champion5
555,350,69,23,63
99,267,117,25,498
79,555,41,33,201
145,236,18,67,29
51,55,498,81,141
119,51,15,18,110
39,111,89,21,145
223,240,150,27,83
64,81,412,7,145
81,105,145,360,67
133,35,107,56,51
202,51,245,81,145
238,86,55,245,122
27,48,23,14,41
111,89,63,117,56
8,875,38,202,115
266,75,122,164,83
23,64,235,432,119
236,1,81,145,157
28,113,86,24,45
145,555,412,81,51
8,245,75,86,58
119,32,24,29,134
99,16,10,22,37
523,18,202,81,29
122,24,103,82,86
99,25,19,141,53
64,246,412,238,20
78,518,28,164,266
164,39,876,875,96
27,39,92,164,126
142,7,13,84,517
64,246,84,4,517
245,157,238,64,163
121,24,141,53,11
141,35,1,64,50
245,238,157,13,39
69,234,122,777,101
64,24,86,23,58
103,157,134,18,1
11,24,157,67,122
238,127,236,222,62
17,25,89,145,81
121,7,360,11,62
202,67,238,157,236
157,8,39,24,84
12,412,22,555,497
64,81,67,145,8
98,141,254,32,54
81,63,235,222,99
235,45,19,111,555
82,92,157,164,30
238,24,202,7,81
202,21,18,222,51
238,64,55,92,157
92,107,64,412,53
157,8,202,39,45
92,157,41,17,202
141,20,74,240,29
164,5,41,2,10
161,45,22,222,28
11,24,62,19,48
82,11,53,142,24
92,14,412,53,89
157,266,14,86,82
202,222,101,51,81
18,102,81,22,67
131,105,64,24,412
119,202,222,145,164
34,22,157,80,79
268,238,64,412,157
119,67,498,145,236
84,157,51,39,92
268,517,34,103,105
86,29,39,8,75
245,50,2,3,517
412,40,16,117,64
24,517,39,81,18
39,875,92,55,157
99,55,103,7,246
117,497,16,267,350
37,21,115,99,89
412,35,91,555,141
67,18,145,222,10
161,142,81,517,498
67,7,157,112,127
875,266,157,238,77
234,31,39,131,86
360,555,157,84,238
6,86,516,266,25
29,24,11,107,32
67,222,51,202,157
92,164,163,157,64
141,203,24,92,98
64,5,55,121,157
103,45,99,84,161
141,79,28,32,86
134,61,99,51,131
64,157,238,55,141
63,115,69,121,161
141,121,60,555,64
37,102,89,21,350
141,9,876,517,104
157,99,112,105,69
67,523,81,202,51
55,38,131,28,121
22,143,235,51,45
235,157,121,104,245
106,86,80,141,2
76,154,33,120,121
67,141,236,29,51
55,157,246,91,238
236,145,202,64,67
131,24,62,238,114
13,2,516,350,517
236,67,81,51,145
498,202,145,157,81
55,39,157,141,84
9,412,26,35,16
101,412,4,64,81
67,51,119,202,145
7,238,222,67,69
517,141,7,5,56
64,157,121,67,202
51,81,145,18,74
8,31,114,48,98
17,54,99,77,16
157,223,238,777,39
98,41,164,114,64
16,222,245,157,12
157,92,122,106,777
75,98,86,121,3
64,35,8,267,238
222,235,202,119,24
238,236,101,41,157
69,25,498,21,131
254,67,222,59,201
432,518,34,142,555
164,8,432,84,54
41,3,38,142,131
157,238,29,67,7
202,81,157,145,14
9,141,121,131,234
555,53,161,412,111
20,35,19,48,33
157,238,64,104,35
17,1,11,10,122
12,412,43,117,29
523,81,202,222,67
142,161,202,498,84
17,122,106,164,79
121,64,69,60,104
254,101,61,42,11
25,40,37,235,16
555,412,121,14,266
67,238,145,245,29
266,84,238,12,24
555,99,497,267,101
143,74,50,81,136
45,50,105,9,131
412,17,101,58,11
154,64,234,421,876
122,31,83,17,14
420,86,6,31,45
164,98,122,24,54
516,117,75,37,122
121,1,104,11,222
202,498,51,67,222
38,67,145,498,119
122,104,64,157,67
555,50,875,80,201
145,222,360,777,166
82,98,412,51,58
427,113,555,28,120
81,236,21,15,22
420,91,83,31,45
29,202,81,119,523
28,37,145,75,45
157,238,55,64,91
55,202,157,114,122
86,2,23,24,114
267,26,201,497,63
96,67,7,202,22
55,161,122,777,157
412,92,64,81,67
164,245,157,412,141
67,236,51,22,81
133,17,84,51,99
92,24,38,11,157
245,145,236,517,81
122,131,107,157,238
121,2,39,236,120
141,29,412,55,18
6,117,11,43,25
77,157,121,82,67
20,115,875,420,99
83,6,875,98,82
51,29,18,145,67
82,101,98,69,99
14,64,412,53,523
412,103,26,81,7
350,43,91,40,143
497,432,28,142,555
238,41,131,30,24
142,45,24,64,154
145,81,236,67,51
51,555,145,202,19
45,53,58,113,92
34,61,103,19,8
157,55,67,202,203
121,29,245,28,157
55,33,53,157,161
238,157,85,74,58
77,99,17,45,11
134,84,69,85,29
67,236,222,16,429
4,60,86,36,64
238,39,24,75,81
141,412,266,164,157
268,157,61,67,81
104,236,421,81,59
203,34,32,254,240
69,8,134,34,67
131,57,39,74,75
64,35,79,27,9
22,145,498,81,126
245,7,421,145,236
82,86,122,777,555
29,63,40,111,498
55,105,119,8,157
157,517,245,84,61
157,122,58,105,777
9,145,131,24,56
55,157,107,38,11
517,101,131,13,84
81,110,523,245,145
35,234,113,223,91
157,8,141,91,114
8,10,54,13,45
107,121,164,141,120
412,89,63,12,99
111,21,53,412,5
20,28,81,39,64
43,17,12,25,117
67,33,58,64,5
19,35,107,121,131
67,157,64,114,245
517,142,82,875,50
74,143,40,235,63
3,77,75,6,64
3,412,67,61,92
117,29,81,145,18
350,84,131,55,16
141,18,67,24,32
142,55,99,246,222
875,41,350,107,91
101,29,51,114,18
23,18,36,2,113
157,238,64,67,41
91,147,202,106,29
222,145,21,202,51
16,64,516,9,99
142,84,29,11,35
157,238,555,81,76
40,25,267,89,18
157,55,238,8,777
84,111,267,106,89
523,202,145,81,498
101,267,81,63,127
238,67,107,157,202
157,166,777,24,11
104,245,17,11,131
555,81,497,412,40
64,59,56,412,79
33,45,10,92,107
121,82,141,154,75
55,222,67,145,22
35,43,350,16,53
555,412,89,432,98
55,84,157,11,238
111,117,147,14,86
555,141,99,19,350
11,107,105,157,121
516,142,245,134,238
122,86,157,238,11
157,107,92,238,141
41,2,98,39,104
98,58,89,60,24
67,51,202,55,21
10,164,31,102,516
150,517,245,420,84
64,107,35,157,104
29,157,238,67,202
41,50,83,516,98
67,202,51,412,236
79,161,516,3,412
164,64,91,83,36
246,64,157,121,55
236,15,22,51,67
67,238,157,222,236
59,64,39,141,41
164,8,39,24,92
141,107,92,75,121
236,145,69,134,7
145,67,142,119,360
67,157,64,55,29
105,14,61,99,101
107,45,18,99,53
10,134,86,1,245
28,254,131,1,19
67,236,157,238,81
222,21,145,25,202
141,110,32,19,113
29,67,498,107,145
69,161,157,17,245
55,777,41,99,238
145,67,81,39,157
81,64,51,157,61
157,105,17,64,7
517,84,131,246,145
245,202,157,236,84
157,254,67,11,202
412,25,117,45,157
86,202,21,119,360
142,245,81,114,236
36,222,141,8,412
51,67,29,202,119
14,107,245,79,35
54,103,19,99,32
517,161,8,238,157
14,41,157,43,236
517,81,236,18,51
127,40,81,121,99
412,67,81,555,51
92,22,164,141,39
164,11,86,14,141
497,412,111,555,89
98,22,201,86,20
122,11,114,82,236
266,98,114,82,53
121,119,122,238,5
238,157,29,31,112
157,99,777,91,55
51,42,43,22,81
35,29,131,38,157
119,236,31,18,63
31,11,5,122,24
202,145,498,119,236
157,55,238,121,67
107,121,33,11,20
13,38,420,4,69
121,154,11,2,120
81,96,67,24,51
157,81,51,67,235
51,81,18,110,145
84,777,13,3,38
64,41,412,43,12
157,26,238,31,64
29,202,157,222,104
84,157,91,517,61
157,122,24,266,58
122,104,101,82,4
11,107,77,17,67
107,19,104,121,64
92,55,157,67,119
84,91,517,81,39
7,55,92,84,35
27,38,4,75,40
99,161,37,235,111
53,350,86,99,29
89,32,57,48,36
86,56,75,36,82
64,412,238,157,119
157,10,8,164,92
8,23,131,157,38
67,81,234,412,555
104,19,5,31,121
64,18,31,29,104
202,43,84,245,497
157,86,55,31,75
99,412,62,53,103
143,55,21,7,103
432,80,254,9,133
202,67,157,55,222
236,202,412,22,41
238,13,777,84,10
24,79,122,64,777
14,238,235,4,266
157,67,81,64,222
268,142,55,115,7
55,238,350,39,68
127,99,61,34,105
69,28,24,5,238
142,31,18,9,234
245,107,105,238,4
35,29,63,55,221
8,55,39,202,67
222,67,202,21,412
99,267,103,16,202
51,35,235,412,81
11,81,92,99,24
875,82,14,75,516
91,161,45,102,103
202,96,102,21,45
41,51,81,412,67
412,55,79,555,157
555,45,711,82,245
35,64,121,432,421
122,41,202,14,85
121,104,92,266,517
67,145,236,55,51
39,89,111,360,24
421,150,1,23,157
63,235,497,555,37
43,16,117,267,37
420,55,54,164,6
31,245,64,141,86
141,28,555,234,203
64,157,29,238,8
64,202,81,51,236
81,67,51,429,18
420,39,157,102,64
121,62,141,131,5
117,350,498,25,103
157,41,24,119,164
119,145,67,202,29
39,240,64,62,360
876,427,136,518,223
41,29,202,157,67
119,81,145,18,67
92,16,40,267,117
91,161,12,53,412
234,122,107,516,141
157,141,161,84,145
112,238,75,98,86
141,245,19,120,113
64,202,141,67,18
157,63,202,11,267
91,15,145,236,202
34,61,134,8,114
157,107,67,120,412
22,81,145,67,76
120,245,157,122,86
55,134,222,145,360
154,412,22,9,64
55,98,115,412,84
238,555,43,64,412
141,157,64,412,238
18,86,157,105,45
222,119,67,18,81
55,777,61,35,134
432,201,497,412,64
157,14,122,31,17
11,412,81,222,15
29,202,81,145,51
246,238,157,64,55
145,245,498,202,107
41,14,31,150,164
35,91,29,164,77
64,67,145,236,238
555,63,11,350,141
28,350,99,145,117
202,81,163,51,145
222,18,145,234,110
41,412,92,107,12
202,145,238,64,81
41,266,24,29,104
18,236,45,15,67
21,6,875,240,150
23,24,113,28,2
202,235,18,145,21
41,126,238,236,64
13,4,157,112,777
777,157,86,23,875
40,37,43,99,25
29,119,202,145,15
6,238,141,202,104
24,101,113,86,141
40,55,34,555,8
254,59,105,81,102
202,67,84,18,99
112,69,103,81,127
517,245,161,91,8
24,11,79,141,75
64,35,41,77,121
55,134,39,131,4
164,114,777,24,10
39,157,134,238,777
119,29,16,38,82
67,81,18,64,202
119,29,42,161,30
222,29,119,498,157
29,202,236,235,145
64,92,238,157,67
412,81,111,235,43
27,154,107,11,39
145,67,236,81,157
126,777,61,157,45
157,236,64,268,104
119,157,81,67,24
157,64,92,8,154
157,238,38,777,92
21,267,99,412,202
157,777,84,246,875
555,412,497,67,350
81,99,150,62,57
145,157,360,67,202
64,157,106,75,238
24,157,238,64,67
412,103,43,12,55
96,77,29,62,54
91,24,45,54,75
20,141,33,35,90
117,37,99,267,350
202,432,119,81,145
245,26,143,267,117
157,238,11,64,777
142,555,157,35,238
14,12,497,8,555
35,202,245,29,79
29,235,145,76,51
887,23,157,64,84
