Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
245,298534,412,211708,24,185594,19,95134,154,86966
238,310824,497,176813,145,165440,157,114693,6,98882
202,166775,157,123611,141,120206,236,108550,64,106299
64,254673,121,165059,91,164456,112,163782,157,163442
161,253511,74,152320,101,110086,111,109364,89,93642
7,203498,61,77220,112,63686,84,58403,39,52010
60,154058,121,123362,55,107265,141,101618,131,77641
11,245901,412,79238,876,75476,105,70870,17,66933
55,94595,238,91863,157,90373,101,87487,84,79570
161,243839,24,132345,157,96659,222,83278,141,63822
8,492070,23,146970,131,88628,157,85175,38,75190
43,154748,17,120975,12,82382,25,57107,117,54315
134,111019,268,49074,7,40985,112,40713,39,33628
238,320465,64,150463,245,82578,121,78598,157,67960
117,365365,64,131414,412,116965,99,67334,53,55722
145,687884,67,435883,81,375384,202,351422,236,184097
55,1454364,238,433408,53,153441,67,95825,25,89667
41,84234,3,68330,38,30072,142,26327,131,21998
238,311638,8,305888,38,249820,157,162075,24,96014
412,626842,64,246109,81,213292,67,146024,134,145209
142,348309,84,108331,64,99260,69,98884,13,91925
39,154916,7,140869,81,133575,145,108494,236,104409
164,412879,498,106095,555,77835,240,64037,145,63217
86,437231,122,178975,238,125636,360,122450,161,107953
67,607585,145,227137,141,219121,64,218624,498,152874
121,109682,8,70380,23,41267,24,33435,28,26084
427,313427,161,118692,81,68888,69,67545,75,66328
67,603420,55,157645,157,154978,81,118595,222,112820
887,290696,23,192093,157,190597,64,52295,84,51591
131,219945,64,192756,63,182740,39,136620,157,90276
13,138040,38,116127,420,100694,4,79265,69,63246
39,70325,254,66938,18,49962,84,48766,518,26204
11,66439,157,39473,104,39224,555,36662,119,36363
74,266298,25,65959,101,43871,235,29438,54,28114
222,441226,133,352479,202,275814,67,180106,145,136510
142,1346276,9,497041,45,281910,555,274179,518,178975
117,388977,21,218267,40,209117,28,99970,497,97761
55,103238,142,44501,202,40574,7,37961,22,34750
35,721368,236,370064,51,283621,145,168364,498,155228
154,210260,157,102683,64,100365,53,88342,238,85055
55,1121602,238,302721,75,241689,157,228977,105,71200
142,49302,45,43639,56,33692,131,32888,18,31583
