Champion1,Champion2,Champion3,Champion4,Champion5
45,9,57,60,35
7,64,421,101,69
24,238,122,67,64
35,53,81,555,101
81,523,517,236,777
4,157,43,13,81
157,517,54,80,497
26,143,59,53,9
53,157,64,122,19
157,238,122,64,555
117,267,40,16,43
12,412,81,201,89
81,236,145,15,498
161,63,131,518,79
267,143,117,25,103
8,84,420,246,134
429,81,67,51,202
157,39,266,126,164
120,64,59,245,104
126,236,517,39,84
412,64,53,81,202
202,18,51,498,15
7,67,53,81,64
3,133,79,62,103
350,81,37,16,117
202,81,64,67,145
17,267,32,117,99
81,64,236,145,164
120,234,104,64,245
81,523,360,145,202
122,39,58,114,266
76,421,876,60,104
81,236,110,145,122
266,8,238,120,126
39,84,164,266,202
20,80,90,63,53
20,245,48,77,234
57,27,16,37,48
81,114,64,68,67
43,21,25,53,81
81,145,78,202,517
39,517,81,142,523
117,350,112,89,164
555,412,147,497,202
81,238,104,157,67
81,523,429,145,360
81,236,51,22,67
91,238,7,517,221
45,7,84,81,91
81,141,51,350,202
412,526,555,111,89
157,412,92,64,150
20,30,163,245,60
103,117,432,43,40
7,157,4,39,517
145,523,360,202,81
114,69,4,245,112
104,76,64,35,421
412,12,64,53,7
154,421,114,8,157
157,121,82,80,238
92,81,51,498,523
523,81,222,145,360
141,131,64,11,121
236,131,517,21,222
238,236,64,126,517
38,11,131,157,34
360,18,222,145,15
85,54,114,876,86
81,202,145,222,523
81,222,117,145,67
145,81,157,67,7
11,154,19,67,55
81,53,412,64,25
154,56,60,59,112
412,64,89,238,103
421,81,236,498,64
81,64,22,236,51
157,145,236,67,81
45,412,53,101,81
238,64,91,157,517
114,107,35,104,64
92,122,157,238,64
55,517,145,202,81
91,157,64,4,238
412,25,203,43,235
82,86,10,62,57
154,141,81,157,104
81,145,67,236,53
157,81,238,64,67
39,164,157,24,266
81,64,238,236,92
81,145,222,236,202
154,54,57,81,412
56,15,78,76,203
121,28,421,60,64
81,523,22,202,221
523,81,429,145,222
157,43,8,84,75
64,104,122,41,81
20,141,104,5,28
24,126,8,64,266
76,421,104,64,121
412,53,555,64,92
89,117,43,40,498
67,236,145,81,92
412,12,89,432,526
4,112,60,127,136
145,81,92,38,55
64,67,157,236,92
517,38,63,39,13
64,76,81,238,104
58,111,412,80,68
81,236,202,145,67
145,81,236,64,39
64,76,7,92,81
164,84,39,126,64
2,157,92,64,238
79,64,81,92,104
126,39,104,81,777
26,350,104,91,31
89,53,81,57,90
202,145,81,67,21
91,245,55,238,39
105,53,38,81,157
203,30,39,80,234
20,5,53,876,120
76,64,203,5,245
202,222,51,360,145
432,412,267,12,53
103,238,498,236,81
76,234,360,4,61
18,81,133,63,51
412,81,145,157,236
81,202,429,412,92
141,157,234,50,64
21,117,350,37,267
81,523,145,360,222
360,145,81,64,202
126,875,85,114,24
76,64,30,245,104
555,96,64,81,67
89,429,11,24,157
23,266,2,14,246
39,236,7,777,134
421,30,60,104,56
412,126,236,64,81
104,141,106,234,876
360,202,222,350,145
81,202,164,236,136
64,81,114,236,104
76,39,67,236,104
64,412,81,39,4
236,81,145,429,64
107,104,55,35,121
39,555,64,246,240
67,876,64,76,24
74,68,38,75,82
203,234,64,104,517
523,103,22,81,145
517,104,103,28,59
99,25,63,143,21
81,117,103,40,22
81,145,236,119,202
145,81,157,202,238
412,53,117,12,22
202,222,523,81,145
122,266,35,64,121
154,20,64,54,517
68,201,54,236,59
145,523,81,360,64
81,17,555,64,51
67,236,266,517,58
39,14,517,106,84
76,203,28,134,164
48,12,3,99,57
497,12,238,157,126
266,141,57,202,80
67,126,236,81,145
81,67,222,202,145
91,145,81,76,157
517,234,266,145,523
104,64,157,236,238
104,64,76,112,134
517,84,26,7,142
48,90,53,89,67
126,41,164,150,84
421,104,121,120,81
142,134,7,236,238
64,84,35,517,245
64,81,39,60,202
5,64,54,91,81
203,17,7,85,55
64,238,39,7,67
113,203,64,59,202
203,121,429,64,60
81,236,202,133,78
81,39,78,157,412
412,64,236,91,238
523,202,145,360,110
7,43,38,238,64
8,157,412,11,39
62,81,266,64,517
60,421,112,126,79
523,81,51,360,145
121,245,7,64,81
517,777,238,91,105
350,117,84,267,37
145,202,360,81,51
266,887,114,875,81
84,91,25,222,555
122,421,121,92,64
121,62,5,131,82
246,81,202,516,145
76,120,876,104,245
412,53,555,89,202
517,91,39,4,777
105,104,76,30,2
64,104,121,235,246
63,64,25,555,81
78,122,11,48,157
92,245,107,13,84
58,157,11,875,122
142,61,43,81,134
120,2,104,50,76
55,39,238,157,166
412,43,25,267,117
33,54,111,120,9
119,145,81,202,360
412,12,43,111,497
115,30,20,163,68
64,236,81,51,104
141,35,82,235,875
141,268,245,157,11
39,517,84,104,7
81,64,157,8,145
39,145,164,81,55
223,12,111,412,3
92,39,157,81,236
104,245,246,84,50
81,53,67,236,145
61,103,4,245,112
157,23,86,777,11
67,54,69,39,64
119,432,145,67,28
412,432,223,12,40
81,202,145,67,222
350,11,67,101,53
41,64,98,157,16
2,234,141,77,104
64,60,76,78,99
145,126,236,222,101
99,89,43,117,412
39,35,517,157,64
15,51,222,81,22
55,84,777,238,39
11,33,86,75,54
412,53,117,89,64
51,81,101,35,161
26,133,51,67,412
147,26,104,39,35
134,13,61,164,163
412,53,201,64,32
53,43,64,28,412
222,81,202,498,145
238,11,157,114,39
555,55,127,157,84
64,104,5,245,48
497,98,89,25,12
163,104,59,876,64
412,53,134,111,25
35,141,56,64,59
20,24,4,42,84
8,117,81,121,145
7,112,104,81,61
164,126,517,92,104
432,412,68,34,53
7,64,238,126,60
53,412,145,51,67
412,81,67,222,64
117,267,89,25,15
517,126,64,84,39
119,67,81,51,114
145,81,67,236,222
64,81,236,145,39
126,39,114,164,24
412,555,202,81,99
81,104,236,64,238
157,238,105,126,39
105,89,64,81,412
145,236,498,523,360
157,55,64,777,245
526,360,235,888,202
64,236,41,126,266
64,24,5,104,48
412,9,12,117,104
234,64,60,203,104
238,236,145,67,64
266,164,126,875,236
555,39,68,101,777
30,64,60,245,104
432,12,43,412,57
38,13,42,8,142
222,523,81,360,238
40,25,64,41,81
266,131,350,104,59
412,64,53,81,104
236,106,81,518,101
238,157,42,64,91
432,555,107,497,105
55,157,103,92,91
39,157,80,517,24
516,223,234,82,126
59,11,99,53,17
29,90,236,18,67
64,7,412,238,157
81,432,412,53,235
53,412,157,122,79
157,11,238,64,92
711,164,142,84,45
92,39,61,7,64
104,91,64,5,76
81,236,51,67,202
3,39,64,122,777
60,76,19,77,64
22,145,202,110,21
412,12,497,43,432
222,145,81,221,360
117,51,350,81,145
81,145,236,29,360
106,202,141,145,222
4,38,55,142,157
