Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
266,124094,126,77659,39,64466,164,40700,517,39502
238,429884,236,134557,145,130125,67,101330,64,85474
234,225320,10,179661,777,176145,120,161611,104,119311
412,360116,238,212892,92,212037,107,193670,7,182946
157,172559,92,118584,91,111408,64,103294,238,101800
421,609250,30,49854,60,46029,104,42807,56,38082
119,180363,432,86127,145,23029,67,22964,28,22066
235,103119,81,90480,523,37381,51,36628,236,33730
17,1015974,23,742533,164,732656,104,360390,236,233041
412,404774,12,202729,7,193651,117,150029,111,126048
131,257891,245,146552,412,143017,61,134673,64,134296
145,159672,81,154013,157,139699,202,128289,238,126077
114,250572,245,186627,64,150086,89,138585,203,136866
245,164859,104,130328,114,120747,2,88125,876,81340
268,241721,64,151279,111,113492,235,103701,12,98028
154,262203,106,116872,245,59912,104,46996,234,29734
412,528209,61,250208,60,124546,53,94047,267,90144
39,148448,35,139609,517,124945,157,120019,64,68935
67,969022,81,374318,145,322769,202,169364,236,165376
145,563525,67,545978,236,384762,81,348598,222,282156
238,261915,157,141967,84,125189,24,65480,39,26323
69,1699514,145,257003,81,253903,236,213724,245,155010
164,629186,114,212315,266,91107,777,80598,84,60151
222,289027,11,258065,145,231474,67,206721,81,179405
74,489111,17,468453,90,139004,14,104839,54,83485
117,144537,12,50350,89,48007,350,35949,16,22386
7,112354,142,86275,4,70790,236,65533,64,60906
157,186725,145,162540,67,115465,122,114784,81,114272
91,452132,38,103779,69,101786,117,90721,222,89867
40,916863,267,888843,16,409375,117,403649,350,357717
16,132102,117,96964,350,56075,37,54004,555,48998
121,174752,62,43197,5,31392,131,22110,82,21020
81,145328,145,86474,523,67167,202,53721,360,36588
555,178649,96,166340,64,143674,81,140024,67,137088
163,114490,64,58724,104,49300,236,48380,81,43540
104,49892,64,49348,517,30645,76,29925,245,22100
81,169096,202,132807,236,98482,51,58152,39,55852
30,109461,134,46964,81,42456,80,32578,517,24207
236,217701,64,192714,202,174258,81,155776,145,139321
81,82877,202,68706,145,54183,236,46021,51,42489
516,251568,58,146854,266,135427,517,76740,82,43044
145,402380,498,224979,81,154998,21,140332,360,135367
80,410841,91,360791,246,335530,245,269222,41,197948
238,950166,157,656456,53,225519,91,216865,64,152101
523,157006,202,90479,110,64820,119,54955,69,27365
81,125740,104,116312,67,105385,64,96499,222,95155
127,1190338,61,113689,25,103812,112,93572,58,84781
154,830413,141,258843,81,137085,157,112065,104,111884
89,145156,58,103988,202,84777,43,68219,112,64257
412,68050,89,54522,12,38636,131,36234,111,35114
