Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
236,77967,360,77446,81,68682,145,34853,101,33674
99,299194,33,183813,143,177923,5,80886,101,56423
81,113654,18,92217,202,83554,67,77968,236,31498
80,154648,101,143962,43,119321,98,115632,53,108092
29,98572,34,72924,51,49720,81,32393,360,27305
875,132974,266,66355,121,61427,92,58959,86,57852
27,626128,266,592792,11,493933,75,252275,420,183592
81,339805,7,168944,523,152141,145,128952,67,123042
39,51122,35,35564,412,31578,84,24932,64,22939
238,65973,81,49360,145,31539,360,28748,222,22436
150,129649,777,80113,103,52731,62,25212,36,25040
92,156282,11,155867,4,154012,104,152287,80,128434
235,151462,517,51469,98,43597,31,23971,150,22246
28,78262,78,71642,141,62934,5,57571,39,36877
64,73859,20,63655,121,59942,234,45432,876,35180
141,214033,555,116070,222,63722,254,61188,25,58618
84,120376,236,99191,202,85722,131,84165,51,73787
39,42109,5,41879,234,40417,2,27243,777,22707
54,223977,238,161224,67,110009,64,104047,89,85448
412,71490,63,61135,64,56345,104,32045,111,30327
141,147686,104,56990,517,34522,30,33829,76,33307
81,377074,222,334148,51,233542,202,224166,236,203348
17,246585,56,232033,81,135420,25,125416,43,112895
8,196358,30,117585,266,111573,104,111423,202,103730
238,186848,126,175595,236,157557,875,85731,84,68225
58,573734,157,262712,777,96672,141,66958,81,42147
81,55078,145,53318,126,52287,157,50671,84,47741
157,193030,39,76879,64,63929,246,49490,91,45301
122,409566,86,181869,106,99577,875,94850,141,81045
104,56532,202,35863,4,31541,17,27625,157,26324
121,44407,64,32946,517,24108,234,21407,81,21237
245,159935,91,102562,234,99475,157,93659,131,78176
67,163191,240,119013,81,89919,64,87576,114,72903
81,259002,67,240951,360,150155,157,108079,145,105775
122,162317,2,129783,82,100654,875,91006,6,88929
53,99595,412,90890,555,86467,117,59328,101,55756
518,220486,103,190613,101,160740,117,140182,33,121234
58,670927,6,257657,78,112701,114,87883,117,85730
67,83370,81,75544,236,69243,61,61246,39,59794
147,169389,101,76799,350,74352,99,52580,25,38879
64,95170,76,89813,104,65666,163,26160,157,24508
23,529448,98,76515,41,55326,54,54849,235,52223
64,151422,62,77829,58,77373,104,71365,81,63398
17,631582,11,221689,14,126976,111,117450,23,86659
64,75269,157,72546,7,72519,238,67659,81,60626
157,121960,35,107016,164,100204,39,91568,131,85454
64,90694,76,44445,234,40714,104,40635,131,28469
81,249753,64,208508,236,191105,145,177754,238,159989
28,713378,81,317508,4,298403,45,262505,25,197846
67,71529,81,67617,157,63808,55,53346,412,51663
80,551932,202,250451,120,218356,98,181571,154,134699
117,871335,267,264702,143,238071,15,237765,16,235615
67,133995,498,114776,64,79789,92,70837,145,70150
56,81706,76,43798,81,33275,142,32349,7,23553
432,285839,235,144296,57,73070,80,64939,101,59727
57,245561,27,68545,112,60779,64,58128,23,45616
202,832088,119,447721,103,385342,19,266770,222,255929
28,501771,103,109503,81,86138,60,69567,51,66646
24,217504,19,103084,11,70105,235,58482,82,40750
238,92901,245,47497,104,38088,75,28279,235,23189
117,170257,350,67836,203,48403,80,47211,44,32835
429,37803,64,35290,3,22864,76,22793,81,21190
