Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
238,345355,157,108541,517,50897,777,46569,84,40603
2,141474,106,109653,234,82357,64,73355,62,53203
145,164736,81,149207,222,106633,64,94958,67,91159
266,359748,122,99649,67,95562,55,71703,81,71251
24,184853,154,153386,420,136838,67,70882,58,66212
523,48705,145,48017,222,40292,202,37750,51,30361
412,67303,53,52433,888,31798,111,25408,43,21882
64,203893,81,195175,104,137223,202,134347,236,108999
98,86398,57,49452,80,30015,58,26677,111,24696
240,129053,150,38126,120,32632,122,32047,80,25025
360,268548,67,158124,81,108068,157,85709,145,76251
64,76724,81,30631,114,27393,157,26037,875,21026
7,369403,17,363810,53,272219,235,222116,267,196308
164,76838,104,48374,79,40448,13,34150,64,32976
4,36666,3,34176,22,31067,81,30207,875,29377
122,164909,64,84069,238,61629,875,45243,266,44162
236,360936,81,324945,67,313147,112,294131,145,158112
245,38179,28,30569,202,29727,145,26101,523,25897
142,145512,246,132735,4,116762,105,71654,131,64222
64,165561,101,141756,157,141581,266,78010,122,77477
777,157039,30,137896,236,111730,523,56330,112,52422
157,307203,64,285472,39,244686,92,155206,236,152900
246,90838,104,64400,76,46099,64,30284,55,24457
142,74981,101,48858,99,35816,517,32476,115,30529
111,60888,201,37397,117,36830,12,36499,89,26926
145,41795,81,37517,202,35826,236,29690,875,26751
107,968358,157,203577,41,156166,245,128402,64,101691
518,394982,81,264398,101,178113,8,167243,145,166338
81,426266,145,306257,236,217492,114,185917,202,146891
7,83022,412,57900,39,56256,68,52871,51,42706
523,225415,202,83646,360,74849,235,45811,888,37007
3,246920,103,170881,131,157318,90,41599,99,28752
81,106375,360,96014,22,74799,145,67069,222,59153
517,86828,238,53808,84,53510,81,52392,145,48914
53,327922,64,305928,67,284661,238,242098,92,236228
81,286998,157,276721,266,239129,122,224226,875,215839
145,112868,81,101054,236,63436,523,55601,202,52344
141,437136,104,211365,64,52432,876,50015,102,45944
35,227179,142,148518,81,148432,41,113237,145,82761
202,344096,81,233688,51,166217,61,147487,126,143847
245,383685,157,143209,103,91939,238,91050,25,83470
517,270241,235,87685,84,82952,103,68106,246,58762
4,73195,81,47204,7,29879,38,28463,245,24680
412,305186,555,214997,53,203736,25,128251,101,100774
412,115365,111,32647,89,28514,53,27219,98,24288
64,183475,236,138916,81,128500,412,117378,60,114363
26,160328,81,88980,67,87580,245,75514,64,74309
81,41578,64,40998,157,36665,202,26340,104,26252
39,107274,555,67450,157,67048,81,43758,114,43539
141,251255,203,125411,104,51514,59,50121,221,50046
35,855260,101,106154,32,43915,53,40635,67,39230
517,64765,81,56198,145,55937,360,53380,202,21621
121,1413947,64,222446,76,153950,104,142532,412,81668
81,368805,412,302949,236,141390,145,124498,67,123936
81,169178,106,38019,57,35514,53,33533,99,29115
523,117074,876,115005,202,94206,76,81335,104,57296
412,692404,53,673880,81,151243,64,121644,145,92498
64,152832,76,115523,60,85731,81,79182,126,67718
8,135935,69,109486,157,107733,64,82745,38,75832
777,104143,91,75889,145,49364,360,38670,236,37088
67,264787,64,236723,157,152078,81,134111,236,132234
141,962897,238,114883,777,56001,555,45946,203,40869
876,120796,120,99569,76,62454,104,33746,875,21847
81,60369,30,30847,145,28890,104,27530,202,25640
63,158197,99,115979,57,113542,111,103943,23,82485
64,122053,81,111421,236,77108,43,68946,39,62073
53,431449,154,328979,12,267279,111,188733,16,178601
91,577935,67,302881,81,285247,202,220135,236,191373
145,262254,360,226814,81,183525,523,179923,222,122722
412,137755,53,122823,12,72126,201,38479,111,36949
145,92504,64,92068,81,84115,236,49546,412,40084
266,102492,63,80296,236,49739,106,46255,13,45314
64,42699,103,36104,99,34799,67,30184,35,25852
7,103037,157,85039,238,71956,64,68386,76,63935
81,351970,412,198160,236,133275,53,95698,51,88125
157,122083,105,96210,64,94777,121,80485,81,65419
19,105888,1,86569,126,58071,517,42568,150,38528
145,215879,81,111738,517,88597,161,73285,238,72403
412,145165,53,125409,81,122595,103,92571,64,72941
81,472511,64,270681,103,250080,202,194494,67,191841
420,572815,99,454752,121,371550,157,207609,266,179136
81,91835,145,78694,43,69645,22,48959,67,47845
145,205894,202,205251,22,188185,81,169682,236,144488
350,133767,145,88456,81,78500,222,60044,19,40602
412,60091,89,56142,111,45215,117,41361,12,38447
54,50426,350,37943,81,29070,34,26659,36,25565
555,222345,89,70697,157,29498,53,29085,412,28766
142,483466,64,129403,518,101703,238,65535,777,65018
412,92261,64,89094,79,87354,53,79725,81,71760
41,583315,81,412504,202,402053,429,243511,236,224305
235,146580,161,105213,101,55875,25,49866,57,40655
78,97205,81,48228,236,32808,498,27026,67,25779
245,170711,142,114068,517,107771,39,79979,84,64953
145,80569,517,46550,126,35573,555,22842,157,22708
11,566184,54,184329,25,170805,412,82701,111,53729
7,381380,238,219500,64,164003,157,153262,80,105316
64,88343,104,43540,234,30930,60,26896,131,24484
39,51849,64,40889,126,37330,164,35846,55,34298
238,336648,7,301904,39,206241,517,178564,84,112988
202,210368,84,102281,7,48999,81,41448,103,23477
81,62744,145,48810,412,48406,53,39178,89,37261
22,90699,145,46531,54,43182,68,41974,81,35845
104,170804,24,170780,245,151200,498,148654,107,134852
523,396467,222,155251,236,104578,145,95077,777,89509
412,84134,117,49024,50,38079,875,26263,147,25787
18,106576,222,56921,145,54519,57,54318,523,50340
105,363739,238,234001,59,190317,99,125408,58,111179
99,284210,53,142049,89,139837,80,130581,120,93068
39,69999,114,54226,8,38817,81,35625,64,35011
103,222715,238,179867,92,133237,41,94583,64,84907
84,111659,246,96761,777,89429,91,72388,234,65136
429,138873,105,138166,34,133313,202,106037,236,97898
76,121261,114,71458,92,49714,221,40818,104,31972
69,133734,234,55820,7,36274,112,25540,245,24950
64,268006,81,220304,92,196020,412,171332,157,162979
350,1018577,99,71711,117,60248,89,53927,17,49696
81,81307,236,67309,145,64781,64,56068,157,54755
67,383599,145,219903,81,181308,222,145549,498,97299
64,145774,104,121563,76,106644,60,79493,120,66523
412,355615,112,311079,236,250210,81,207967,222,164842
157,168464,64,165631,238,120124,67,115249,92,112602
39,59244,875,30408,234,25229,114,24101,523,23572
141,523172,104,283775,555,215931,203,187522,35,160259
517,48496,64,45609,104,34977,203,29522,245,25352
498,80188,39,78111,81,71255,777,68811,202,66920
53,99999,80,92523,89,68721,420,64880,32,56627
80,616829,24,442046,81,300032,53,266496,104,259019
54,201071,53,170950,111,143539,235,105186,81,97727
114,79284,164,72786,7,70136,39,68000,517,54470
23,207513,11,172791,102,112805,114,54455,133,53202
64,673070,53,208217,81,165541,67,131088,412,103647
76,129645,64,108845,39,62835,157,50248,104,46419
777,68478,11,45669,157,39024,236,32239,141,28392
81,275159,55,238223,51,226013,222,116921,145,91870
82,202814,120,107972,267,107107,75,50600,39,38514
145,259529,67,145331,222,133556,81,122530,498,73618
26,176804,18,81326,202,60802,222,59212,25,45330
412,1003975,53,295480,92,160371,81,134638,67,129015
64,72685,202,71067,81,45437,4,41143,145,32728
81,414861,145,187806,67,145659,51,138588,53,116708
412,729608,53,444029,98,294975,81,126287,4,81143
234,70208,84,65364,236,62648,81,54316,13,45447
412,199135,64,175067,59,159374,157,132742,238,105882
421,614643,164,570551,104,412379,126,233111,236,179268
236,31729,41,29734,222,22451,39,22171,498,21801
81,233119,60,195210,64,145929,245,135387,120,93211
117,87557,43,26435,111,25482,145,22477,350,22239
64,229058,7,127688,157,81024,202,79571,18,78618
64,262111,24,127065,81,125902,157,98143,67,96185
245,267033,64,96968,78,83017,20,59285,518,24763
39,204639,84,173745,55,172495,517,161310,145,143262
555,208777,17,152106,238,58643,82,51905,8,48965
412,122047,43,55438,117,47937,40,47064,89,33431
81,157469,202,68074,145,58599,7,40657,84,38758
115,99837,103,90447,37,76318,30,73617,101,70634
62,266276,121,87457,80,86215,59,80330,35,76797
39,447324,777,263651,84,109610,234,86161,157,60086
32,150604,222,112899,67,107596,102,78938,58,74361
64,192113,142,88972,103,88429,238,88056,81,85027
84,383009,517,47798,875,39960,777,24647,81,22291
875,56657,517,47427,777,36921,64,35977,350,28736
64,240300,104,97559,59,71698,126,63430,5,53118
39,57042,85,31967,133,26809,67,25235,13,24727
89,100660,81,59756,145,55960,64,47031,43,43368
104,102125,202,74295,145,44195,81,38573,64,32896
45,815583,30,185383,161,134431,412,98349,101,74185
9,164918,421,85047,245,62287,777,36197,81,32895
119,41716,81,40032,145,37072,202,35412,429,22403
517,48702,234,45692,104,38593,245,34113,30,33482
67,153198,81,134091,145,91631,4,82238,236,73448
157,338713,41,186728,92,186697,76,178484,126,165400
875,611389,78,90281,58,70400,887,57060,523,37515
105,46465,142,45909,523,39771,235,39330,777,36851
