Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
50,114359,114,92161,427,79025,32,63376,350,57265
21,98748,58,65117,13,55159,236,54129,67,53659
99,227286,25,90071,61,85030,103,66518,115,65364
58,98576,82,44299,3,41376,6,40942,86,39732
84,391931,145,139374,67,98345,28,93254,142,85232
157,154120,161,103223,350,82153,50,77273,555,72014
99,620790,22,222998,103,43457,711,37944,147,21073
3,122824,202,109648,523,48331,84,43258,103,30645
51,110615,92,96283,114,45758,103,38710,82,30631
16,145775,40,131169,51,129638,99,107351,3,88670
157,355538,11,174176,54,171519,75,131131,99,102874
6,395337,555,177345,63,164889,9,134490,143,133548
17,223456,133,121552,222,89642,10,54863,21,51095
16,177592,99,150436,161,109533,63,68659,15,65520
238,235199,38,157078,127,122119,107,107678,222,94370
99,49068,91,42769,202,40901,145,39037,84,35506
99,104691,11,98268,17,77313,23,63455,141,56022
122,30506,202,23873,82,23494,31,23336,412,22127
82,213595,98,166609,875,87434,202,71926,106,51061
22,55339,17,35216,235,32113,875,31374,202,30592
101,151134,143,128446,112,60509,202,45772,40,22387
92,105761,11,91658,432,78822,157,48347,53,41450
25,182781,145,160056,56,159946,50,144765,60,113719
103,157590,420,73360,145,71539,240,66898,203,64634
99,528299,103,206902,145,98177,22,86466,21,77687
4,167953,26,61512,236,61249,104,54749,9,48994
8,180765,254,168408,50,156414,420,100638,24,79018
111,56593,36,55885,98,43191,53,42763,75,38357
21,589897,33,588971,223,404001,22,373369,15,287319
143,165748,147,132402,518,122870,16,101713,37,61406
412,164080,25,128532,142,124893,99,103935,51,100102
875,47850,517,36523,131,35033,21,34998,777,34049
202,377260,157,256357,11,186814,17,160142,141,155900
234,133325,28,50385,360,23952,67,23118,11,21756
777,55760,523,38076,888,35284,38,30648,517,29609
19,654475,254,128821,11,88410,245,68233,203,43175
267,120421,40,98443,37,71282,350,57903,117,52081
145,103212,360,88826,777,86733,35,65211,555,34490
91,190453,145,48422,33,45422,141,45275,202,43569
157,134976,18,91424,141,76038,17,66361,875,63939
412,104417,350,98314,40,34578,117,24772,267,21401
202,59418,89,56424,555,47688,111,35239,32,35057
84,156006,875,120125,122,87165,99,73603,86,69004
21,154136,51,109319,86,87997,145,80296,223,79210
518,155622,142,89643,80,70315,45,64206,102,56696
75,141028,141,130239,8,50578,238,48900,121,46966
103,77831,75,76862,145,35956,45,26892,53,26282
350,83744,16,71336,37,66333,54,60205,203,57541
122,97243,102,79852,17,73235,50,51180,518,49093
555,148514,157,101687,19,79852,141,68912,107,57631
36,25086,82,24969,122,23871,24,22025,150,21925
141,117001,81,92267,157,61608,245,58259,555,54794
222,256778,21,206596,15,66029,117,47093,103,38850
555,161250,99,75503,101,67267,157,53058,141,26246
82,259125,57,132112,98,103316,3,59532,126,32270
25,263013,131,163217,51,68391,44,56594,16,55776
555,286976,141,111136,412,110901,111,102323,19,71806
518,71684,121,43962,107,31429,55,26289,92,26004
427,45828,234,34688,121,26644,59,24245,141,22155
157,669849,875,87564,777,71302,122,42379,136,33670
103,117397,246,105778,92,97549,99,81810,55,79284
131,78879,235,51432,8,50270,62,49270,246,46273
64,225831,412,158083,89,86501,238,65351,201,50082
34,248726,32,164134,5,139176,131,122518,157,88453
120,101490,64,85059,82,73371,4,45172,23,37683
103,162419,23,134625,67,62125,55,39697,119,36858
17,150841,35,108500,36,69776,432,68294,104,51337
120,171064,21,168409,555,109583,89,109229,103,83927
16,93504,25,93289,37,93272,50,91942,235,86609
13,86043,81,54137,8,53123,145,51297,266,47140
50,142879,141,69015,82,42388,56,38530,112,36345
11,88881,19,53926,238,38790,101,36680,22,21702
25,522194,21,319573,43,122034,17,89481,222,38411
412,100826,518,56185,103,49660,40,44969,81,44258
157,568322,84,67292,64,66254,11,46065,17,41117
141,90420,19,74476,104,44177,33,42822,72,34538
11,108537,24,61568,157,45997,104,38454,122,32015
39,71498,157,40366,98,32534,69,25607,101,25243
145,67870,84,65985,236,61249,517,52728,777,49498
99,180070,267,127288,518,122817,350,91108,21,87213
81,89710,516,66654,145,60773,62,55825,50,55782
111,157364,21,149725,235,58549,267,48936,89,48613
22,93598,104,86625,51,53557,54,46995,113,44140
350,235776,22,118133,16,110297,25,109809,17,92234
10,106376,75,56689,164,41455,150,30429,56,28688
39,369924,238,103343,86,64628,92,42346,157,32359
19,238017,101,182194,555,173369,11,143652,22,50746
11,236808,82,223477,19,200635,24,125581,58,77917
64,252107,246,113332,28,112829,234,80775,497,77630
86,206902,21,109326,54,53474,110,36614,7,22505
141,125002,202,51189,22,47452,11,43904,84,39523
107,75073,157,25838,11,24529,203,23955,2,22486
555,88523,518,69326,99,46148,142,22539,81,21515
25,136275,99,74723,117,73913,51,58728,15,32848
11,118128,39,66734,238,44033,6,40700,2,31725
37,173395,53,74257,101,69470,147,68601,63,62520
82,79705,83,72895,98,61602,85,58936,516,52471
157,48118,145,43075,122,34249,238,32081,555,31501
107,61489,154,57643,202,55181,29,43287,19,40006
51,361821,86,117456,75,116018,21,91492,17,75100
518,284488,157,152081,99,150072,875,143098,498,125224
157,65782,238,60375,555,36126,234,26174,86,26173
37,485350,17,184645,16,143233,147,105450,55,51600
25,181394,21,84802,99,72475,37,63548,51,56469
127,161230,103,127886,267,68099,143,60093,82,54672
81,283990,236,196952,245,141205,202,110655,22,91243
157,128831,39,105277,84,81489,141,48586,76,41965
412,214284,98,143339,18,110272,432,68453,254,66730
40,114143,99,93599,16,52275,145,43292,161,43165
25,54810,516,48708,32,37991,111,37692,498,37028
420,41699,23,39347,105,34756,78,29744,3,22935
157,188564,141,149232,777,147539,875,104403,234,64539
103,253432,99,48305,84,38761,134,34816,82,30758
23,128749,20,76811,875,63977,516,55403,24,44104
45,48000,117,43644,78,34125,57,33871,86,29672
238,221418,157,219407,64,111873,122,76307,121,63409
246,197255,28,183525,145,141515,84,116012,222,108594
45,131584,157,59296,202,59182,51,52262,875,41695
203,263585,40,137956,235,116864,267,109357,164,81757
99,202436,350,39170,18,37831,518,37236,25,29457
35,127928,202,72934,238,65867,141,42036,81,41067
84,207709,55,114568,91,41017,99,38025,11,34107
555,97166,91,53550,131,40108,412,22098,25,21665
145,137781,81,117529,236,109715,110,90752,67,74285
9,75264,240,58507,19,50999,20,50355,555,49633
268,166265,79,115745,112,109209,13,97453,67,69964
107,310309,157,102055,67,88074,238,66543,120,42782
105,87751,45,81985,157,80371,84,42806,432,40098
25,133130,235,110846,86,66537,53,65167,350,50576
81,54735,150,36206,13,34138,67,31825,51,21345
99,140174,37,113616,117,84177,147,72411,22,71236
497,133475,40,75292,117,65254,16,59511,267,55859
555,129395,11,54197,36,48344,14,43875,23,36139
103,160226,222,149810,99,123777,145,104803,518,92178
133,199423,114,144527,106,117656,203,104288,2,75803
18,56474,121,40790,79,32107,74,30375,105,21415
84,209120,86,93062,141,50606,103,40316,498,35761
105,149233,777,63081,45,55332,142,55121,11,47046
99,70417,875,60999,103,60025,555,36034,246,21866
875,117820,45,73786,141,65382,84,55606,24,30895
39,131180,11,39381,92,36224,22,35853,51,30429
141,70836,21,44279,412,41110,518,27701,82,23672
35,198891,150,53225,17,49245,31,46477,53,32996
21,338141,246,203224,150,105604,39,104435,84,103993
777,56119,141,54827,154,52801,50,50315,555,48755
22,146857,51,139147,15,138206,222,124279,29,103343
518,244564,37,192660,25,159360,21,145537,22,90084
131,47358,145,47355,103,32450,498,29508,147,22182
17,150007,54,133450,33,61281,875,56015,63,34877
75,123231,105,71268,235,61266,555,60830,145,59757
17,77224,34,62399,89,58401,115,55050,420,49028
268,123212,526,86515,136,80175,142,76831,107,50311
14,202571,45,46559,23,43402,86,38797,145,34870
22,337519,99,264926,21,162889,81,121454,111,113372
141,126103,498,100757,92,97290,157,85104,25,61569
86,33775,99,33510,84,32818,62,31818,875,30002
105,234126,99,177858,96,154576,51,133208,81,131465
121,36530,50,33639,11,25390,82,24688,99,21620
157,274169,202,105728,122,95084,555,84266,77,77479
55,97194,39,82649,92,65860,28,58447,84,56790
45,66538,111,56676,32,50758,99,44637,90,39267
157,229345,236,54782,222,52260,360,50444,777,42229
234,66307,20,63635,157,63265,80,55005,555,50005
76,226097,103,31009,80,30840,99,28704,498,23468
157,222075,141,203810,39,157387,266,156344,517,114589
105,261642,122,130343,84,61083,86,38415,875,33036
99,211039,53,97289,201,96461,4,64055,89,53498
16,229603,111,217582,99,140747,89,138738,25,135971
20,63819,5,40097,33,39848,267,37872,48,26151
99,85947,555,38729,131,23253,518,22993,427,22410
246,65431,141,57039,29,47665,119,44227,45,42836
518,104176,221,32793,145,30532,523,23029,84,22243
105,31348,38,28391,11,25658,90,24700,3,22819
102,104426,78,61390,19,53673,10,48911,350,38483
157,66685,99,35176,145,34070,412,29504,236,24738
516,355664,145,88720,875,82804,106,78370,240,78153
432,538872,101,174593,26,166096,114,118704,429,117218
51,56030,518,48508,147,44363,43,30612,25,29164
27,268575,120,246525,30,134082,75,129130,19,111463
19,101935,555,59613,24,55434,1,53375,711,47198
555,144419,63,121112,142,93269,57,81400,254,81263
29,279865,81,192719,235,166378,62,59762,50,54902
45,82690,90,68903,110,46110,166,26363,28,21055
51,357546,119,324694,22,96215,29,36676,18,35721
3,42823,24,42351,141,39758,121,30684,120,24147
875,130618,6,74501,240,33018,32,30650,53,27814
412,232211,82,216676,17,40913,72,38737,150,37506
202,33633,75,26965,157,25126,84,23966,1,21701
