Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
875,392982,240,281442,245,271693,14,239201,13,161435
92,178830,24,168553,126,119510,164,101045,114,79445
55,397277,34,292924,112,96573,121,81492,432,49467
412,416106,74,168156,432,132571,117,87439,111,68316
18,98100,518,92424,222,70200,89,68836,145,36349
145,92905,202,51748,81,50042,523,47498,67,41055
81,152845,238,96514,145,88434,236,76743,222,70714
22,431834,202,273107,51,254345,99,125538,90,118017
104,73075,5,43148,120,41340,54,34737,245,34177
29,145157,81,112215,429,82594,67,55221,145,55006
121,488512,64,359242,56,201834,76,116843,245,110968
34,542132,163,327440,142,251285,245,188184,103,180843
267,82344,117,63289,432,36908,43,34713,40,26812
24,286258,39,245827,114,100618,131,63724,234,52973
81,312890,202,206757,51,172227,145,154677,235,143195
76,92347,64,89509,104,67347,121,56154,131,48499
498,118114,245,51857,142,48417,497,47816,432,44515
498,208489,21,141288,145,134420,81,114063,222,110427
45,156931,104,88192,64,57723,76,57546,267,52401
41,226321,84,93060,64,88651,412,84204,24,75926
22,99401,222,79415,81,39586,51,38138,202,35315
238,394291,84,182867,39,182513,55,163447,157,105472
99,169462,25,142539,267,141995,518,139044,103,119173
350,131882,99,127843,16,63184,40,60975,267,49602
236,87025,145,62685,67,62631,51,43585,222,43090
238,252607,89,242189,157,217119,64,163747,105,136957
99,126838,55,49500,67,39723,51,35207,147,27213
37,172344,40,59703,16,54952,122,46204,117,24119
245,65812,145,41390,234,37920,67,32744,104,26755
28,1864744,147,116087,9,88391,37,71198,267,70126
86,950588,122,99412,54,66386,82,45539,23,44360
104,92601,75,64592,141,64193,517,64079,875,59321
238,239820,67,129455,104,127528,121,105139,145,97382
245,95288,777,63230,157,46388,266,38499,112,30994
4,211340,64,150870,60,75341,104,55408,121,55146
412,53743,76,37529,147,32178,40,29529,53,26590
98,106384,117,65150,25,60771,267,58222,497,57136
29,47471,119,46253,81,37837,51,31894,222,24310
107,243991,84,172851,164,135282,39,114097,24,81399
238,377986,157,141838,29,120098,67,73148,245,53672
64,280683,104,197605,131,168743,145,132108,222,100559
157,1245480,777,638035,11,69510,238,50267,122,33405
145,290893,89,227914,81,218786,67,179470,22,63104
142,282346,103,189004,25,73830,99,72125,117,65241
164,93729,245,70917,157,47847,150,47336,37,29243
516,1110082,86,483603,875,192832,122,156764,31,90901
40,268346,412,77959,89,59674,117,54702,267,40226
67,204328,81,155282,145,149154,236,126582,157,106400
122,344314,875,175933,266,147086,82,118311,120,116605
555,269221,350,153524,15,123707,53,118968,32,105336
4,309057,56,83337,91,80963,38,49627,412,29347
89,286913,526,123768,412,78663,44,62931,875,53206
122,205890,19,134901,875,90500,5,58372,164,56553
81,40924,145,38149,5,31547,202,30931,104,29668
119,122703,21,74146,122,57130,69,51527,236,50127
61,175080,4,114839,245,76151,236,75978,517,45922
122,155236,875,147296,164,145218,98,102303,516,83383
163,47656,81,38820,63,30342,101,25577,134,23342
107,952914,28,80756,427,52768,121,37086,41,28922
