Champion1,Champion2,Champion3,Champion4,Champion5
41,266,412,89,236
51,145,22,39,103
64,412,8,238,59
8,81,15,86,53
22,235,10,105,15
81,51,18,202,67
203,82,53,80,91
131,145,105,90,245
6,82,236,517,81
82,86,98,54,23
412,28,111,26,89
143,51,518,107,25
518,8,142,61,245
58,122,19,82,24
157,141,39,1,555
114,74,202,245,254
16,99,22,350,25
7,45,64,202,61
157,238,145,75,81
17,6,133,64,19
202,555,50,19,145
157,17,8,75,45
202,518,1,10,25
16,267,350,99,117
82,254,18,5,114
26,45,21,25,40
67,11,35,23,51
235,63,25,43,99
51,81,17,21,518
84,91,141,39,777
157,67,145,53,82
517,91,119,2,145
39,236,84,145,266
876,51,12,102,67
245,69,90,131,112
141,98,4,555,91
21,164,114,236,51
64,876,19,412,238
117,143,99,16,25
432,555,497,412,25
63,69,142,145,203
17,81,235,6,517
51,157,202,121,81
121,25,555,53,106
63,33,14,77,79
157,91,517,11,39
432,111,516,53,82
16,25,99,223,412
141,19,120,59,163
17,350,89,74,37
157,92,54,111,105
25,16,350,99,89
154,360,517,164,35
164,79,240,2,245
523,81,202,110,50
79,104,126,8,59
235,75,777,17,5
245,104,120,77,81
67,81,145,157,22
412,84,432,141,555
523,39,875,42,4
267,16,235,90,143
64,7,79,59,104
20,63,103,99,142
64,5,58,121,157
56,38,420,69,86
67,104,236,51,81
777,92,64,104,157
142,99,103,16,498
136,105,11,91,126
8,67,29,24,39
127,163,432,22,126
99,141,17,67,86
157,141,120,101,555
67,145,81,236,22
27,555,35,122,62
875,84,517,92,126
235,143,81,50,154
28,202,99,555,86
157,236,64,238,555
82,875,86,23,6
39,106,238,84,3
412,64,81,157,8
39,142,76,203,28
35,9,96,38,203
145,81,22,202,84
157,55,39,777,246
99,43,117,25,134
39,117,11,89,518
103,99,55,518,711
107,121,238,119,105
141,19,427,48,33
77,20,106,154,421
39,141,131,145,84
5,555,60,72,79
157,777,234,141,523
64,157,517,39,238
516,84,102,82,43
92,86,24,23,62
8,67,91,141,236
41,91,35,24,64
92,83,75,86,10
145,99,117,142,222
50,119,101,21,15
84,10,98,103,498
21,57,145,117,202
238,875,81,412,517
235,203,81,104,21
15,18,43,25,78
222,15,236,18,202
64,92,121,39,107
11,145,84,122,236
92,7,84,51,81
24,141,91,516,50
82,81,266,120,6
117,67,432,81,267
13,245,105,222,1
875,114,62,89,98
157,238,134,110,498
107,55,28,157,29
121,164,21,202,19
67,236,64,238,41
84,43,523,360,15
157,517,246,141,11
7,81,238,412,202
157,101,61,42,54
39,517,157,8,81
111,67,51,21,22
9,20,32,555,516
64,236,7,81,67
238,39,55,157,517
16,40,131,117,61
74,99,117,61,21
55,7,121,202,238
14,82,75,98,555
142,84,59,145,56
103,7,55,142,81
83,145,523,202,360
92,114,24,518,23
157,39,75,24,10
106,266,58,122,82
107,24,157,121,141
54,57,28,20,59
12,523,22,51,32
61,145,134,142,350
254,33,202,21,53
266,84,246,82,555
555,412,432,29,8
24,17,5,555,99
420,17,245,150,80
3,53,235,50,518
245,61,112,254,67
67,145,81,22,222
202,157,51,81,555
32,86,50,82,555
101,555,34,115,238
432,81,222,21,412
202,112,81,360,222
157,39,238,84,517
92,157,39,24,8
11,266,157,80,238
111,555,117,101,63
28,267,16,498,25
81,92,39,67,8
9,6,86,19,62
17,35,77,121,145
555,19,31,53,777
157,777,122,45,875
412,89,555,99,53
122,86,58,39,24
157,13,58,266,11
36,9,32,154,133
238,236,67,22,120
122,31,82,141,24
777,266,106,39,157
245,84,91,157,517
86,21,122,99,98
81,202,236,517,145
17,101,161,20,157
99,89,350,518,117
28,21,119,18,157
222,420,143,35,350
84,141,39,245,99
202,67,119,114,81
119,268,13,27,85
86,54,102,59,136
360,67,15,127,517
83,17,75,82,63
99,13,518,134,8
35,61,98,86,77
142,84,81,136,246
145,141,202,67,22
29,202,119,145,18
16,412,89,350,62
121,55,141,120,245
106,14,266,82,86
83,36,55,360,157
245,157,518,875,106
157,238,777,107,91
106,64,12,2,85
223,63,516,59,432
157,238,67,75,104
10,246,92,238,157
777,157,103,86,245
20,2,141,517,421
39,412,157,11,55
81,51,131,61,134
99,63,3,245,25
119,81,7,157,236
4,104,112,517,42
157,64,516,145,41
157,104,24,39,82
11,24,5,106,32
875,98,164,104,80
420,45,75,103,81
84,27,412,112,57
99,89,84,22,103
122,157,67,236,51
39,432,134,412,82
122,11,23,75,82
64,104,51,234,145
122,104,164,114,39
81,64,67,39,238
101,63,555,90,518
523,222,202,141,236
59,13,81,412,235
81,30,113,54,23
67,429,22,35,17
55,39,38,69,157
157,497,412,238,64
523,145,157,39,221
6,82,516,50,45
11,38,19,120,157
145,39,236,81,126
80,875,41,86,82
19,36,75,32,11
202,555,234,82,51
120,48,141,33,28
222,412,58,21,22
412,28,122,8,11
3,80,6,516,50
523,222,51,67,21
17,23,2,19,82
67,98,875,145,412
107,92,30,28,203
99,103,517,62,45
122,141,555,875,86
141,20,555,81,111
157,517,145,131,245
9,30,120,72,29
157,126,81,236,246
234,13,38,157,134
202,18,498,22,19
266,412,157,82,107
266,14,83,240,41
141,497,98,875,110
34,145,81,350,90
555,50,157,20,89
432,41,14,36,63
202,31,114,63,67
421,19,9,82,106
245,238,157,142,50
111,350,117,53,201
245,67,222,81,120
875,17,157,141,876
267,117,26,89,40
98,115,64,777,67
81,11,145,523,7
122,19,86,75,83
157,254,11,875,141
245,23,131,45,84
75,122,86,223,31
63,412,143,145,25
412,114,99,53,43
145,51,67,81,164
412,111,89,497,80
5,106,48,36,876
3,50,21,110,9
157,17,238,84,202
104,59,238,2,60
202,51,81,145,21
145,81,412,51,21
555,141,202,245,121
53,20,104,141,64
267,432,16,117,40
235,99,25,350,35
157,202,875,555,141
202,22,82,122,81
67,81,202,24,157
6,75,92,23,86
92,58,157,122,112
81,51,7,64,429
99,222,145,67,51
22,412,58,13,121
86,91,23,19,80
51,145,222,555,81
240,24,498,202,51
55,99,246,22,51
555,777,89,157,497
86,82,266,516,223
202,145,421,245,555
164,39,84,266,28
555,99,101,25,12
82,141,777,39,13
81,202,22,145,67
4,41,84,157,101
523,145,81,21,498
99,235,22,16,161
99,103,145,498,518
141,63,245,234,24
99,39,25,517,54
245,81,78,25,106
64,157,412,238,39
81,145,21,51,22
64,421,104,79,60
104,266,157,777,164
9,150,111,202,18
69,48,157,62,63
37,99,350,77,147
53,80,32,89,12
222,267,99,498,350
126,164,157,81,58
8,112,45,38,161
157,81,13,777,517
114,141,107,84,10
78,11,157,10,86
83,90,517,57,234
61,245,38,254,8
39,51,145,222,202
202,157,523,81,412
1,18,203,421,45
163,142,523,164,50
161,63,99,143,555
202,6,37,17,235
51,22,236,222,18
203,29,24,61,92
101,99,64,157,74
119,51,102,18,20
62,3,86,75,48
101,202,30,98,86
35,141,120,20,9
516,99,107,10,103
92,24,39,86,58
28,164,1,222,104
267,99,25,235,147
246,64,238,157,103
131,104,64,203,141
235,75,350,67,86
120,48,154,412,51
145,99,51,498,518
15,25,20,22,21
84,53,555,25,245
523,55,145,517,222
55,84,114,498,51
875,81,236,7,86
164,39,84,157,77
267,25,412,89,111
107,41,7,76,29
99,235,111,350,37
350,37,22,777,89
157,245,105,24,55
235,555,141,498,99
64,412,81,157,39
81,64,103,202,99
267,99,55,145,142
145,133,83,24,498
27,32,141,83,222
18,10,24,11,86
17,83,6,23,98
157,77,119,245,67
14,58,68,6,122
105,67,145,11,39
99,67,145,222,39
92,64,157,86,106
107,11,35,24,62
875,11,122,98,25
238,157,64,92,126
163,432,235,43,267
51,145,360,412,59
238,81,51,119,145
154,516,427,98,111
202,51,412,107,12
22,62,23,21,86
21,19,360,56,235
17,4,105,92,63
121,120,11,2,86
29,245,22,222,21
39,29,18,498,104
