Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
517,218918,81,174513,112,172019,84,171273,555,160152
157,287658,122,214772,238,195230,58,118891,64,93249
119,150762,164,120963,14,108491,154,77708,360,52539
9,123262,150,113892,111,96651,202,84404,18,82469
81,464567,145,358814,5,162018,164,127739,7,111322
53,150191,555,91218,101,75178,20,71382,12,55153
83,530917,74,487191,32,32837,53,30680,77,22316
101,187906,63,103356,555,77909,90,65516,518,57441
114,222002,164,193882,61,51840,92,48411,67,41293
246,179383,103,123832,39,116174,517,96507,33,93181
202,140771,141,98235,14,96516,555,91865,86,84966
67,511733,145,216078,81,124457,22,110380,222,91558
555,173173,157,156627,8,95389,14,78211,517,67605
202,208075,518,125685,1,98910,10,95347,25,88232
21,211665,67,103540,145,88796,523,43523,202,35259
112,74702,81,70191,45,57185,64,41999,245,39740
11,1288169,141,205029,875,97181,157,72916,86,58215
80,1450874,166,209223,141,153257,516,120283,106,82689
875,141946,39,129543,114,96205,246,71878,145,64830
122,456156,6,383887,111,90916,37,71025,31,56696
31,374882,45,136872,67,128631,99,100102,17,97425
236,41071,517,36458,119,34380,67,32945,39,32781
360,187263,34,118114,518,112324,21,102414,145,90847
266,183579,157,174621,10,168125,8,121552,84,113352
81,573978,163,366260,22,164109,523,132434,498,113323
163,175126,142,173650,523,173514,164,171127,50,107397
10,118532,246,105275,99,95139,875,71211,82,59960
555,497022,234,169127,50,130689,777,119230,8,103910
114,272975,6,89838,84,87898,145,76390,81,58110
39,124031,134,26555,99,26476,157,25724,84,25026
19,301771,9,132755,154,91338,2,89612,427,72158
17,260023,83,74886,6,44710,23,43364,98,36975
74,234406,90,152782,53,109304,3,82077,1,57456
350,41360,38,40918,18,39073,22,23281,117,21550
2,174279,102,102179,350,94789,29,90101,157,62823
266,403750,86,53925,27,41333,432,29095,875,26492
141,180533,157,132009,154,126237,20,113541,28,108399
22,110222,412,72629,58,70183,13,65059,121,64774
8,107548,121,93585,157,72438,104,70867,64,47837
202,427857,81,93556,51,78012,236,58307,1,56335
14,170615,157,159009,266,68175,112,51718,238,49345
107,545159,11,158743,55,89707,8,80929,141,59560
555,95759,25,81279,90,39390,111,36482,1,35669
86,161467,11,143511,19,54015,145,43396,24,41642
141,61409,22,56437,145,39736,51,32890,121,29590
523,328104,777,270820,517,194767,240,174059,122,140246
30,184291,63,126958,101,111689,4,103319,254,96606
50,296042,25,265224,3,116176,497,98759,43,87554
164,615019,39,225417,92,154692,157,134597,114,133846
245,298474,23,155853,131,147193,45,137287,84,114728
107,418157,24,227885,157,218092,121,116338,141,103840
51,131439,74,115264,81,76468,145,64666,15,49530
143,308362,99,235863,887,140982,235,114964,145,90297
222,402230,81,93711,142,79571,67,78112,51,73535
41,538941,266,47863,412,33757,89,25764,236,25152
29,84458,23,83767,35,74053,77,52487,427,48526
154,151116,516,120788,427,102184,98,74298,111,67591
11,470428,145,250266,84,132712,122,131314,121,127830
157,390414,141,119513,41,92976,81,81288,777,68072
84,790498,157,105710,555,60129,498,41497,11,34511
412,93877,81,80204,53,74436,202,64782,555,63519
29,310964,24,235682,518,129736,53,111585,21,69751
60,123202,62,82338,350,56097,120,51796,56,39088
202,76342,157,71807,51,63793,81,61809,555,58967
86,150735,17,87851,27,62583,75,56801,58,51895
24,278448,11,260756,75,136973,62,92072,122,82494
55,586544,141,86209,39,61598,134,60221,245,52689
29,93522,526,88099,157,75339,350,59964,41,58550
26,79663,45,45516,21,27673,25,27328,40,24436
145,102201,67,61726,350,60204,412,54252,121,53757
119,382604,202,106704,164,97001,67,96357,18,75308
92,569588,83,166966,75,106703,86,85702,10,72089
266,102333,107,97109,517,56871,875,47993,82,47906
92,313668,28,230304,555,187010,245,166576,122,111949
117,222176,267,188494,40,163353,201,160853,16,134029
92,653431,107,103919,29,67758,64,59460,238,42682
103,106519,55,73132,39,50198,17,42565,157,35275
24,118205,8,73519,60,57937,164,49099,64,35893
22,513385,131,343444,145,254928,81,154771,21,149815
19,373628,39,76282,11,68533,58,51494,84,37949
157,372893,39,217756,163,90317,84,72357,516,55331
103,164585,238,91332,157,83430,64,75140,67,48080
82,87416,81,79797,266,64545,120,51463,6,50810
91,379980,84,316782,134,241409,99,157396,350,135411
17,184509,24,124941,22,113947,67,99004,18,86041
92,56284,17,32207,119,24101,39,22337,99,21784
516,167855,63,119469,6,118046,111,95939,122,89827
21,72347,131,46432,15,39000,54,35432,11,33682
64,78385,131,68785,99,65397,121,43133,17,40406
235,127668,63,99210,555,79168,157,41798,12,40942
81,249391,145,238464,84,219053,498,203569,236,193300
17,61095,81,56532,235,48663,6,42928,517,32049
246,315286,55,178799,39,172202,84,88261,24,76062
117,340966,106,261016,77,105677,18,95833,75,92899
8,501580,105,283995,245,125273,85,108866,131,95803
14,47581,145,47325,51,42185,29,41679,164,25849
412,181188,82,177044,266,146198,36,130118,142,70513
30,300676,45,280028,33,94815,34,94059,82,83125
34,540371,11,230317,22,166246,141,83447,161,44129
120,78550,59,77156,254,47850,6,30416,102,30191
34,132864,32,58937,518,50506,69,43034,40,42858
99,248162,157,134431,555,131290,101,129367,202,110422
103,182895,3,182446,35,134357,50,115868,33,101214
83,114696,62,96412,143,82227,24,79920,2,77809
157,184770,35,162470,64,136956,11,135175,238,113288
28,791455,60,198285,141,180662,121,72157,20,35458
37,99901,57,84095,432,69162,89,66654,235,64275
222,109364,235,86494,51,66836,10,58701,23,54182
120,214851,99,60730,9,40478,427,39774,56,34432
202,428168,55,225446,84,150487,28,134409,127,107241
245,248219,238,199210,157,162884,142,90327,50,77356
145,617845,67,146836,523,130044,498,109835,22,101221
161,779534,35,134170,74,124313,17,107021,24,85580
350,612915,117,256784,16,174687,99,136491,43,129479
28,170245,202,63163,119,53772,104,50966,75,49399
8,304235,14,237570,164,212496,240,178158,141,153295
157,639863,141,510922,120,162798,101,120313,555,98779
246,225579,99,189483,105,184750,498,109829,236,100783
34,203717,51,194899,222,87185,202,64551,55,35473
13,110906,104,105052,201,77528,777,69088,113,66704
517,143741,245,117292,103,89327,106,66949,518,66645
104,106445,59,97792,238,57101,2,51332,60,28890
157,258872,517,197546,141,155105,39,90991,38,82729
145,128883,517,70857,59,57135,412,55403,245,48608
115,50483,518,40761,84,31112,517,27042,25,22722
136,52218,105,50818,11,49392,91,41948,126,40318
99,128023,39,117182,25,102593,517,92911,54,65302
163,395008,22,82347,202,35430,498,30847,236,25898
90,133021,3,69770,133,29710,13,28397,61,26778
555,387904,412,103410,53,99357,145,78516,236,74839
523,611815,21,348534,25,299981,61,295602,203,289902
157,145033,238,111084,91,103174,92,77071,266,71294
136,168621,350,101445,202,73792,223,65290,141,61299
35,229374,9,137762,58,113508,14,92489,1,84261
157,178460,6,103169,104,95193,114,94528,64,83693
64,159887,81,154627,43,81703,141,71726,67,69945
267,275619,117,130527,26,86189,89,66570,40,45405
157,50399,245,48131,105,43892,24,35451,55,31497
203,238563,234,101000,121,76819,421,76485,104,72593
157,179585,238,126893,121,115655,64,111624,107,94288
104,235500,122,211180,266,177002,8,154432,157,146008
412,612959,84,109187,432,57631,141,55166,555,48810
141,180152,777,129460,238,118239,81,92294,266,86087
157,583763,141,158275,39,99018,1,84002,555,65611
235,74168,517,44307,25,41935,99,41355,875,39145
16,577037,99,247046,267,238740,117,103703,89,87560
141,600304,75,89312,30,78772,114,73768,157,71044
245,157376,104,101956,120,89110,77,87986,81,76024
517,432144,777,86912,82,47503,98,42584,75,27416
157,148946,55,145358,39,88442,777,81369,246,80484
99,455084,91,198097,202,79207,103,54895,28,54711
518,218082,267,163775,235,133829,555,90612,163,85029
84,162296,134,66827,238,54666,13,29595,61,27664
26,183996,17,128940,74,93104,25,54095,45,46869
238,396885,164,350999,86,61175,161,51210,14,27804
86,94267,10,68798,45,68631,266,47928,122,47679
11,388402,62,234933,59,92276,104,64727,53,32978
64,333534,107,131779,4,100121,84,90462,238,78071
98,186772,122,101265,32,97576,133,84046,141,79083
202,136413,555,126869,82,89124,45,88086,119,65790
57,204311,126,194391,32,113508,63,97852,432,82280
80,243494,75,121437,98,81910,99,49749,32,47206
555,927836,350,763518,117,73475,99,49938,203,35831
92,124896,104,61622,360,51035,145,49069,164,46371
84,239634,67,227209,51,64446,99,51565,222,39373
84,1393079,136,89598,69,88539,121,66203,55,65380
17,405414,81,70029,516,43841,245,36875,82,34194
99,1256362,103,280432,145,216501,350,132084,22,67708
89,52439,117,40879,54,34759,20,33456,350,33079
8,511576,112,222309,45,206233,38,56944,161,40674
238,250222,202,150475,157,94556,86,46671,81,44421
35,526632,55,470005,28,188579,92,131512,202,102971
202,345053,27,242910,14,118185,266,104875,245,96400
22,94104,266,71594,498,70526,81,63377,21,56545
145,217831,51,147896,29,46500,61,44427,235,42435
157,1222542,55,180111,777,141978,84,84238,245,70042
523,356008,202,156491,234,136452,777,129952,517,121729
14,208546,82,189722,75,72268,98,69143,555,59739
26,90576,555,89395,35,87019,53,74079,29,56321
55,62671,103,50235,86,37001,84,36821,59,31330
117,125785,99,92935,267,65768,25,37233,147,28691
115,847346,3,187623,17,37048,54,28474,99,27716
4,337193,104,243910,112,142012,517,103695,42,98433
350,606889,16,346303,117,145926,103,141702,267,113095
1,612048,18,339624,203,207398,421,202693,45,157328
81,83894,131,47018,235,44828,8,44484,103,44321
99,422548,235,261389,22,86118,16,84475,161,72677
