Champion1,Champion2,Champion3,Champion4,Champion5
35,59,19,98,24
141,121,28,60,9
432,235,412,267,117
89,63,16,50,147
427,43,235,103,412
117,16,267,25,99
3,122,84,202,58
16,350,117,36,51
202,51,81,141,236
412,81,104,51,58
104,145,24,164,121
114,103,516,777,246
142,145,64,523,119
122,119,157,11,20
8,38,29,145,555
6,82,266,875,86
64,104,131,76,81
266,104,54,122,121
24,85,64,40,111
64,55,412,157,245
111,98,86,59,5
112,238,711,131,54
20,6,82,14,62
157,266,517,238,245
523,498,202,51,119
154,5,86,51,80
27,23,122,107,53
238,777,10,101,161
104,64,60,412,19
3,99,18,115,131
19,245,141,82,72
55,238,24,84,112
17,14,85,45,30
75,157,120,64,67
11,350,24,90,104
8,51,134,711,67
120,235,38,154,29
107,164,29,55,119
222,107,81,145,28
28,876,16,267,498
30,164,154,28,203
114,777,122,875,266
145,119,235,51,67
222,555,99,17,86
82,141,875,106,86
412,432,12,518,53
154,101,120,432,59
141,235,202,113,81
145,222,360,67,18
157,777,39,202,84
114,164,517,875,55
114,64,7,238,164
202,145,222,235,161
84,777,8,202,245
82,875,58,86,122
68,254,55,3,99
24,58,78,84,10
555,63,497,412,25
114,106,122,91,104
245,120,79,421,104
99,91,21,103,498
236,39,84,202,81
64,203,79,5,120
24,114,27,875,14
67,497,81,12,28
266,119,75,223,82
131,236,24,103,15
62,131,6,85,51
107,157,141,238,55
104,245,157,81,11
64,235,145,81,266
234,203,523,360,245
157,777,238,39,91
8,29,92,55,84
157,39,517,64,238
81,50,53,157,38
222,21,81,15,96
35,64,238,122,17
19,41,43,14,16
53,350,235,555,16
235,57,101,111,26
350,53,412,43,10
114,92,13,164,134
8,13,104,84,112
104,164,28,84,122
136,350,34,523,30
122,86,14,875,266
23,202,51,236,62
53,412,67,117,238
99,876,33,142,234
420,127,150,86,82
63,102,235,432,53
246,157,64,238,145
157,39,67,236,13
141,63,121,235,11
202,145,360,523,51
19,15,120,141,20
157,245,81,67,236
69,84,777,234,141
19,121,555,120,24
202,55,134,142,103
412,235,432,555,497
98,75,86,54,3
236,86,59,120,23
141,104,121,11,60
203,30,163,41,141
497,421,223,81,555
67,81,51,145,202
245,84,164,203,517
24,234,245,106,104
157,55,238,81,8
105,240,24,53,154
157,28,67,235,121
35,51,81,67,145
