Champion1,Mastery1,Champion2,Mastery2,Champion3,Mastery3,Champion4,Mastery4,Champion5,Mastery5
91,54247,81,28165,5,27650,266,26415,145,22005
8,126286,119,64261,38,35034,27,30840,157,28229
99,1027900,25,596054,103,220996,22,124348,145,90113
119,55365,523,44356,29,33158,145,29024,67,23665
117,238803,235,216216,555,171736,412,120146,43,111604
134,236642,517,192623,245,146319,114,84212,238,81178
245,198392,86,76902,58,71173,121,70651,120,56196
266,98450,24,86291,114,73539,164,63150,41,59275
141,279973,114,184058,157,161836,122,145734,24,109713
266,609621,164,408971,777,154535,157,151960,86,123135
90,157694,106,98215,21,89950,30,77503,81,69466
23,475445,266,306635,238,169738,157,111021,122,91242
13,56025,112,28364,16,23027,69,22335,90,22125
34,231560,238,99293,61,61025,55,56674,84,47342
56,258089,145,246320,18,158354,121,154405,4,126175
119,152781,145,116181,29,92121,67,72653,28,62449
238,174704,60,47587,5,37055,28,34355,92,26163
518,747337,222,410538,99,317939,92,150333,267,150142
86,490999,122,352372,82,183918,75,175227,36,114439
6,617629,89,279873,111,130550,82,85104,57,64874
28,1187152,20,219369,45,137380,141,90507,37,57023
122,133269,121,116261,266,104951,141,75234,64,57243
145,131514,517,81352,236,72199,67,71507,51,50565
51,98140,202,87181,523,76516,22,71984,235,58518
245,133731,64,115452,79,80459,120,57806,131,38518
64,285890,238,263744,157,213734,8,126396,79,117127
51,198857,202,139699,64,90306,81,66614,145,62205
555,200749,238,189844,157,103254,82,100469,55,91878
240,107820,39,78429,164,37915,350,35678,523,21485
122,174594,145,149080,81,95410,51,83289,104,74321
39,116264,22,46196,236,37423,142,34821,40,27436
121,203666,41,138976,120,130889,79,104815,234,88901
157,246784,82,74128,107,45871,875,28651,80,28536
55,708232,8,204372,157,131947,412,99899,238,72233
267,871739,43,638390,16,616780,99,591851,147,397428
55,284858,60,164735,245,137181,11,132393,145,122900
412,148251,58,145280,27,136012,555,114592,141,91529
122,231898,157,90478,121,89532,67,70005,238,69380
497,260195,120,97327,121,70500,117,67702,350,65874
245,675600,3,338716,39,190645,4,181950,13,131200
58,96312,86,63134,103,60381,55,59766,75,38761
11,527948,14,60885,102,50846,141,40468,67,37036
99,380967,103,141258,117,127555,37,101204,25,67663
555,126921,412,106742,497,45080,235,41280,107,23187
267,545094,40,140713,16,115813,99,115541,412,98955
350,100976,117,76307,40,49934,267,44482,16,21088
68,737223,266,336249,45,302533,82,203815,240,184426
67,389323,24,181942,222,141109,122,120296,145,112043
58,86093,157,35102,24,29812,39,26455,8,26012
55,381888,245,47657,92,40696,238,33295,28,32639
8,463341,23,121804,45,78955,164,72228,64,60873
107,279637,29,94639,38,70466,28,58699,63,41271
420,653219,127,336382,82,218316,80,180475,122,137929
202,243117,101,118594,15,89177,81,69672,63,65804
26,110891,127,89141,412,77927,99,75363,63,73065
82,441973,497,119555,31,118035,235,90256,86,79574
164,237711,166,136261,82,115099,53,97877,31,71701
38,208482,120,95580,23,86795,141,77358,10,72917
99,338269,25,101376,103,90117,89,54835,350,49505
266,123723,14,43949,23,38479,104,31347,164,24877
67,191626,222,95238,99,90950,81,87755,236,81552
114,414599,10,76634,61,67185,104,64572,134,63609
23,269598,122,257381,516,163493,24,145833,157,109197
157,64488,112,64016,238,36053,64,31029,84,27665
157,440113,517,297059,64,246834,11,179284,202,173040
64,110749,59,97299,245,38640,120,36496,412,33722
105,436764,240,400225,24,215651,53,175732,154,151025
20,198224,245,148079,105,120524,60,118944,80,117086
81,226427,245,129074,51,89334,99,85870,222,68046
53,572643,497,359501,111,177553,89,150078,117,58803
122,60580,555,47234,107,30394,350,28766,517,26723
59,447298,106,173455,254,151351,62,113886,113,105480
104,130879,64,103695,145,101776,81,88092,13,81782
99,609787,7,130294,103,101825,131,38017,67,35039
