Champion1,Champion2,Champion3,Champion4,Champion5
17,25,99,63,43
142,99,223,555,202
16,37,555,25,26
245,104,81,202,11
84,157,11,24,91
157,777,104,238,875
17,35,11,90,56
19,51,21,20,22
55,99,84,246,103
119,67,222,51,81
11,157,5,107,16
157,41,64,84,238
245,157,875,11,141
121,101,64,4,84
91,84,157,35,104
141,121,157,84,238
28,246,92,55,84
86,80,36,84,12
43,89,127,25,518
38,266,50,82,101
68,78,497,157,254
114,142,202,14,86
122,104,24,82,13
21,99,34,18,150
104,202,24,142,238
99,56,111,234,113
20,56,19,2,121
59,60,86,64,266
21,112,54,96,120
8,245,875,92,157
202,81,498,222,99
777,39,24,235,157
103,99,84,28,142
145,523,29,22,51
145,81,141,51,103
39,83,106,31,22
6,122,51,81,110
141,11,19,203,498
497,99,498,427,103
122,516,240,875,86
84,91,39,518,103
81,119,236,64,412
145,51,235,63,99
498,51,163,518,21
53,412,45,497,107
99,40,202,28,145
107,55,29,141,497
6,223,31,111,516
18,202,145,51,222
147,15,235,21,22
101,21,245,238,111
420,516,141,86,6
81,498,876,67,222
236,67,104,122,238
67,22,145,157,11
157,238,64,55,777
201,44,89,106,497
145,15,103,51,67
145,84,555,21,157
245,112,875,238,157
82,29,24,145,41
235,99,29,875,350
141,875,122,523,64
141,81,238,145,4
875,122,6,85,254
350,37,117,96,99
164,20,134,103,24
518,99,45,143,103
19,20,24,11,157
41,238,25,17,81
37,99,131,21,25
106,107,77,35,141
117,222,51,21,22
157,245,84,81,39
518,99,103,61,147
28,147,39,99,235
201,98,110,50,63
117,267,89,99,10
35,238,64,11,122
55,157,39,238,11
875,62,48,157,164
48,22,64,24,245
81,202,119,145,555
141,360,145,17,20
55,91,29,41,238
75,91,92,145,157
86,54,5,63,21
4,143,114,5,22
26,63,40,25,104
22,81,51,202,25
55,222,141,17,555
62,91,516,238,11
75,106,67,517,157
55,17,245,142,555
875,31,32,150,33
114,63,69,55,29
51,498,222,67,22
55,10,238,39,266
99,63,235,25,111
202,99,222,67,22
202,222,22,21,360
420,25,18,31,223
62,64,23,266,24
50,99,89,41,78
222,202,236,67,81
92,157,64,11,8
114,157,38,91,24
111,518,45,53,63
81,145,67,7,517
6,99,63,11,21
267,16,40,777,147
55,266,157,39,104
157,112,29,67,141
266,78,517,875,80
133,114,412,103,142
28,141,102,266,429
875,84,39,103,89
111,12,89,20,40
64,523,13,84,202
1,99,246,25,518
157,64,7,105,107
117,267,99,89,16
106,55,86,145,23
141,145,157,236,81
202,50,99,141,555
6,110,122,31,99
81,101,143,121,131
39,145,84,81,51
55,99,84,238,157
17,54,45,74,86
7,84,517,11,142
103,55,25,21,99
777,234,157,202,80
22,17,91,86,555
8,141,5,21,86
37,350,89,147,143
157,24,22,91,84
245,203,141,112,105
122,266,22,82,11
141,202,8,245,157
99,25,350,51,84
20,101,81,48,21
99,875,555,236,17
119,41,238,92,157
267,99,25,3,37
21,22,235,360,89
99,518,147,350,103
555,84,23,64,777
145,84,777,103,19
99,21,103,22,18
25,37,84,555,21
238,360,876,245,114
19,120,202,234,121
53,111,89,235,75
202,33,23,141,51
121,91,55,254,122
59,245,58,91,28
360,106,81,18,22
27,41,58,86,31
157,238,121,81,202
82,202,875,80,266
157,75,238,39,245
711,99,245,147,246
81,164,59,516,21
50,63,53,25,2
517,113,497,86,141
19,24,78,22,51
21,267,16,25,99
518,91,84,55,99
81,145,64,238,22
14,82,86,122,27
119,29,17,235,82
7,39,101,134,711
92,122,22,119,81
17,90,555,84,157
98,75,122,141,157
202,81,145,412,157
39,157,245,92,84
14,157,92,107,555
145,10,268,4,7
268,64,238,11,136
27,74,24,63,78
360,22,51,145,523
133,101,53,1,6
147,12,875,202,89
202,51,29,203,429
157,8,238,81,55
36,19,102,86,111
99,350,16,235,267
19,141,157,875,82
266,104,20,517,141
555,104,19,35,59
42,63,84,24,17
63,99,40,235,147
157,141,55,19,28
145,67,91,81,222
74,111,39,25,13
89,127,80,59,267
51,202,63,150,82
86,75,157,21,53
96,555,45,245,29
235,18,57,202,63
22,63,1,21,145
114,84,22,266,81
157,875,238,84,777
54,45,236,103,122
21,29,15,99,22
64,119,157,107,412
19,51,350,202,111
157,238,518,53,38
40,412,99,145,518
98,202,141,64,29
103,84,99,142,147
202,154,59,236,51
6,84,56,32,266
84,99,25,7,518
145,202,10,221,51
141,555,202,82,28
41,141,45,106,81
64,81,67,238,157
141,45,24,75,11
90,3,74,1,86
91,157,238,141,64
10,22,202,82,134
498,523,18,10,15
238,777,34,429,61
236,157,24,145,84
131,121,141,17,777
122,82,164,875,23
157,104,238,55,84
91,157,92,38,55
114,238,876,42,85
19,875,432,80,50
7,18,222,69,1
122,91,36,50,54
8,67,412,157,18
157,22,67,84,99
56,141,122,875,28
11,2,5,24,18
62,19,106,21,86
24,62,48,141,59
55,91,84,99,235
84,777,157,45,235
67,64,7,157,145
412,63,111,40,126
11,235,67,133,166
150,84,58,37,114
35,114,107,875,14
99,57,131,18,267
24,161,64,412,555
28,141,13,80,555
84,267,246,103,99
67,22,81,51,222
39,107,67,412,427
235,22,81,498,236
164,21,517,222,254
122,64,54,141,238
21,145,45,11,82
99,103,147,81,518
31,555,122,51,84
266,120,141,45,5
143,26,161,267,99
147,16,99,235,267
432,497,223,517,235
133,83,119,429,51
92,67,55,222,22
75,555,517,50,202
131,122,82,86,24
99,267,37,147,40
17,33,59,120,36
99,266,555,3,711
164,104,54,82,17
62,157,58,84,39
24,157,58,11,64
157,55,101,39,236
86,98,75,77,412
64,126,104,517,59
134,777,157,1,91
99,89,518,25,21
222,39,18,145,498
141,5,245,20,234
202,157,141,51,555
105,24,45,23,81
89,20,63,99,19
518,131,17,24,238
238,92,119,236,145
21,51,36,75,54
114,24,518,22,5
420,145,11,133,83
24,157,75,11,23
141,86,202,122,106
105,122,11,157,238
202,29,84,75,39
21,86,1,22,32
82,254,106,53,111
99,518,267,103,16
28,11,234,20,203
20,51,56,121,119
141,555,235,10,120
238,157,555,17,91
141,5,64,111,412
412,420,202,432,429
55,39,84,246,105
75,266,58,6,50
103,81,142,518,21
45,21,19,63,96
51,18,145,21,236
432,99,412,223,161
99,14,777,80,103
29,360,157,121,105
55,412,53,7,114
157,64,55,104,164
202,145,222,22,21
3,875,16,53,157
84,555,103,20,111
11,59,120,254,77
31,157,75,119,45
98,122,497,412,51
523,84,157,875,5
21,22,222,202,81
25,99,21,40,201
238,82,517,114,134
157,122,875,38,50
875,63,75,80,238
157,777,875,234,238
122,875,82,2,86
80,555,35,412,517
81,202,67,245,236
498,21,37,67,202
28,32,35,9,19
92,25,141,157,18
107,120,114,18,141
45,32,222,58,202
16,31,117,432,222
133,6,58,29,254
235,236,81,64,51
