,Main Champion,Champion,Mastery
9,Aatrox,Ezreal,0.011396551382381305
10,Aatrox,Lucian,0.01583315498941389
11,Aatrox,Jhin,0.016731461917905536
9,Ahri,Ezreal,0.009991053968597232
10,Ahri,MissFortune,0.013628514365654466
11,Ahri,Kaisa,0.015433992550566792
9,Akali,Ezreal,0.0053443966767642735
10,Akali,Kaisa,0.008008096491000665
11,Akali,Lucian,0.009041335424357599
9,Akshan,Ezreal,0.06582788306538265
10,Akshan,Vayne,0.1326481052462009
11,Akshan,Lucian,0.13288774722208593
9,Alistar,Ezreal,0.023931906733392017
10,Alistar,Ashe,0.04103415124750334
11,Alistar,Tristana,0.04275362658485779
9,Amumu,Ezreal,0.06602312916499047
10,Amumu,Ashe,0.08609529363880974
11,Amumu,MissFortune,0.0863085196307461
9,Anivia,Ezreal,0.021714981045532666
10,Anivia,Vayne,0.042489017368267386
11,Anivia,Ashe,0.047962389582590276
9,Annie,Ezreal,0.053874875987333114
10,Annie,Twitch,0.06251702186850412
11,Annie,Ashe,0.07831713745478856
9,Aphelios,Kaisa,0.02660885613323678
10,Aphelios,Ezreal,0.03289457179987689
11,Aphelios,Jhin,0.041368719760779535
9,Ashe,Caitlyn,0.025549452775477377
10,Ashe,MissFortune,0.030927890692072416
11,Ashe,Kaisa,0.03463765907709572
9,AurelionSol,Jhin,0.077559283083663
10,AurelionSol,Ezreal,0.0787022969151245
11,AurelionSol,Twitch,0.14577443191774436
9,Azir,Ezreal,0.058059347270104006
10,Azir,Lucian,0.07065667720891912
11,Azir,Vayne,0.07189352369888934
9,Bard,Ezreal,0.01730423861139244
10,Bard,Jhin,0.03184802875394043
11,Bard,Caitlyn,0.037945752392965694
9,Blitzcrank,Ezreal,0.00748467291293058
10,Blitzcrank,Ashe,0.016223652830727457
11,Blitzcrank,Lucian,0.016829940425174456
9,Brand,MissFortune,0.02745419931458291
10,Brand,Ashe,0.028108723538384284
11,Brand,Ezreal,0.028182182645408962
