,Main Champion,Champion,Mastery
3,Aatrox,LeeSin,0.01908109103434728
4,Aatrox,Kayn,0.020207352809294404
5,Aatrox,Graves,0.025277197649908895
3,Ahri,LeeSin,0.01706448659310325
4,Ahri,Diana,0.01849866908079293
5,Ahri,Evelynn,0.02113022072674359
3,Akali,LeeSin,0.00804577292319139
4,Akali,Ekko,0.010699508502698138
5,Akali,Kayn,0.012926111808283057
3,Akshan,Viego,0.11496171983941601
4,Akshan,Graves,0.11837872658897503
5,Akshan,LeeSin,0.15247939231264782
3,Alistar,LeeSin,0.03327621071227819
4,Alistar,MasterYi,0.049018760196864394
5,Alistar,JarvanIV,0.05562982925769878
3,Amumu,LeeSin,0.09201338982586961
4,Amumu,Rammus,0.09220186416250448
5,Amumu,MasterYi,0.10223265073672977
3,Anivia,LeeSin,0.04128333180175726
4,Anivia,Ekko,0.04184861189057094
5,Anivia,Khazix,0.06710829623087981
3,Annie,LeeSin,0.09261943001954662
4,Annie,MasterYi,0.0942552100870742
5,Annie,Evelynn,0.11515115528098593
3,Aphelios,Graves,0.03611912832036236
4,Aphelios,LeeSin,0.0367619263443451
5,Aphelios,Ekko,0.047821760388350655
3,Ashe,MasterYi,0.030940430978405983
4,Ashe,Kayn,0.041362150611782146
5,Ashe,LeeSin,0.047567091749288005
3,AurelionSol,LeeSin,0.11536376016969176
4,AurelionSol,Ekko,0.11815126952582483
5,AurelionSol,Warwick,0.13601424379830723
3,Azir,LeeSin,0.05074603779526915
4,Azir,Ekko,0.0933153372965279
5,Azir,Taliyah,0.11441204833482399
3,Bard,LeeSin,0.027945294964200448
4,Bard,Graves,0.05241912391813752
5,Bard,Ekko,0.05283815205558672
3,Blitzcrank,LeeSin,0.010778264134534577
4,Blitzcrank,MasterYi,0.01707373107881168
5,Blitzcrank,Warwick,0.025277155714671335
3,Brand,MasterYi,0.04711628642877517
4,Brand,Kayn,0.04865886377991916
5,Brand,LeeSin,0.0492874306325075
3,Braum,LeeSin,0.11351873617176814
4,Braum,JarvanIV,0.13889852288610474
5,Braum,Graves,0.18990221882228955
