,Main Champion,Champion,Mastery
6,Aatrox,Yasuo,0.014438107936018069
7,Aatrox,Sylas,0.015105796717111175
8,Aatrox,Zed,0.02515307264943244
6,Ahri,Yasuo,0.021219387767554544
7,Ahri,Neeko,0.026563227021673536
8,Ahri,Leblanc,0.028406783224850494
6,Akali,Yasuo,0.006262646478202542
7,Akali,Sylas,0.008531016502512073
8,Akali,Zed,0.010937417813910446
6,Akshan,Yasuo,0.12716516232616246
7,Akshan,Yone,0.129440788080248
8,Akshan,Sylas,0.13090149134170342
6,Alistar,Galio,0.02810439744965047
7,Alistar,Yasuo,0.037425719120610275
8,Alistar,Zed,0.04678450687328157
6,Amumu,Veigar,0.058725406084093254
7,Amumu,Annie,0.09538914124172869
8,Amumu,Ahri,0.11521265593229141
6,Anivia,Yasuo,0.041943392561642506
7,Anivia,Orianna,0.05181831646945641
8,Anivia,Veigar,0.07228375461312685
6,Annie,Yasuo,0.07146841540706936
7,Annie,Veigar,0.08216620272835594
8,Annie,Orianna,0.11519096966743878
6,Aphelios,Yasuo,0.02863620919651757
7,Aphelios,Sylas,0.033421408085663774
8,Aphelios,Yone,0.0467147795626369
6,Ashe,Veigar,0.025337675806208115
7,Ashe,Ahri,0.02653635027610291
8,Ashe,Yasuo,0.030190058158824078
6,AurelionSol,Yasuo,0.1286169739864579
7,AurelionSol,TwistedFate,0.16844106947926768
8,AurelionSol,Zoe,0.17923637540959117
6,Azir,Yasuo,0.09741031129607824
7,Azir,Viktor,0.11802531712677879
8,Azir,Zed,0.11885804890881439
6,Bard,Yasuo,0.029110340889143223
7,Bard,Galio,0.05011681988607991
8,Bard,Ryze,0.05196912247182358
6,Blitzcrank,Yasuo,0.00929544472954454
7,Blitzcrank,Zed,0.014674602723796396
8,Blitzcrank,Veigar,0.01760787813742587
6,Brand,Veigar,0.019577499735633084
7,Brand,Annie,0.045823588473264586
8,Brand,Yasuo,0.055158399811739436
6,Braum,Galio,0.10385755486133787
7,Braum,Yasuo,0.1040636124125017
8,Braum,Zed,0.14907241652812875
6,Caitlyn,Yasuo,0.015377323321458972
7,Caitlyn,Veigar,0.0167395721000297
8,Caitlyn,Ahri,0.017725310091816413
6,Camille,Sylas,0.013291771566335178
7,Camille,Vladimir,0.013389620539766216
8,Camille,Yasuo,0.01422561224747419
6,Cassiopeia,Yasuo,0.028055263514735102
7,Cassiopeia,Ryze,0.04924953133422477
8,Cassiopeia,Veigar,0.051087914592217926
6,Chogath,Veigar,0.03913517230962527
7,Chogath,Yasuo,0.05210964022748257
8,Chogath,Galio,0.08232976972686289
6,Corki,Veigar,0.22407864885968137
