,Main Champion,Champion,Mastery
12,Aatrox,Pantheon,0.014141753698249406
13,Aatrox,Thresh,0.01944009548117776
14,Aatrox,Pyke,0.020829589181113006
12,Ahri,Lux,0.0076013600231622375
13,Ahri,Morgana,0.019665094889367785
14,Ahri,Thresh,0.01992729373312006
12,Akali,Pyke,0.007671056229474214
13,Akali,Pantheon,0.008550630838427201
14,Akali,Lux,0.009105820650866878
12,Akshan,Senna,0.11493376773212888
13,Akshan,Thresh,0.15007643038010435
14,Akshan,Morgana,0.15399796117983924
12,Alistar,Thresh,0.030236502467025726
13,Alistar,Nautilus,0.055322411048235307
14,Alistar,Rakan,0.0625172763547945
12,Amumu,Blitzcrank,0.06520718492378187
13,Amumu,Lux,0.09815348892407644
14,Amumu,Pyke,0.17469277540881198
12,Anivia,Lux,0.0320728243714181
13,Anivia,Thresh,0.04041471027883283
14,Anivia,Blitzcrank,0.04738980207702753
12,Annie,Lulu,0.07678761441664055
13,Annie,Lux,0.08443855947256469
14,Annie,Blitzcrank,0.0935049867692015
12,Aphelios,Senna,0.025395598816648348
13,Aphelios,Thresh,0.03966388827697289
14,Aphelios,Pyke,0.05778213156499212
12,Ashe,Lux,0.018677379467527084
13,Ashe,Morgana,0.026521146630570563
14,Ashe,Senna,0.02708833297263245
12,AurelionSol,Xerath,0.1035564292986881
13,AurelionSol,Lulu,0.10394890967051915
14,AurelionSol,Thresh,0.1197181988137711
12,Azir,Thresh,0.04377848397216858
13,Azir,Pantheon,0.08011914787208933
14,Azir,Velkoz,0.10428467375980925
12,Bard,Thresh,0.024586873332379276
13,Bard,Pyke,0.03770969460486393
14,Bard,Senna,0.045259013248974723
12,Blitzcrank,Thresh,0.010258456710486238
13,Blitzcrank,Pyke,0.0216607226107924
14,Blitzcrank,Lux,0.023067329097607347
12,Brand,Lux,0.03194744754011201
13,Brand,Morgana,0.04578606389104511
14,Brand,Amumu,0.07611133133202179
12,Braum,Thresh,0.08182700020958944
13,Braum,Leona,0.13368017433079654
14,Braum,Alistar,0.1361811498090424
12,Caitlyn,Lux,0.010450594857321078
13,Caitlyn,Thresh,0.013547263985227948
14,Caitlyn,Senna,0.013881087064574946
12,Camille,Thresh,0.018649428128661844
13,Camille,Pantheon,0.021801725426731006
14,Camille,Pyke,0.022716423201615592
12,Cassiopeia,Velkoz,0.023259647924530252
13,Cassiopeia,Lux,0.026537362640398313
14,Cassiopeia,Thresh,0.03496841118079694
12,Chogath,Blitzcrank,0.05330572106862115
13,Chogath,Lux,0.06152715770976339
14,Chogath,Soraka,0.07737483945560521
12,Corki,Lux,0.18255077086774624
13,Corki,Pyke,0.31348675965888756
14,Corki,Amumu,0.3211316980272665
12,Darius,Pantheon,0.006974450041139118
13,Darius,Pyke,0.0069751163446590304
14,Darius,Blitzcrank,0.007467883235240543
12,Diana,Lux,0.020180019925735145
13,Diana,Pantheon,0.024409852603973933
14,Diana,Morgana,0.03140255117917658
12,Draven,Thresh,0.011545868589479258
13,Draven,Senna,0.015182439210495554
14,Draven,Pyke,0.017331053013752012
12,DrMundo,Amumu,0.08575224849133588
