Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
28,241109,jg,141,232270,jg,202,207934,bot,18,198358,bot,75,78165,top,45,76856,mid,235,57035,sup,131,53583,jg,53,52348,sup,875,45690,top,51,45378,bot,10,28997,top,555,28164,sup,157,17942,mid,777,17661,mid
222,149829,bot,58,107346,top,67,47622,bot,122,42835,top,145,35083,bot,24,22302,top,25,19341,sup,13,17515,mid,64,11513,jg,131,6511,jg,104,6451,jg,412,4641,sup,32,3243,sup,45,2983,mid,517,2225,mid
238,138703,mid,157,109690,mid,92,90821,top,39,84129,top,122,54717,top,72,48579,jg,245,44202,jg,412,39738,sup,53,35996,sup,67,30970,bot,8,30771,mid,141,28423,jg,57,19265,sup,429,16509,bot,81,8077,bot
157,122726,mid,80,60579,sup,141,56616,jg,18,43023,bot,711,40397,mid,119,30993,bot,11,30697,jg,51,30246,bot,89,28029,sup,19,26990,jg,23,20998,top,238,19876,mid,24,19528,top,412,18810,sup,516,18198,top
145,209712,bot,10,109347,top,24,77915,top,133,63010,top,103,43325,mid,53,32720,sup,51,31282,bot,25,26832,sup,89,25167,sup,11,22987,jg,81,22876,bot,56,8046,jg,121,4033,jg,45,2912,mid,34,1105,mid
157,139921,mid,238,117327,mid,55,73532,mid,245,67128,jg,131,57879,jg,50,57348,sup,122,56050,top,64,50235,jg,67,48795,bot,81,47162,bot,119,47125,bot,84,45382,top,412,37842,sup,25,29160,sup,39,21642,top
516,207983,top,497,123139,sup,82,104351,top,106,101324,top,517,96355,mid,498,94128,bot,157,71968,mid,112,68163,mid,202,64551,bot,21,58743,bot,234,58451,jg,19,46371,jg,89,43184,sup,117,36262,sup,131,33255,jg
157,105282,mid,24,76359,top,254,66487,jg,121,44470,jg,122,39717,top,11,38821,jg,126,32759,top,99,29436,sup,3,27147,mid,55,26751,mid,43,25785,sup,81,23024,bot,555,22019,sup,22,20942,bot,21,15752,bot
19,108750,jg,412,70576,sup,40,46644,sup,75,41301,top,89,35888,sup,24,30003,top,86,27649,top,11,25844,jg,81,22023,bot,104,20930,jg,110,17686,bot,22,17005,bot,61,16738,mid,13,12065,mid,45,10259,mid
111,215616,sup,101,117967,sup,51,78763,bot,80,70632,sup,1,39485,mid,145,25116,bot,59,23900,jg,421,19727,jg,10,19716,top,62,18675,jg,31,16333,top,36,15172,top,202,6842,bot,4,6029,mid,38,4052,mid
