Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
30,1115282,jg,9,93596,jg,72,65422,jg,119,60345,bot,34,50557,mid,79,50477,top,83,46733,top,240,33923,top,96,29058,bot,55,22746,mid,69,20416,mid,29,18306,bot,99,12783,sup,555,11723,sup,267,7108,sup
202,185698,bot,110,146405,bot,51,142765,bot,157,141142,mid,92,132687,top,121,108628,jg,122,102407,top,104,95167,jg,59,86117,jg,86,85483,top,8,76642,mid,235,70382,sup,517,46720,mid,412,45436,sup,40,38184,sup
432,91600,sup,64,35730,jg,412,35321,sup,111,32180,sup,13,31579,mid,875,29794,top,104,28793,jg,84,27257,top,157,24764,mid,79,18943,top,15,17632,bot,22,16763,bot,76,16636,jg,517,14381,mid,67,14038,bot
84,743488,top,246,83962,mid,92,49463,top,64,41463,jg,55,36434,mid,39,29993,top,221,28471,bot,76,25316,jg,7,25196,mid,145,16283,bot,254,16038,jg,67,9203,bot,497,6136,sup,44,4312,sup,43,4260,sup
145,112281,bot,15,92945,bot,29,54843,bot,101,30324,sup,45,29714,mid,24,23515,top,30,23289,jg,19,19553,jg,99,13386,sup,14,11199,top,12,9885,sup,122,9524,top,157,9270,mid,35,9021,jg,38,5469,mid
267,381277,sup,25,177893,sup,37,165723,sup,498,91484,bot,45,86654,mid,22,66585,bot,103,54393,mid,29,50473,bot,28,48364,jg,238,38480,mid,19,35809,jg,86,30114,top,31,29456,top,64,27405,jg,54,25678,top
85,552221,top,498,52590,bot,112,48021,mid,147,42301,sup,517,41791,mid,22,32345,bot,111,28742,sup,136,24055,mid,40,19199,sup,11,17553,jg,15,14486,bot,106,13647,top,23,10115,top,154,7273,jg,64,2986,jg
412,184543,sup,43,89466,sup,497,84120,sup,875,41170,top,76,35529,jg,45,34224,mid,81,30893,bot,21,27219,bot,223,24482,top,8,22479,mid,517,22458,mid,222,21483,bot,64,18730,jg,84,16689,top,60,16294,jg
223,259555,top,35,216982,jg,114,213135,top,157,102816,mid,432,101252,sup,105,97346,mid,412,80053,sup,81,79396,bot,28,77642,jg,64,76709,jg,14,76205,top,555,60315,sup,96,55584,bot,238,53455,mid,119,42493,bot
266,1175763,top,164,364427,top,141,268084,jg,24,218931,top,59,129268,jg,20,76984,jg,105,37032,mid,103,35635,mid,236,32282,bot,8,30966,mid,40,29869,sup,29,21216,bot,412,19484,sup,18,16664,bot,117,15962,sup
64,440658,jg,412,163667,sup,4,74976,mid,81,71872,bot,67,68129,bot,119,60298,bot,157,45628,mid,92,42591,top,238,32093,mid,104,31106,jg,121,28278,jg,79,25152,top,432,25023,sup,41,24766,top,12,15669,sup
10,75524,top,84,71382,top,8,59241,mid,517,37787,mid,112,31855,mid,145,31521,bot,202,27527,bot,99,21489,sup,29,19921,bot,141,16922,jg,39,14868,top,131,13854,jg,64,12533,jg,235,10540,sup,63,9074,sup
34,494471,mid,99,285345,sup,143,212884,sup,127,139363,mid,432,62559,sup,31,52497,top,427,37837,jg,45,36579,mid,9,25402,jg,222,18877,bot,516,18855,top,115,17835,bot,163,14481,jg,74,11350,top,81,1985,bot
22,240992,bot,145,131568,bot,498,92655,bot,99,20621,sup,40,19836,sup,157,16165,mid,86,12978,top,11,8062,jg,91,6281,jg,134,4683,mid,150,4663,top,19,3730,jg,61,3679,mid,16,3162,sup,10,2778,top
2,162355,jg,86,156421,top,74,141085,top,80,124604,sup,75,104294,top,19,78303,jg,43,36899,sup,102,32568,jg,157,28877,mid,53,23260,sup,498,22696,bot,45,19538,mid,22,15288,bot,51,13079,bot,134,12754,mid
145,217682,bot,29,153521,bot,81,121695,bot,13,38345,mid,131,32919,jg,3,28378,mid,38,28187,mid,25,24726,sup,63,24457,sup,79,19004,top,235,18477,sup,86,16265,top,54,12013,top,78,8682,jg,5,8371,jg
161,471679,sup,86,402187,top,69,83302,mid,45,81423,mid,236,75566,bot,112,70587,mid,131,68420,jg,81,49889,bot,30,33854,jg,102,33236,jg,75,32021,top,235,28229,sup,122,23441,top,18,21054,bot,63,19119,sup
92,716339,top,55,130425,mid,23,87540,top,122,76605,top,238,66776,mid,4,56640,mid,64,55116,jg,222,53386,bot,67,48035,bot,141,33226,jg,22,30921,bot,77,28151,jg,63,4180,sup,43,3270,sup,32,2167,sup
238,457528,mid,517,86359,mid,92,64785,top,81,49816,bot,105,37484,mid,51,29889,bot,29,27624,bot,64,13804,jg,412,10199,sup,41,7711,top,9,7444,jg,11,4866,jg,53,4829,sup,107,4471,top,63,1415,sup
427,311164,jg,67,210161,bot,145,102908,bot,11,96666,jg,81,87245,bot,235,79388,sup,64,56770,jg,157,43233,mid,43,36873,sup,24,28176,top,4,21601,mid,79,15110,top,14,14986,top,32,14895,sup,45,14733,mid
84,256904,top,13,147786,mid,157,139614,mid,238,136211,mid,64,110180,jg,81,95278,bot,59,82572,jg,67,76009,bot,51,75773,bot,39,64536,top,412,61356,sup,79,45161,top,497,42217,sup,40,41615,sup,5,35977,jg
202,191348,bot,112,148035,mid,92,144875,top,164,133386,top,157,133214,mid,236,123968,bot,238,109336,mid,412,97068,sup,84,91910,top,64,82448,jg,18,81063,bot,131,69384,jg,163,63207,jg,235,53690,sup,53,52146,sup
161,244714,sup,69,197670,mid,24,87782,top,7,51011,mid,75,46747,top,4,42848,mid,43,40203,sup,60,36070,jg,120,35323,jg,122,34441,top,35,33169,jg,101,28721,sup,18,25363,bot,145,15614,bot,236,13386,bot
96,430522,bot,29,356756,bot,67,241414,bot,235,31690,sup,13,20730,mid,10,16848,top,39,14920,top,555,11901,sup,141,11732,jg,45,11443,mid,157,9783,mid,50,6813,sup,30,5862,jg,887,5560,top,11,4147,jg
145,464698,bot,202,290882,bot,51,243310,bot,412,76161,sup,12,54901,sup,64,49953,jg,240,37827,top,150,36041,top,122,35814,top,53,31709,sup,421,28918,jg,245,26026,jg,13,18152,mid,134,15312,mid,157,15025,mid
81,172142,bot,145,110253,bot,222,102759,bot,92,102440,top,41,77799,top,64,73389,jg,246,55096,mid,238,41914,mid,107,31990,top,38,29884,mid,60,18934,jg,104,14562,jg,412,10472,sup,117,8414,sup,267,7798,sup
157,133924,mid,245,131674,jg,236,94316,bot,51,79925,bot,150,79611,top,64,79522,jg,120,74534,jg,238,55840,mid,498,50679,bot,39,38916,top,517,37215,mid,24,32643,top,25,18960,sup,99,15525,sup,235,15141,sup
238,507410,mid,202,297356,bot,64,198709,jg,236,141301,bot,101,135326,sup,81,94132,bot,38,89661,mid,7,89360,mid,30,82664,jg,122,59609,top,35,49019,jg,412,32680,sup,147,29825,sup,14,23522,top,39,23174,top
33,594294,jg,111,339195,sup,235,202752,sup,81,197957,bot,64,184577,jg,20,149431,jg,201,143408,sup,18,83043,bot,3,82194,mid,21,75421,bot,86,74290,top,238,70061,mid,85,61867,top,79,36467,top,8,29184,mid
14,1195608,top,75,203984,top,111,182076,sup,26,116666,sup,6,115537,top,30,49913,jg,876,39040,jg,33,28773,jg,50,15848,sup,3,14499,mid,45,14013,mid,51,9014,bot,90,8948,mid,96,7976,bot,22,7622,bot
99,134098,sup,81,89366,bot,412,62690,sup,40,54661,sup,55,50519,mid,17,49558,top,22,41754,bot,39,38899,top,202,37376,bot,61,35476,mid,92,32405,top,7,27438,mid,876,24117,jg,20,17081,jg,28,12177,jg
145,168768,bot,81,145162,bot,51,123063,bot,134,54720,mid,45,26772,mid,103,22655,mid,235,19046,sup,99,14306,sup,147,11431,sup,17,5876,top,84,3986,top,76,3820,jg,126,3102,top,104,2268,jg,64,2069,jg
103,231574,mid,39,145672,top,104,88754,jg,64,87899,jg,202,86052,bot,81,79690,bot,84,73758,top,51,73415,bot,117,68500,sup,412,59370,sup,113,53455,jg,157,52282,mid,40,52103,sup,92,49937,top,238,47612,mid
40,251614,sup,117,212959,sup,37,209969,sup,77,93783,jg,54,63117,top,62,58904,jg,157,53443,mid,222,47413,bot,59,40861,jg,58,38263,top,75,35556,top,21,34883,bot,29,33192,bot,127,32702,mid,238,28026,mid
114,229179,top,164,212054,top,64,191004,jg,62,171564,jg,266,163025,top,236,114543,bot,51,96055,bot,81,95956,bot,421,75935,jg,157,68936,mid,517,45613,mid,412,42581,sup,13,38152,mid,53,32459,sup,32,23853,sup
103,330200,mid,91,219191,jg,157,168145,mid,134,123217,mid,29,96103,bot,555,92960,sup,78,92133,jg,202,82986,bot,245,71027,jg,122,67195,top,81,60765,bot,432,59777,sup,412,52148,sup,10,47684,top,17,38961,top
59,220377,jg,58,181270,top,31,171393,top,81,163105,bot,43,130598,sup,111,125954,sup,79,117368,top,40,101777,sup,64,74211,jg,2,60221,jg,8,55756,mid,22,49619,bot,51,41214,bot,103,35313,mid,42,34336,mid
119,186199,bot,92,179461,top,67,168778,bot,150,142556,top,18,116215,bot,245,100467,jg,64,77814,jg,107,76944,top,105,67599,mid,7,45100,mid,55,38179,mid,99,38173,sup,154,26920,jg,40,14846,sup,101,8048,sup
28,584480,jg,245,390563,jg,24,247308,top,104,182973,jg,202,127685,bot,145,81444,bot,81,78520,bot,157,62176,mid,79,53002,top,777,44930,mid,36,32930,top,517,30815,mid,43,28213,sup,63,27693,sup,555,27256,sup
107,124612,top,92,54076,top,164,51028,top,104,42860,jg,121,35669,jg,141,35576,jg,202,21840,bot,63,19074,sup,51,16852,bot,498,12652,bot,157,10913,mid,238,9582,mid,101,7602,sup,105,7583,mid,555,7325,sup
23,537833,top,11,367239,jg,24,335294,top,29,221739,bot,121,191724,jg,68,170558,top,8,161178,mid,112,137072,mid,38,125750,mid,141,109472,jg,202,105032,bot,119,71390,bot,143,63816,sup,412,50884,sup,80,44434,sup
122,733624,top,234,170288,jg,11,163154,jg,39,73659,top,121,68025,jg,164,65066,top,777,47604,mid,8,47197,mid,81,38481,bot,119,38267,bot,53,35687,sup,517,34866,mid,67,27318,bot,350,12666,sup,25,8844,sup
145,91264,bot,67,65601,bot,119,64157,bot,55,46886,mid,875,35118,top,24,29351,top,11,27648,jg,147,19319,sup,84,15824,top,157,14007,mid,42,13142,mid,235,7557,sup,28,7259,jg,20,5979,jg,16,3929,sup
79,212910,top,19,157769,jg,59,135703,jg,421,131577,jg,24,89979,top,202,51536,bot,164,38947,top,4,32072,mid,18,30599,bot,101,29277,sup,157,25376,mid,235,25278,sup,69,21957,mid,111,21939,sup,429,21686,bot
238,163662,mid,67,128490,bot,157,124375,mid,64,84976,jg,222,57596,bot,55,43067,mid,5,39403,jg,119,39190,bot,92,38878,top,11,38804,jg,107,38741,top,122,21913,top,99,20732,sup,412,17638,sup,40,9810,sup
497,159626,sup,412,115042,sup,267,103649,sup,8,61855,mid,79,26947,top,92,20480,top,24,20394,top,7,17849,mid,38,17254,mid,78,11809,jg,245,10038,jg,119,8110,bot,11,6326,jg,15,2992,bot,110,2821,bot
421,1309510,jg,121,406666,jg,141,230936,jg,84,216737,top,79,116241,top,142,109516,mid,107,96640,top,134,96515,mid,13,93141,mid,412,90718,sup,161,55098,sup,432,54094,sup,202,51691,bot,81,47719,bot,523,8356,bot
114,678015,top,157,186260,mid,164,150892,top,266,91324,top,64,78503,jg,238,43257,mid,67,36975,bot,141,32866,jg,555,30324,sup,81,29679,bot,236,28962,bot,777,26534,mid,412,25523,sup,11,25481,jg,101,13863,sup
91,405662,jg,238,284012,mid,8,234339,mid,157,199642,mid,64,164649,jg,107,129963,top,234,116621,jg,555,114079,sup,92,99730,top,39,95477,top,80,92086,sup,236,59316,bot,119,51413,bot,161,43369,sup,145,40935,bot
13,322085,mid,41,191615,top,64,152302,jg,157,121039,mid,55,104407,mid,48,96824,jg,121,90175,jg,236,84605,bot,84,69499,top,24,66464,top,22,58972,bot,201,44386,sup,81,42222,bot,12,34786,sup,43,32069,sup
555,115163,sup,82,89832,top,53,87472,sup,30,76752,jg,13,61326,mid,245,50956,jg,238,40968,mid,64,40934,jg,55,38256,mid,101,37926,sup,164,37604,top,24,36372,top,498,34251,bot,96,21031,bot,51,20960,bot
122,362545,top,82,159176,top,106,135106,top,157,85615,mid,57,77106,sup,62,56970,jg,121,51632,jg,80,48383,sup,555,23002,sup,777,21380,mid,5,18185,jg,517,16479,mid,81,9943,bot,202,9727,bot,18,3261,bot
14,285515,top,6,123771,top,8,113650,mid,114,102680,top,104,41952,jg,57,27226,sup,141,24335,jg,30,21673,jg,236,13932,bot,777,13919,mid,238,12401,mid,202,8263,bot,43,6206,sup,50,5292,sup,29,4863,bot
517,89926,mid,55,68856,mid,107,41328,top,134,38611,mid,84,35851,top,64,29875,jg,39,28877,top,555,23065,sup,234,18288,jg,131,17997,jg,101,9446,sup,117,8190,sup,81,5027,bot,236,4536,bot,145,2241,bot
8,49835,mid,39,49162,top,92,47933,top,84,34276,top,246,24676,mid,145,22061,bot,517,20954,mid,63,17794,sup,51,16233,bot,67,16164,bot,91,11354,jg,16,9759,sup,28,9083,jg,350,6915,sup,30,6008,jg
236,441239,bot,202,326349,bot,67,239403,bot,40,81469,sup,89,59245,sup,41,57037,top,141,52067,jg,104,49600,jg,164,44090,top,134,39401,mid,412,36982,sup,254,34426,jg,39,33969,top,157,32982,mid,4,30195,mid
21,968183,bot,45,128924,mid,119,115854,bot,498,105565,bot,157,83320,mid,38,24072,mid,350,20783,sup,17,20737,top,91,19564,jg,11,15994,jg,54,14846,top,99,13003,sup,122,11975,top,2,11681,jg,53,11182,sup
16,527162,sup,31,335477,top,86,305504,top,54,219056,top,89,165041,sup,80,143219,sup,154,104010,jg,9,63339,jg,127,44331,mid,45,29310,mid,33,28155,jg,518,12408,mid,115,2941,bot,22,2421,bot,81,2324,bot
112,64844,mid,517,59348,mid,142,52668,mid,202,48642,bot,121,43979,jg,145,42370,bot,523,34364,bot,141,29177,jg,84,27951,top,235,16111,sup,245,14688,jg,39,11777,top,54,11160,top,99,5874,sup,101,5460,sup
35,652595,jg,103,218647,mid,86,69916,top,245,43014,jg,15,40742,bot,101,39381,sup,53,38693,sup,164,37852,top,38,33247,mid,238,25329,mid,202,23268,bot,76,22690,jg,81,20649,bot,27,17183,top,25,5881,sup
157,233184,mid,121,207582,jg,24,151236,top,141,84537,jg,92,82459,top,55,61282,mid,67,46644,bot,8,45481,mid,11,41910,jg,107,40944,top,145,34512,bot,498,26857,bot,63,11839,sup,235,9661,sup,43,7110,sup
