Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
39,354531,top,164,191128,top,8,118416,mid,92,96820,top,157,76877,mid,55,73937,mid,245,42677,jg,67,35457,bot,64,32305,jg,555,27830,sup,236,24683,bot,29,24430,bot,121,22275,jg,412,12269,sup,80,6081,sup
157,255531,mid,238,153831,mid,81,137705,bot,266,119265,top,8,113920,mid,164,113769,top,412,104263,sup,64,92250,jg,875,91228,top,67,81601,bot,104,63963,jg,91,55937,jg,236,50397,bot,555,42560,sup,101,29328,sup
238,476419,mid,86,245508,top,55,172684,mid,245,158327,jg,122,145321,top,67,141204,bot,202,127550,bot,157,110901,mid,236,79069,bot,91,70502,jg,17,66444,top,121,65016,jg,80,37157,sup,555,32300,sup,161,25095,sup
67,631470,bot,157,478603,mid,64,403241,jg,238,299879,mid,81,251590,bot,92,207762,top,145,200683,bot,412,88046,sup,103,86809,mid,555,55923,sup,76,45731,jg,84,33356,top,235,32910,sup,35,19743,jg,114,11043,top
157,43958,mid,64,41918,jg,84,27618,top,67,27194,bot,29,23259,bot,81,20916,bot,13,18399,mid,79,17244,top,76,15528,jg,99,15443,sup,24,15091,top,28,13395,jg,55,11193,mid,63,3551,sup,25,3340,sup
157,56628,mid,238,41942,mid,38,38498,mid,81,34105,bot,41,33525,top,875,32818,top,266,27499,top,117,24539,sup,555,22555,sup,111,22236,sup,141,21326,jg,104,20774,jg,234,19280,jg,236,18771,bot,202,18015,bot
81,102770,bot,99,92789,sup,150,88182,top,62,85647,jg,57,80971,sup,96,78288,bot,201,62558,sup,83,61630,top,420,57354,top,13,27696,mid,711,25986,mid,22,15659,bot,42,14424,mid,59,14317,jg,72,12101,jg
142,354820,mid,518,162047,mid,40,127798,sup,147,96681,sup,420,89359,top,246,88356,mid,163,87084,jg,43,85677,sup,133,82056,top,84,73548,top,202,67349,bot,876,66447,jg,21,56977,bot,145,49601,bot,203,43276,jg
64,68885,jg,4,48874,mid,157,41717,mid,246,39312,mid,29,30887,bot,79,24040,top,81,23840,bot,59,22854,jg,84,19572,top,67,19155,bot,39,17573,top,30,12172,jg,99,10160,sup,32,9546,sup,25,7028,sup
107,394958,top,157,225861,mid,84,153668,top,254,143293,jg,1,99842,mid,105,96210,mid,11,56185,jg,234,48964,jg,106,37942,top,555,22918,sup,99,21869,sup,32,21717,sup,360,20736,bot,145,18881,bot,236,16468,bot
64,229815,jg,157,125759,mid,121,74062,jg,120,65684,jg,122,50001,top,238,45813,mid,555,33999,sup,99,30337,sup,24,22232,top,119,18876,bot,23,13390,top,45,11310,mid,429,8995,bot,115,7566,bot,12,5788,sup
429,198347,bot,67,78158,bot,22,54168,bot,497,50678,sup,99,48242,sup,38,44326,mid,86,43401,top,64,42361,jg,79,38182,top,53,30500,sup,35,27533,jg,45,18782,mid,112,17739,mid,154,14912,jg,39,5149,top
157,346261,mid,8,276011,mid,141,197714,jg,91,137414,jg,114,128590,top,202,126195,bot,105,117157,mid,245,107229,jg,23,92260,top,24,89789,top,51,68210,bot,22,62436,bot,25,60789,sup,63,48215,sup,53,30401,sup
122,321199,top,875,131799,top,157,98454,mid,82,90395,top,19,18477,jg,777,15592,mid,62,12239,jg,11,11738,jg,53,6472,sup,1,5711,mid,236,3829,bot,202,2871,bot,50,2851,sup,22,2528,bot,555,1640,sup
154,179240,jg,20,105340,jg,104,67787,jg,107,67217,top,41,57942,top,157,53446,mid,119,46317,bot,8,43881,mid,29,43778,bot,31,43298,top,55,32331,mid,63,17647,sup,523,13751,bot,80,5708,sup,25,4550,sup
55,675222,mid,157,401237,mid,51,376851,bot,67,233340,bot,64,184219,jg,81,172397,bot,101,124145,sup,17,106174,top,23,95060,top,11,93965,jg,80,84933,sup,86,76835,top,45,75134,mid,5,70566,jg,235,41409,sup
157,465995,mid,11,424719,jg,202,223040,bot,23,142010,top,82,77760,top,245,68787,jg,122,65582,top,51,41399,bot,777,31880,mid,63,30204,sup,105,28472,mid,141,25698,jg,67,18834,bot,80,8196,sup,555,7459,sup
114,231793,top,238,146165,mid,67,108732,bot,134,105316,mid,13,105209,mid,39,89686,top,84,68247,top,245,54519,jg,76,54328,jg,236,43215,bot,91,38184,jg,412,35169,sup,81,33804,bot,40,27762,sup,53,21539,sup
36,34320,top,61,25375,mid,11,24908,jg,20,23452,jg,254,23270,jg,67,20086,bot,516,16818,top,38,16720,mid,24,16232,top,202,16161,bot,8,15779,mid,22,12161,bot,16,9723,sup,32,7487,sup,267,7403,sup
99,834842,sup,25,622118,sup,19,323257,jg,141,322639,jg,53,225599,sup,17,158004,top,5,118391,jg,86,109890,top,21,72643,bot,22,55699,bot,54,54146,top,518,52261,mid,103,48671,mid,51,34836,bot,4,9551,mid
77,112922,jg,119,108498,bot,83,97743,top,161,94784,sup,67,84010,bot,69,79748,mid,121,57270,jg,81,53185,bot,45,51327,mid,157,42929,mid,60,34131,jg,86,27331,top,875,19876,top,235,11130,sup,111,10746,sup
238,229062,mid,67,227666,bot,107,220241,top,157,192463,mid,202,173817,bot,13,147638,mid,77,143176,jg,24,124332,top,236,89029,bot,99,85289,sup,43,76865,sup,41,67675,top,64,63171,jg,2,29558,jg,63,19948,sup
134,148840,mid,81,109015,bot,238,94953,mid,61,92734,mid,51,80306,bot,236,74466,bot,64,63489,jg,412,58622,sup,245,52830,jg,163,46334,jg,101,43648,sup,43,38491,sup,79,25740,top,58,21989,top,41,19654,top
80,181006,sup,86,131766,top,141,70701,jg,50,67469,sup,157,59431,mid,497,59296,sup,202,51558,bot,82,46302,top,875,41938,top,2,41520,jg,91,23532,jg,13,17530,mid,777,17391,mid,498,11791,bot,221,5928,bot
99,498667,sup,21,208352,bot,518,175366,mid,67,40429,bot,222,29934,bot,157,24881,mid,25,19867,sup,19,19123,jg,103,17985,mid,17,15317,top,350,14291,sup,39,14221,top,82,6236,top,104,5099,jg,131,4407,jg
81,198041,bot,236,190684,bot,21,159064,bot,50,70761,sup,235,70294,sup,13,57829,mid,1,45435,mid,42,34171,mid,80,15699,sup,6,14339,top,54,9044,top,122,8712,top,33,7316,jg,91,6670,jg,5,4810,jg
10,490396,top,134,227767,mid,86,151497,top,1,122075,mid,245,108073,jg,16,71062,sup,89,64234,sup,5,60247,jg,141,58359,jg,43,53989,sup,24,46711,top,67,39099,bot,90,24013,mid,202,13904,bot,222,8801,bot
103,1123280,mid,117,182350,sup,99,144592,sup,498,99156,bot,55,83572,mid,17,59121,top,21,55839,bot,145,44421,bot,131,39158,jg,7,20999,mid,16,19781,sup,203,6550,jg,245,6441,jg,223,5195,top,85,4965,top
82,140573,top,86,101089,top,122,75071,top,777,52783,mid,555,50607,sup,81,34542,bot,99,29573,sup,238,29395,mid,245,29367,jg,517,26997,mid,51,24480,bot,35,19778,jg,28,19356,jg,63,18588,sup,222,15013,bot
28,378677,jg,12,222886,sup,114,118499,top,19,105996,jg,53,87599,sup,120,78065,jg,101,64041,sup,58,60346,top,21,33325,bot,22,32383,bot,86,27153,top,51,26293,bot,517,13933,mid,238,13738,mid,45,8369,mid
102,151167,jg,876,137214,jg,36,128166,top,163,108909,jg,8,108051,mid,101,98727,sup,23,76958,top,74,73908,top,112,43348,mid,25,41154,sup,34,28128,mid,115,25241,bot,51,24332,bot,432,23886,sup,29,18380,bot
127,373130,mid,117,292898,sup,99,230412,sup,40,217179,sup,21,112719,bot,164,95408,top,498,84181,bot,103,83024,mid,51,82731,bot,61,80893,mid,85,44577,top,74,41151,top,427,38255,jg,163,34436,jg,28,28172,jg
238,215853,mid,45,103164,mid,11,64753,jg,1,58976,mid,412,40141,sup,19,35587,jg,86,19870,top,99,19580,sup,89,18401,sup,35,17082,jg,23,16125,top,222,15015,bot,119,11004,bot,18,9805,bot,107,8772,top
777,99005,mid,141,71645,jg,234,70293,jg,101,64495,sup,104,45640,jg,432,33844,sup,246,23959,mid,10,22637,top,117,20963,sup,79,20137,top,42,14691,mid,41,14597,top,81,14057,bot,18,10025,bot,429,8142,bot
161,552644,sup,35,65711,jg,134,26897,mid,75,24926,top,105,20080,mid,127,17690,mid,32,15388,sup,11,14465,jg,64,13972,jg,53,13094,sup,79,12149,top,24,11497,top,22,7277,bot,110,5266,bot,81,5253,bot
145,127187,bot,777,58249,mid,122,51005,top,202,49428,bot,110,44337,bot,23,38488,top,43,24938,sup,28,18613,jg,86,16155,top,13,13377,mid,80,10788,sup,40,9579,sup,105,9235,mid,121,6791,jg,11,6735,jg
64,319371,jg,5,211016,jg,55,151758,mid,121,147525,jg,157,139932,mid,39,125319,top,84,110178,top,238,64246,mid,24,61514,top,161,56874,sup,81,39052,bot,555,34968,sup,51,32012,bot,99,29043,sup,67,27660,bot
266,152744,top,64,110222,jg,35,103175,jg,141,56491,jg,238,53596,mid,157,40843,mid,875,33969,top,126,33573,top,517,27618,mid,555,11263,sup,50,7300,sup,12,6840,sup,18,4359,bot,110,1934,bot,22,1791,bot
