Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
141,41307,jg,18,37595,bot,5,36719,jg,121,33202,jg,53,25377,sup,360,25145,bot,36,23062,top,31,20866,top,122,19176,top,105,17439,mid,32,16017,sup,145,14971,bot,157,12874,mid,45,12376,mid,12,10529,sup
43,158864,sup,81,46819,bot,60,41048,jg,25,39467,sup,89,38122,sup,21,35363,bot,113,26908,jg,28,18308,jg,31,17671,top,92,6582,top,18,6235,bot,61,4220,mid,42,3975,mid,23,3740,top,13,1237,mid
111,89188,sup,89,80736,sup,53,75304,sup,141,44209,jg,86,40092,top,24,36135,top,18,24880,bot,110,23646,bot,102,20817,jg,45,17958,mid,21,17261,bot,154,16219,jg,875,16103,top,3,4375,mid,13,3664,mid
69,153115,mid,157,135805,mid,86,131299,top,238,95957,mid,89,74013,sup,254,67778,jg,24,56710,top,92,51743,top,19,44909,jg,11,43285,jg,25,36462,sup,29,33310,bot,99,32139,sup,110,13306,bot,18,11490,bot
75,59175,top,51,53638,bot,131,47691,jg,96,44236,bot,99,38013,sup,80,35876,sup,24,26026,top,14,24818,top,157,23976,mid,236,22349,bot,25,14388,sup,45,10685,mid,102,9139,jg,19,8136,jg,13,4616,mid
238,71872,mid,122,60881,top,75,60123,top,24,51723,top,19,50460,jg,59,32480,jg,53,32132,sup,157,28777,mid,121,26283,jg,81,25805,bot,202,25129,bot,412,23319,sup,29,10289,bot,112,7410,mid,80,2997,sup
238,587820,mid,157,421692,mid,64,322841,jg,412,240729,sup,67,195318,bot,55,161964,mid,236,155849,bot,84,139544,top,39,110852,top,81,99757,bot,5,92778,jg,245,85292,jg,107,69715,top,555,58455,sup,53,46863,sup
157,105843,mid,202,103893,bot,777,94752,mid,41,87173,top,238,79149,mid,91,62839,jg,17,61420,top,875,60679,top,29,55383,bot,245,54767,jg,104,49840,jg,81,46226,bot,555,24935,sup,101,24909,sup,412,20279,sup
141,272041,jg,19,106742,jg,412,51433,sup,79,44116,top,17,38735,top,266,38525,top,161,36471,sup,5,35751,jg,157,33974,mid,32,33537,sup,1,32395,mid,81,28603,bot,238,24718,mid,202,22350,bot,22,17427,bot
77,675080,jg,106,232641,top,92,153875,top,24,121591,top,19,101434,jg,157,64398,mid,203,50785,jg,111,26161,sup,38,26154,mid,12,21918,sup,136,18731,mid,53,13959,sup,67,9002,bot,119,5488,bot,236,4433,bot
238,312249,mid,64,108887,jg,67,85934,bot,157,60846,mid,35,34829,jg,92,33733,top,11,27314,jg,54,25751,top,7,20580,mid,21,20515,bot,53,16690,sup,24,13602,top,202,12647,bot,80,8888,sup,12,8080,sup
163,248445,jg,236,154093,bot,4,116532,mid,157,108438,mid,498,78146,bot,13,75677,mid,110,75196,bot,25,61818,sup,84,46684,top,79,38349,top,164,35085,top,235,28605,sup,11,22658,jg,91,19851,jg,555,9133,sup
105,130728,mid,81,94175,bot,29,72776,bot,54,71199,top,79,65764,top,53,64351,sup,9,64109,jg,86,63642,top,64,59240,jg,32,49461,sup,62,47129,jg,13,41950,mid,57,38871,sup,145,34346,bot,45,28160,mid
161,172529,sup,86,72606,top,141,68664,jg,28,48352,jg,53,41942,sup,99,38176,sup,45,36778,mid,1,25479,mid,157,23485,mid,121,23237,jg,81,22782,bot,875,21908,top,24,19444,top,202,16123,bot,21,14124,bot
16,111323,sup,22,103163,bot,202,92423,bot,99,69967,sup,141,59940,jg,145,59938,bot,55,41746,mid,555,29389,sup,517,27561,mid,84,25554,top,157,23007,mid,35,22147,jg,75,20264,top,82,19160,top,11,17558,jg
107,288884,top,157,161581,mid,55,139577,mid,92,136130,top,39,120493,top,238,105567,mid,35,102512,jg,29,69728,bot,76,59422,jg,64,57810,jg,67,49574,bot,555,48288,sup,412,43357,sup,119,33069,bot,161,24649,sup
157,416170,mid,238,262909,mid,64,137350,jg,202,117475,bot,122,111184,top,142,98247,mid,234,89956,jg,141,71213,jg,67,69190,bot,119,61414,bot,24,49687,top,92,39334,top,99,39280,sup,555,34054,sup,412,19387,sup
122,245183,top,53,122605,sup,17,114945,top,75,100348,top,89,77832,sup,222,52363,bot,81,40111,bot,412,33486,sup,19,20952,jg,5,20937,jg,11,16886,jg,22,5694,bot,157,267,mid,61,151,mid,1,147,mid
29,501183,bot,22,362798,bot,80,300955,sup,150,150608,top,31,145197,top,81,145127,bot,23,142940,top,45,104945,mid,235,66294,sup,121,64366,jg,99,38234,sup,33,37049,jg,518,29663,mid,34,27062,mid,77,21477,jg
