Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
99,98196,sup,25,69221,sup,51,54672,bot,420,50447,top,518,37613,mid,267,31793,sup,1,29757,mid,21,29380,bot,22,22419,bot,103,12810,mid,17,10492,top,82,8314,top,876,6331,jg,28,5709,jg,76,3169,jg
45,74282,mid,117,67685,sup,111,62102,sup,350,44106,sup,115,35852,bot,103,31086,mid,17,26704,top,96,26421,bot,31,22217,top,61,19437,mid,54,17933,top,498,16566,bot,30,15910,jg,876,9944,jg,59,5310,jg
28,164603,jg,518,61266,mid,142,53631,mid,99,33865,sup,517,30619,mid,245,27434,jg,236,26899,bot,84,26055,top,420,21946,top,131,21069,jg,51,20186,bot,360,19781,bot,164,16083,top,555,10726,sup,43,9519,sup
86,165928,top,81,74249,bot,101,34145,sup,99,33994,sup,53,26472,sup,875,22553,top,64,18684,jg,103,16950,mid,236,15995,bot,4,15775,mid,21,12941,bot,82,8370,top,3,7308,mid,62,5867,jg,20,4123,jg
122,231718,top,78,43574,jg,517,29284,mid,26,27826,sup,84,26921,top,18,26804,bot,166,22859,mid,420,22585,top,245,18193,jg,131,14984,jg,81,10617,bot,69,10054,mid,80,10002,sup,21,5457,bot,32,4913,sup
145,91339,bot,114,85661,top,61,44092,mid,105,36650,mid,517,25618,mid,245,21690,jg,81,19301,bot,76,18302,jg,121,15529,jg,84,14641,top,54,14366,top,202,14042,bot,235,12518,sup,89,6225,sup,412,5913,sup
161,50775,sup,53,41757,sup,80,24307,sup,54,21110,top,8,18961,mid,55,18169,mid,68,16382,top,29,15789,bot,222,15000,bot,21,14944,bot,45,14282,mid,9,12067,jg,30,10922,jg,84,10358,top,20,8473,jg
517,55157,mid,122,51382,top,202,47274,bot,245,45582,jg,266,41388,top,222,38385,bot,75,34067,top,236,32719,bot,56,29976,jg,35,26115,jg,38,19998,mid,555,17226,sup,101,16608,sup,80,16005,sup,4,14646,mid
81,127931,bot,91,83132,jg,523,72703,bot,245,65791,jg,67,50668,bot,157,48000,mid,92,34978,top,76,33877,jg,55,32807,mid,238,23462,mid,84,22790,top,39,15655,top,235,14949,sup,80,10856,sup,412,4036,sup
48,113945,jg,20,78773,jg,11,77802,jg,82,77299,top,101,55768,sup,875,49810,top,555,28505,sup,80,25311,sup,81,25208,bot,51,22391,bot,157,18555,mid,106,17720,top,22,10334,bot,3,7179,mid,517,4940,mid
238,188089,mid,64,165642,jg,67,152915,bot,126,150455,top,157,97759,mid,81,96127,bot,11,92698,jg,222,82334,bot,107,72864,top,53,66640,sup,122,62318,top,412,53534,sup,268,48710,mid,555,45356,sup,121,26701,jg
875,103333,top,11,67544,jg,254,48181,jg,68,42622,top,141,37090,jg,24,34504,top,777,32290,mid,157,26696,mid,555,18282,sup,63,18248,sup,80,17900,sup,67,17744,bot,517,15553,mid,81,6784,bot,15,6309,bot
