Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
64,66850,jg,104,45310,jg,76,35127,jg,4,29748,mid,17,29265,top,517,25794,mid,777,18155,mid,266,15577,top,67,13668,bot,39,10143,top,81,9572,bot,51,8210,bot,101,6751,sup,89,4349,sup,350,3814,sup
412,79442,sup,236,73300,bot,3,72863,mid,51,67767,bot,81,50803,bot,111,45750,sup,497,42149,sup,61,28058,mid,39,25145,top,64,21803,jg,517,20723,mid,104,18402,jg,59,17225,jg,266,14354,top,54,12243,top
523,231271,bot,81,135222,bot,145,129195,bot,57,74126,sup,412,72150,sup,111,58448,sup,421,38600,jg,64,34273,jg,121,27137,jg,42,26674,mid,114,18062,top,79,12407,top,157,11361,mid,107,7378,top,1,6774,mid
92,363189,top,238,223867,mid,39,193324,top,268,105600,mid,126,78173,top,7,73314,mid,91,38949,jg,236,34246,bot,12,22222,sup,120,19201,jg,81,17899,bot,64,17214,jg,117,11290,sup,26,10342,sup,67,8515,bot
421,1697105,jg,412,706123,sup,64,218576,jg,157,178252,mid,11,148995,jg,238,85446,mid,53,70653,sup,92,57527,top,79,55204,top,55,53122,mid,39,51087,top,12,46153,sup,81,36247,bot,236,32172,bot,67,25542,bot
67,198537,bot,523,162954,bot,81,149002,bot,39,136759,top,107,95705,top,64,94447,jg,412,67646,sup,104,59948,jg,238,53421,mid,157,52383,mid,53,51012,sup,266,49938,top,42,42235,mid,11,41962,jg,117,38873,sup
238,434002,mid,157,275658,mid,81,217286,bot,64,207841,jg,4,160522,mid,67,149367,bot,236,134923,bot,107,100865,top,92,99663,top,412,97805,sup,245,91100,jg,126,85770,top,60,65397,jg,101,34967,sup,53,24347,sup
517,154311,mid,777,93615,mid,84,91592,top,157,88402,mid,39,49518,top,164,40041,top,245,24543,jg,234,23357,jg,236,12967,bot,80,9900,sup,11,7750,jg,145,6873,bot,360,6836,bot,117,3314,sup,53,2116,sup
98,126717,top,81,126434,bot,412,96047,sup,25,61506,sup,67,61447,bot,267,60010,sup,236,46748,bot,112,35881,mid,64,35566,jg,48,32018,jg,103,31598,mid,4,30032,mid,41,24328,top,114,18807,top,60,16074,jg
523,355106,bot,145,164250,bot,81,150069,bot,84,60835,top,235,22307,sup,7,13570,mid,89,9989,sup,157,8462,mid,777,8295,mid,117,6953,sup,164,6096,top,39,5178,top,64,4514,jg,76,3999,jg,245,2416,jg
91,448328,jg,38,259350,mid,69,190023,mid,4,154212,mid,117,92310,sup,67,68601,bot,145,67676,bot,80,51914,sup,81,51069,bot,76,27809,jg,64,27471,jg,350,13098,sup,39,6805,top,84,4114,top,54,3554,top
421,935617,jg,60,744234,jg,64,619799,jg,202,259594,bot,412,224646,sup,81,171218,bot,432,162522,sup,107,133909,top,236,123869,bot,69,83672,mid,57,80030,sup,4,76620,mid,79,66206,top,223,64444,top,238,55838,mid
