Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
201,353360,sup,12,320588,sup,89,310221,sup,154,70783,jg,421,52821,jg,223,50338,top,254,50242,jg,58,41626,top,236,40204,bot,79,33844,top,15,28568,bot,42,18898,mid,67,12453,bot,157,3970,mid,61,3940,mid
55,194965,mid,236,57062,bot,81,52454,bot,64,49893,jg,157,44915,mid,59,39340,jg,222,37249,bot,42,26708,mid,113,22192,jg,412,20097,sup,53,13164,sup,122,11875,top,117,10420,sup,24,9821,top,68,8519,top
51,1367643,bot,59,459167,jg,113,362836,jg,38,255107,mid,54,172411,top,498,143856,bot,80,67623,sup,81,65168,bot,32,53325,sup,13,31230,mid,143,19081,sup,8,16336,mid,2,13623,jg,150,6899,top,98,6138,top
38,586039,mid,81,253427,bot,80,151045,sup,89,142709,sup,113,119659,jg,64,117554,jg,67,107724,bot,412,101481,sup,4,97324,mid,238,85914,mid,236,85738,bot,54,69520,top,245,65384,jg,39,56746,top,126,50575,top
81,148483,bot,133,122723,top,157,114693,mid,39,108265,top,236,79144,bot,96,71042,bot,53,70526,sup,121,61040,jg,92,58666,top,64,58067,jg,38,48652,mid,104,46341,jg,8,43113,mid,412,36066,sup,25,33812,sup
77,826036,jg,267,202773,sup,20,201159,jg,223,200129,top,16,163814,sup,121,143648,jg,432,132673,sup,14,94604,top,98,78774,top,22,58565,bot,3,47261,mid,119,35026,bot,21,27465,bot,157,8605,mid,136,6359,mid
104,136608,jg,77,69779,jg,64,52763,jg,41,29391,top,107,21658,top,126,21417,top,18,18494,bot,222,15193,bot,412,14810,sup,12,14703,sup,81,13636,bot,4,11774,mid,777,10243,mid,32,8454,sup,166,7167,mid
81,157469,bot,202,68074,bot,145,59130,bot,7,40657,mid,84,38758,top,25,29882,sup,412,28645,sup,64,21731,jg,13,18770,mid,53,14948,sup,78,13963,jg,39,12233,top,28,11258,jg,114,8519,top,45,4659,mid
64,210312,jg,5,103800,jg,24,101014,top,92,90576,top,11,70247,jg,7,56657,mid,39,44744,top,32,44685,sup,53,33360,sup,67,29743,bot,157,28108,mid,81,26629,bot,238,22366,mid,12,17562,sup,236,13408,bot
238,741996,mid,81,253935,bot,61,230821,mid,157,229481,mid,145,162949,bot,64,158923,jg,53,100582,sup,92,81220,top,79,76938,top,202,70281,bot,76,65336,jg,36,63575,top,412,56374,sup,141,35248,jg,12,19784,sup
54,77654,top,90,74612,mid,84,70302,top,92,59287,top,517,48537,mid,238,44989,mid,110,44319,bot,63,38302,sup,131,34459,jg,67,33158,bot,245,30424,jg,141,30110,jg,81,26020,bot,50,25399,sup,53,21417,sup
40,119479,sup,64,115866,jg,117,111624,sup,157,106271,mid,81,90523,bot,350,73576,sup,21,55998,bot,236,50427,bot,8,49054,mid,11,46717,jg,76,45595,jg,79,42940,top,238,42520,mid,92,40198,top,85,39394,top
497,195481,sup,81,178242,bot,64,93536,jg,238,78085,mid,67,71246,bot,412,66283,sup,202,64764,bot,13,59254,mid,12,57161,sup,245,53030,jg,104,44659,jg,105,42008,mid,79,38447,top,98,35749,top,41,33023,top
81,474949,bot,145,231396,bot,67,152741,bot,157,81060,mid,64,75270,jg,103,53170,mid,84,41573,top,53,38069,sup,89,36589,sup,85,33288,top,12,30828,sup,121,29720,jg,24,28574,top,104,25914,jg,238,23795,mid
64,92958,jg,67,85407,bot,60,64317,jg,7,42567,mid,26,36303,sup,81,35589,bot,8,26786,mid,245,21610,jg,45,21386,mid,51,20919,bot,89,20476,sup,32,20041,sup,24,18331,top,54,15981,top,79,11994,top
517,41782,mid,80,34936,sup,104,34178,jg,236,32899,bot,246,32629,mid,120,32226,jg,777,32068,mid,64,31850,jg,84,22416,top,875,12019,top,81,9011,bot,22,7279,bot,39,6975,top,25,2929,sup,40,2915,sup
53,264969,sup,238,86823,mid,412,55755,sup,64,48267,jg,115,45368,bot,81,40439,bot,157,25615,mid,80,23628,sup,36,21878,top,92,18972,top,76,18733,jg,59,18418,jg,122,17558,top,4,13330,mid,21,12313,bot
39,329294,top,126,247533,top,41,217051,top,245,187073,jg,268,154602,mid,11,139534,jg,238,85930,mid,91,78570,jg,157,68733,mid,53,54595,sup,202,41056,bot,80,31211,sup,412,28011,sup,29,26376,bot,67,25515,bot
238,141470,mid,157,129537,mid,55,113789,mid,67,102697,bot,81,73281,bot,145,69336,bot,39,63662,top,64,63339,jg,92,54278,top,84,53805,top,412,39245,sup,101,38568,sup,104,33038,jg,76,30573,jg,555,26387,sup
55,188361,mid,45,99074,mid,81,78796,bot,517,75849,mid,360,68319,bot,64,52882,jg,126,46775,top,39,41130,top,236,38988,bot,163,37182,jg,84,26233,top,80,25362,sup,104,25120,jg,235,12941,sup,12,7068,sup
92,153416,top,99,82153,sup,64,79399,jg,157,76890,mid,412,69766,sup,236,66901,bot,81,63408,bot,266,60757,top,238,60621,mid,51,42329,bot,53,36191,sup,114,26765,top,121,23021,jg,134,18349,mid,11,16227,jg
64,183259,jg,81,160216,bot,157,144670,mid,13,130655,mid,236,116361,bot,202,102373,bot,517,88390,mid,245,55917,jg,60,51397,jg,266,28342,top,84,27693,top,114,26600,top,50,23849,sup,235,15672,sup,412,4288,sup
555,1016043,sup,157,177699,mid,517,87868,mid,875,65772,top,64,51688,jg,81,38142,bot,236,35165,bot,84,29576,top,122,28982,top,412,25608,sup,238,22921,mid,11,22325,jg,360,21621,bot,80,21213,sup,234,17763,jg
202,116151,bot,145,82440,bot,81,65455,bot,39,31008,top,58,28396,top,876,18287,jg,777,16413,mid,517,16172,mid,84,16161,top,64,12566,jg,78,10294,jg,235,9532,sup,412,7865,sup,80,7545,sup,157,3998,mid
57,136458,sup,432,134796,sup,89,105057,sup,3,100116,mid,104,13824,jg,81,13120,bot,245,8681,jg,30,7201,jg,51,6860,bot,79,6413,top,222,5909,bot,31,5107,top,103,4023,mid,112,3673,mid,36,3352,top
64,270668,jg,412,179957,sup,53,117220,sup,25,114857,sup,59,66994,jg,113,49207,jg,79,43820,top,81,33900,bot,103,19082,mid,61,18682,mid,85,17952,top,238,16200,mid,115,15674,bot,223,14152,top,236,12906,bot
