Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
67,81116,bot,64,65898,jg,157,53194,mid,81,50805,bot,79,45755,top,121,44858,jg,114,42426,top,201,40901,sup,238,34362,mid,48,31647,jg,92,31549,top,4,29567,mid,202,19789,bot,412,17077,sup,53,16051,sup
11,76288,jg,86,74863,top,81,69994,bot,141,63262,jg,82,52384,top,157,46359,mid,22,40468,bot,120,36675,jg,37,31608,sup,875,26005,top,517,22292,mid,202,19245,bot,32,13589,sup,7,6734,mid,99,5093,sup
234,54934,jg,32,46622,sup,350,45319,sup,111,44183,sup,875,28009,top,81,25142,bot,360,24916,bot,517,19580,mid,19,17826,jg,82,14301,top,54,14257,top,523,13925,bot,777,13749,mid,711,12501,mid,56,8991,jg
6,152914,top,110,149511,bot,81,109763,bot,64,93807,jg,104,93584,jg,236,91162,bot,76,61123,jg,98,49988,top,14,46104,top,42,31789,mid,117,28467,sup,412,18294,sup,12,12234,sup,1,1018,mid,13,723,mid
64,191027,jg,81,94991,bot,53,71818,sup,60,68720,jg,59,68063,jg,24,58824,top,67,54884,bot,236,48031,bot,80,39083,sup,25,37537,sup,4,34158,mid,75,22988,top,157,22658,mid,17,22135,top,103,17381,mid
16,81353,sup,103,65138,mid,45,47883,mid,28,43131,jg,7,38204,mid,37,37186,sup,101,36613,sup,10,24955,top,22,22111,bot,236,17554,bot,145,15475,bot,82,13951,top,17,13225,top,876,12224,jg,427,11269,jg
101,162626,sup,84,76736,top,28,74006,jg,555,52345,sup,16,48333,sup,19,43733,jg,21,39800,bot,83,36468,top,81,35497,bot,115,34256,bot,78,33737,jg,103,33656,mid,106,28189,top,517,21740,mid,3,12886,mid
202,175184,bot,98,171920,top,222,171423,bot,113,145237,jg,21,137677,bot,59,104941,jg,104,100037,jg,89,62133,sup,412,55310,sup,143,55229,sup,122,27510,top,90,26875,mid,4,26009,mid,10,25213,top,112,17958,mid
122,237411,top,875,182691,top,64,133010,jg,82,68007,top,517,55754,mid,59,53619,jg,157,50570,mid,81,47742,bot,202,45903,bot,80,44778,sup,3,37509,mid,104,31946,jg,57,26527,sup,555,21365,sup,236,12378,bot
107,157292,top,67,75766,bot,360,52817,bot,39,34515,top,202,29331,bot,157,28054,mid,14,27809,top,412,21748,sup,105,19496,mid,50,19123,sup,777,17922,mid,20,14783,jg,9,12217,jg,32,11449,sup,11,10078,jg
