Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
11,228838,jg,141,127298,jg,107,75772,top,555,71180,sup,157,57667,mid,142,51607,mid,76,44877,jg,24,43950,top,268,39364,mid,29,33121,bot,202,31733,bot,412,27993,sup,12,26501,sup,84,21316,top,51,12740,bot
99,158190,sup,16,108973,sup,267,101700,sup,21,95919,bot,145,84106,bot,134,68962,mid,518,62141,mid,103,49742,mid,131,38777,jg,22,38429,bot,84,29664,top,876,18692,jg,163,17509,jg,39,16153,top,10,11956,top
84,134256,top,145,124395,bot,157,87764,mid,99,75496,sup,142,68444,mid,103,61549,mid,25,59931,sup,39,50453,top,81,46025,bot,21,44887,bot,5,41369,jg,53,33868,sup,245,27580,jg,254,25642,jg,875,24216,top
267,107035,sup,350,99720,sup,16,46863,sup,68,36821,top,77,33880,jg,112,27951,mid,10,24670,top,427,19246,jg,4,18857,mid,6,18302,top,30,17813,jg,157,13643,mid,81,9618,bot,202,8821,bot,523,5726,bot
21,131246,bot,75,74165,top,54,67741,top,17,63504,top,51,37821,bot,89,36217,sup,120,28372,jg,62,21821,jg,25,21042,sup,15,14860,bot,5,14022,jg,103,10756,mid,32,10750,sup,90,9949,mid,45,8198,mid
17,84338,top,145,70072,bot,360,68716,bot,235,59200,sup,234,41266,jg,555,36837,sup,131,29431,jg,114,28328,top,875,22812,top,202,18469,bot,777,15244,mid,2,13475,jg,99,12828,sup,142,8955,mid,103,5546,mid
51,281067,bot,16,191076,sup,21,184547,bot,518,135584,mid,147,81863,sup,498,68860,bot,267,67105,sup,254,23222,jg,17,10545,top,103,5743,mid,45,4719,mid,102,3431,jg,122,3135,top,84,3108,top,33,2708,jg
202,137649,bot,360,97518,bot,145,94181,bot,99,74550,sup,11,69054,jg,39,67178,top,164,60376,top,157,57445,mid,55,56125,mid,777,54684,mid,50,53002,sup,555,47747,sup,84,47101,top,28,30568,jg,141,18042,jg
157,47578,mid,15,28881,bot,21,28778,bot,517,20598,mid,54,19694,top,11,18799,jg,412,16324,sup,81,15486,bot,64,12423,jg,23,12385,top,238,11635,mid,122,11570,top,53,10935,sup,63,10577,sup,33,8802,jg
202,147148,bot,39,28564,top,98,26156,top,35,25135,jg,85,24796,top,234,22553,jg,45,22405,mid,876,18037,jg,246,16773,mid,3,14789,mid,67,10111,bot,523,8139,bot,80,6947,sup,63,3566,sup,201,2528,sup
412,112474,sup,35,84914,jg,141,75344,jg,72,63042,jg,90,49666,mid,110,34452,bot,516,33596,top,101,33558,sup,202,29415,bot,82,28819,top,875,27247,top,235,26272,sup,96,19553,bot,105,18332,mid,517,14576,mid
55,350963,mid,157,143515,mid,92,93793,top,58,67195,top,238,59088,mid,24,56737,top,20,50925,jg,202,48090,bot,555,33792,sup,18,31617,bot,99,31314,sup,254,30972,jg,29,28925,bot,131,28537,jg,32,15557,sup
67,92053,bot,105,39184,mid,24,37756,top,74,34156,top,61,29478,mid,157,28082,mid,17,23549,top,18,22147,bot,25,12511,sup,222,11364,bot,78,9278,jg,16,8941,sup,11,6943,jg,555,6506,sup,19,6195,jg
350,235776,sup,22,118133,bot,16,110297,sup,25,109809,sup,17,92234,top,110,88630,bot,145,84956,bot,56,73439,jg,131,69261,jg,103,60101,mid,875,56789,top,34,54390,mid,518,44224,mid,28,18143,jg,10,15637,top
34,60387,mid,62,49153,jg,223,45875,top,84,35996,top,105,34228,mid,41,34193,top,7,29795,mid,77,29582,jg,236,27617,bot,80,18113,sup,18,15432,bot,25,14202,sup,202,13188,bot,5,11633,jg,26,10008,sup
350,101479,sup,235,94186,sup,16,63226,sup,876,59130,jg,21,57376,bot,28,54060,jg,51,46938,bot,131,46530,jg,39,46491,top,145,38621,bot,711,34135,mid,103,32742,mid,518,30523,mid,84,28839,top,10,24744,top
157,94631,mid,84,68085,top,39,67763,top,92,53345,top,81,40941,bot,517,40613,mid,55,39989,mid,141,39343,jg,245,37533,jg,28,35404,jg,523,29500,bot,67,29413,bot,555,27063,sup,99,24434,sup,497,16441,sup
28,401330,jg,51,293190,bot,37,160443,sup,222,146273,bot,99,114764,sup,518,111232,mid,19,104820,jg,145,93906,bot,876,55510,jg,267,49296,sup,103,38322,mid,10,24163,top,7,20341,mid,887,16528,top,150,7109,top
145,539600,bot,254,263021,jg,22,213164,bot,235,167567,sup,875,151818,top,203,112212,jg,17,100550,top,84,98593,top,21,94169,bot,102,76558,jg,25,63339,sup,157,35836,mid,89,27208,sup,45,25327,mid,105,24290,mid
111,172524,sup,131,95168,jg,164,85772,top,36,70420,top,43,48789,sup,99,48522,sup,20,39416,jg,15,25390,bot,18,16709,bot,119,15698,bot,78,15035,jg,82,14325,top,1,14274,mid,34,12785,mid,69,9653,mid
51,56030,bot,518,48508,mid,147,44363,sup,43,30612,sup,25,29164,sup,145,28151,bot,223,22824,top,61,21565,mid,517,18458,mid,887,18279,top,876,16252,jg,17,15905,top,222,15758,bot,30,9210,jg,163,8151,jg
63,135219,sup,81,48202,bot,22,43515,bot,25,33204,sup,21,32431,bot,32,31386,sup,1,28909,mid,113,22785,jg,131,21411,jg,68,16955,top,13,15083,mid,79,14548,top,2,13984,jg,134,10938,mid,54,9219,top
107,75073,top,157,25838,mid,11,24529,jg,203,23955,jg,2,22486,jg,51,22348,bot,13,20901,mid,222,20417,bot,4,19169,mid,82,17699,top,17,16935,top,53,13806,sup,81,12709,bot,80,11922,sup,26,11790,sup
157,106202,mid,238,79331,mid,77,76226,jg,11,41704,jg,24,40719,top,53,25233,sup,82,22461,top,64,21162,jg,58,20981,top,81,18390,bot,202,15570,bot,51,14845,bot,45,13505,mid,111,13143,sup,412,10652,sup
6,65274,top,50,43536,sup,19,30259,jg,29,26048,bot,4,25035,mid,11,24836,jg,202,23748,bot,56,21977,jg,236,20349,bot,24,17627,top,235,15931,sup,86,15398,top,127,14546,mid,34,14394,mid,111,13238,sup
103,111200,mid,267,59426,sup,350,45238,sup,131,38318,jg,16,29137,sup,31,24496,top,21,20991,bot,51,19721,bot,76,17354,jg,83,17041,top,17,15760,top,20,15567,jg,7,13940,mid,498,11200,bot,61,10018,mid
145,486029,bot,22,439569,bot,24,382753,top,15,291036,bot,33,123327,jg,875,90706,top,92,88454,top,131,80454,jg,113,71297,jg,117,29428,sup,99,20903,sup,25,17668,sup,134,14394,mid,518,11630,mid,61,10917,mid
24,78782,top,98,60091,top,121,51084,jg,5,50597,jg,141,38975,jg,23,34471,top,13,34105,mid,18,30077,bot,235,29238,sup,103,27433,mid,69,25394,mid,555,20182,sup,80,17780,sup,202,13703,bot,145,11786,bot
