Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
51,272295,bot,145,88254,bot,103,74100,mid,84,49759,top,22,48609,bot,39,33414,top,246,22301,mid,412,20318,sup,134,18206,mid,163,14687,jg,350,13650,sup,76,12110,jg,99,9746,sup,254,7431,jg,114,1286,top
55,67222,mid,238,51605,mid,3,51363,mid,39,43932,top,234,35663,jg,14,32609,top,84,25148,top,555,24166,sup,62,17076,jg,236,13680,bot,59,11110,jg,80,11078,sup,16,10862,sup,202,9299,bot,21,8998,bot
39,956886,top,90,109817,mid,98,74811,top,245,63522,jg,54,61704,top,43,58620,sup,131,54785,jg,81,35351,bot,113,26433,jg,16,20793,sup,67,18552,bot,142,17734,mid,350,16135,sup,1,14686,mid,18,13146,bot
64,154967,jg,517,97859,mid,238,66095,mid,104,65549,jg,39,55102,top,245,54166,jg,3,41417,mid,875,39222,top,81,36159,bot,164,33395,top,412,23617,sup,67,21216,bot,145,17146,bot,497,6812,sup,555,6105,sup
131,514349,jg,103,214265,mid,99,163929,sup,25,108589,sup,37,82074,sup,51,38086,bot,22,34580,bot,875,29264,top,145,24693,bot,24,22107,top,31,20840,top,134,13808,mid,38,10785,mid,11,9387,jg,113,6642,jg
24,133150,top,64,69609,jg,107,53864,top,11,49590,jg,104,31764,jg,875,31101,top,238,26701,mid,157,20404,mid,38,18885,mid,81,14400,bot,18,7958,bot,50,7159,sup,236,5914,bot,80,5422,sup,101,4105,sup
157,205316,mid,62,128664,jg,51,83417,bot,121,79003,jg,64,78678,jg,58,73122,top,266,67165,top,236,64150,bot,122,45736,top,777,44472,mid,81,41646,bot,238,32705,mid,63,20463,sup,99,20329,sup,25,18592,sup
432,71400,sup,29,62544,bot,222,54116,bot,55,50512,mid,84,41344,top,122,39796,top,10,38163,top,67,37503,bot,235,33351,sup,45,32218,mid,34,27774,mid,16,20412,sup,245,17285,jg,234,14073,jg,9,12640,jg
14,172109,top,142,165610,mid,150,104981,top,35,72536,jg,51,45447,bot,497,43511,sup,41,41620,top,202,40895,bot,104,36333,jg,555,33851,sup,8,18265,mid,163,18111,jg,81,16942,bot,517,14904,mid,43,12927,sup
64,613241,jg,104,447093,jg,121,200646,jg,67,186495,bot,412,85450,sup,145,56607,bot,89,48598,sup,111,37152,sup,236,35406,bot,54,20410,top,13,16892,mid,92,13692,top,157,13138,mid,1,12493,mid,164,10550,top
121,1179695,jg,120,84981,jg,141,59011,jg,29,34091,bot,107,18009,top,45,16881,mid,82,15164,top,238,9517,mid,24,8140,top,157,6528,mid,523,6411,bot,40,5236,sup,350,4689,sup,412,4585,sup,22,3366,bot
