Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
202,52182,bot,145,49715,bot,21,48332,bot,99,33459,sup,16,17285,sup,114,15198,top,117,14765,sup,28,10762,jg,84,8321,top,103,7282,mid,164,6979,top,7,6085,mid,19,3586,jg,11,2382,jg,134,1388,mid
157,234564,mid,62,184749,jg,555,159589,sup,11,88413,jg,122,82962,top,81,62906,bot,517,58540,mid,202,53151,bot,107,51956,top,86,48984,top,3,41537,mid,412,37978,sup,234,36190,jg,236,32905,bot,80,27340,sup
29,133748,bot,202,106277,bot,45,79136,mid,84,62963,top,81,53670,bot,62,47977,jg,23,35354,top,63,34745,sup,76,29728,jg,42,27917,mid,13,27479,mid,36,27446,top,163,26199,jg,80,25374,sup,25,20322,sup
145,112553,bot,64,84039,jg,236,77127,bot,517,63279,mid,412,60004,sup,104,51466,jg,81,50723,bot,39,46868,top,875,46184,top,126,41504,top,245,41376,jg,89,31375,sup,157,29873,mid,13,28934,mid,117,21659,sup
99,250204,sup,53,240244,sup,11,197363,jg,81,161116,bot,141,94289,jg,21,78922,bot,32,77730,sup,103,41104,mid,19,32288,jg,145,32243,bot,24,32067,top,134,26917,mid,157,25974,mid,84,18280,top,39,10456,top
53,115205,sup,20,106426,jg,104,89462,jg,141,82747,jg,4,38075,mid,105,36521,mid,86,34816,top,25,28617,sup,103,28318,mid,51,25101,bot,81,20710,bot,412,19316,sup,29,18649,bot,122,16231,top,126,14454,top
350,154614,sup,267,146457,sup,117,139770,sup,104,54406,jg,245,43608,jg,121,30351,jg,103,18344,mid,145,15461,bot,54,12351,top,122,11739,top,10,10910,top,1,10580,mid,518,8893,mid,110,8415,bot,236,6133,bot
67,511733,bot,145,216078,bot,81,124457,bot,8,62293,mid,114,53893,top,122,51694,top,103,44269,mid,10,38400,top,99,37472,sup,157,31460,mid,28,30620,jg,412,29547,sup,11,26495,jg,63,25191,sup,245,17023,jg
111,108493,sup,67,97678,bot,51,91706,bot,21,78679,bot,89,49270,sup,43,40391,sup,11,30469,jg,875,26872,top,98,25380,top,54,16200,top,48,11626,jg,3,10450,mid,104,7552,jg,42,1784,mid,112,703,mid
51,372719,bot,202,188655,bot,81,186137,bot,25,27423,sup,235,27161,sup,412,22995,sup,45,17042,mid,103,15914,mid,11,14827,jg,5,7985,jg,82,6862,top,102,6194,jg,122,5453,top,166,3265,mid,875,2803,top
238,152047,mid,91,124168,jg,517,57109,mid,121,56697,jg,64,56430,jg,157,55369,mid,266,39637,top,54,28099,top,39,25282,top,236,23128,bot,81,19367,bot,555,11269,sup,63,9320,sup,50,8731,sup,119,4549,bot
202,172533,bot,18,168821,bot,81,160551,bot,164,87298,top,104,74229,jg,117,49471,sup,245,43173,jg,150,43105,top,7,42208,mid,48,41226,jg,12,40392,sup,412,36654,sup,114,35559,top,13,32382,mid,142,27580,mid
266,267618,top,875,83470,top,82,43291,top,11,37721,jg,45,12257,mid,104,11951,jg,38,11914,mid,8,10716,mid,30,10384,jg,101,10293,sup,67,7018,bot,96,5970,bot,81,5462,bot,32,4794,sup,99,4477,sup
32,92010,sup,53,82069,sup,75,64080,top,350,57030,sup,36,56601,top,81,52140,bot,29,48497,bot,17,41599,top,202,40590,bot,45,21823,mid,20,19633,jg,62,19002,jg,121,16070,jg,3,15349,mid,4,9173,mid
35,50211,jg,77,48537,jg,106,44894,top,517,28781,mid,104,28080,jg,14,15847,top,266,13894,top,12,8209,sup,1,8097,mid,51,7088,bot,53,5956,sup,4,5639,mid,81,5408,bot,32,5319,sup,202,4043,bot
142,165043,mid,84,67847,top,81,66904,bot,136,53010,mid,246,50706,mid,202,50381,bot,141,49253,jg,39,45526,top,235,45068,sup,10,44584,top,22,41057,bot,203,27314,jg,30,24617,jg,99,22732,sup,555,15721,sup
81,222634,bot,92,145644,top,39,77489,top,67,74077,bot,8,71112,mid,55,69211,mid,157,66367,mid,23,66276,top,64,58614,jg,145,57941,bot,141,50957,jg,91,50002,jg,555,45454,sup,50,45205,sup,80,28714,sup
104,189111,jg,120,140387,jg,141,134247,jg,222,74856,bot,74,43090,top,23,43030,top,84,39282,top,32,36022,sup,555,34108,sup,25,27145,sup,55,24508,mid,157,23743,mid,51,21850,bot,45,18172,mid,81,9978,bot
59,120323,jg,13,94441,mid,81,88539,bot,412,81157,sup,235,71260,sup,61,66731,mid,104,56045,jg,201,54094,sup,79,51211,top,202,47914,bot,145,47314,bot,64,38187,jg,126,33806,top,518,30881,mid,516,28744,top
157,246797,mid,517,171740,mid,246,167501,mid,141,134179,jg,11,107722,jg,75,100247,top,77,76659,jg,29,75412,bot,875,62321,top,202,56199,bot,24,55652,top,555,50415,sup,523,47393,bot,80,11035,sup,161,8194,sup
157,231302,mid,555,219948,sup,33,109950,jg,2,83161,jg,141,69278,jg,86,63433,top,777,48812,mid,84,41122,top,99,37222,sup,80,32628,sup,82,24329,top,236,22906,bot,103,18495,mid,67,18187,bot,29,17610,bot
74,234406,top,90,152782,mid,53,110344,sup,3,83007,mid,1,57456,mid,2,57198,jg,25,56941,sup,99,54711,sup,81,52477,bot,22,36823,bot,20,36511,jg,11,34505,jg,21,26586,bot,6,26305,top,17,26111,top
84,245795,top,246,103699,mid,157,85239,mid,103,84991,mid,39,79660,top,91,73038,jg,106,71720,top,35,64128,jg,120,44877,jg,53,37807,sup,67,34567,bot,555,29678,sup,80,25168,sup,81,23066,bot,236,17191,bot
164,59278,top,39,44468,top,14,44417,top,64,43735,jg,777,42347,mid,145,32453,bot,81,30767,bot,76,28463,jg,517,27378,mid,55,26161,mid,245,26151,jg,202,20636,bot,80,10941,sup,432,9853,sup,555,9122,sup
119,553815,bot,157,112557,mid,202,102729,bot,67,101287,bot,74,52685,top,555,40186,sup,105,39894,mid,245,36452,jg,163,32865,jg,84,31838,top,39,30147,top,103,29493,mid,99,28750,sup,141,24064,jg,432,10424,sup
39,903917,top,122,285696,top,147,283288,sup,103,160273,mid,54,157424,top,99,122445,sup,53,96963,sup,498,73861,bot,21,37211,bot,45,29992,mid,91,21536,jg,81,11213,bot,157,6131,mid,141,5918,jg,245,3635,jg
350,276317,sup,16,152369,sup,142,137972,mid,99,122840,sup,103,76063,mid,22,56446,bot,518,52285,mid,21,47433,bot,498,43939,bot,17,27270,top,203,19621,jg,10,18618,top,876,17136,jg,133,11096,top,30,10846,jg
35,292343,jg,61,250154,mid,98,76995,top,86,72942,top,77,65835,jg,102,60121,jg,15,53868,bot,51,49729,bot,4,41063,mid,43,39994,sup,74,36534,top,112,36063,mid,235,22210,sup,96,19432,bot,26,17513,sup
99,248162,sup,157,134600,mid,555,131290,sup,101,129367,sup,202,110422,bot,142,109345,mid,51,75268,bot,105,67209,mid,122,58007,top,115,51056,bot,84,46819,top,35,38529,jg,31,37226,top,77,33627,jg,154,31552,jg
51,553112,bot,81,251490,bot,21,193923,bot,28,162696,jg,99,149835,sup,103,113733,mid,350,83301,sup,497,83011,sup,20,48481,jg,142,44332,mid,157,43155,mid,84,33661,top,76,25525,jg,875,16097,top,85,12610,top
133,683977,top,55,297521,mid,246,174306,mid,40,165999,sup,127,144790,mid,78,76249,jg,67,58709,bot,76,56675,jg,360,56418,bot,89,54452,sup,203,39472,jg,143,29823,sup,498,28728,bot,39,27293,top,223,21013,top
