Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
114,688667,top,39,326863,top,164,237685,top,60,139711,jg,121,100809,jg,203,69931,jg,498,44957,bot,360,36144,bot,51,28559,bot,350,13327,sup,57,13208,sup,238,8278,mid,16,5269,sup,157,5017,mid,105,3444,mid
121,453361,jg,11,287630,jg,254,139643,jg,54,129399,top,51,71932,bot,25,70879,sup,90,65707,mid,86,65612,top,103,60288,mid,202,58318,bot,105,49457,mid,99,39880,sup,67,39241,bot,24,33735,top,40,25074,sup
154,477455,jg,26,130439,sup,43,92003,sup,161,76001,sup,33,28789,jg,150,23371,top,15,20915,bot,78,20685,jg,523,18646,bot,51,16959,bot,45,16465,mid,223,15630,top,98,15140,top,157,12874,mid,127,12354,mid
875,148434,top,412,106520,sup,157,98097,mid,106,73300,top,6,72673,top,3,51504,mid,11,46448,jg,141,43261,jg,238,38254,mid,245,24533,jg,555,24387,sup,145,19781,bot,111,17325,sup,498,15707,bot,67,14690,bot
86,468285,top,11,246275,jg,111,238588,sup,412,176852,sup,54,139214,top,24,89663,top,51,56579,bot,22,55001,bot,62,48883,jg,53,48811,sup,45,47663,mid,29,41216,bot,1,33360,mid,38,18194,mid,234,8873,jg
119,449677,bot,523,82593,bot,81,63971,bot,235,52975,sup,412,48862,sup,432,30505,sup,38,18587,mid,4,16748,mid,30,15293,jg,875,13871,top,45,10207,mid,98,7233,top,14,6473,top,35,5208,jg,19,4683,jg
67,198269,bot,145,109789,bot,360,87020,bot,7,65723,mid,39,46677,top,64,40686,jg,246,35294,mid,238,33070,mid,412,31980,sup,121,28996,jg,104,19632,jg,555,12296,sup,54,11278,top,31,10324,top,12,8179,sup
222,194002,bot,51,165268,bot,21,150700,bot,267,128144,sup,40,100124,sup,99,80992,sup,7,63736,mid,518,57038,mid,56,42988,jg,131,37073,jg,133,22385,top,55,20486,mid,10,12077,top,254,11728,jg,39,6366,top
99,54174,sup,43,53250,sup,412,52052,sup,81,26578,bot,51,20427,bot,64,13807,jg,13,13302,mid,22,12949,bot,9,8372,jg,42,6520,mid,223,5048,top,68,4612,top,157,4559,mid,5,3626,jg,74,1455,top
27,334643,top,77,307292,jg,48,139620,jg,119,102103,bot,201,85670,sup,76,71296,jg,4,62577,mid,24,60150,top,92,44000,top,29,32876,bot,432,31331,sup,22,18965,bot,13,14225,mid,80,13620,sup,55,4725,mid
