Champion1,Mastery1,Lane1,Champion2,Mastery2,Lane2,Champion3,Mastery3,Lane3,Champion4,Mastery4,Lane4,Champion5,Mastery5,Lane5,Champion6,Mastery6,Lane6,Champion7,Mastery7,Lane7,Champion8,Mastery8,Lane8,Champion9,Mastery9,Lane9,Champion10,Mastery10,Lane10,Champion11,Mastery11,Lane11,Champion12,Mastery12,Lane12,Champion13,Mastery13,Lane13,Champion14,Mastery14,Lane14,Champion15,Mastery15,Lane15
111,250574,sup,80,101154,sup,86,61723,top,48,58684,jg,89,58284,sup,14,46047,top,266,41959,top,141,38766,jg,2,36196,jg,202,17038,bot,360,11978,bot,51,10445,bot,517,5321,mid,1,3748,mid,105,3665,mid
17,281942,top,86,30023,top,777,24980,mid,223,24934,top,63,21584,sup,157,20945,mid,235,20567,sup,45,19759,mid,80,16088,sup,91,15830,jg,21,13408,bot,9,13052,jg,29,12413,bot,110,12190,bot,141,12020,jg
164,71071,top,122,65845,top,157,56366,mid,238,55298,mid,64,52200,jg,121,45422,jg,8,42054,mid,236,40518,bot,81,40363,bot,75,34674,top,67,34326,bot,141,20358,jg,412,14662,sup,555,14001,sup,99,12808,sup
238,161141,mid,74,117946,top,202,117060,bot,157,108840,mid,32,77002,sup,777,76147,mid,141,62513,jg,245,49980,jg,555,44628,sup,99,42984,sup,19,42650,jg,875,41868,top,119,36034,bot,54,29873,top,236,21022,bot
223,84196,top,89,70346,sup,50,59629,sup,74,59628,top,202,58502,bot,51,47409,bot,875,46441,top,81,42258,bot,104,40583,jg,201,37713,sup,142,29468,mid,35,28167,jg,64,27508,jg,3,27468,mid,103,25890,mid
92,1140687,top,64,100514,jg,53,87919,sup,114,70005,top,54,54866,top,99,37912,sup,145,35627,bot,45,29609,mid,18,28852,bot,67,27085,bot,55,17609,mid,11,16795,jg,350,16595,sup,77,15087,jg,157,14402,mid
84,252116,top,114,104479,top,222,103974,bot,39,84764,top,67,63462,bot,89,63255,sup,15,46609,bot,127,44123,mid,55,37745,mid,254,35579,jg,53,33209,sup,134,29333,mid,131,27881,jg,28,22757,jg,412,17053,sup
55,122400,mid,141,86524,jg,157,51777,mid,84,47754,top,245,32199,jg,555,29879,sup,238,26465,mid,131,26015,jg,41,21738,top,202,19508,bot,67,18055,bot,235,17851,sup,133,16286,top,119,12952,bot,99,6880,sup
25,318661,sup,37,213280,sup,350,207042,sup,103,196891,mid,518,96353,mid,19,87509,jg,1,36421,mid,22,34964,bot,163,29677,jg,28,23482,jg,31,21655,top,266,20870,top,86,20103,top,21,11063,bot,498,8928,bot
89,64498,sup,350,51466,sup,412,49922,sup,222,38749,bot,98,37236,top,51,33852,bot,22,33226,bot,54,31014,top,76,19293,jg,142,18581,mid,3,18470,mid,17,17426,top,45,13846,mid,9,13405,jg,30,9278,jg
