,Main Champion,Main Lane,Champion,Mastery
0,Aatrox,top,Darius,0.027551905017821884
1,Aatrox,top,Sett,0.028557178693102328
2,Aatrox,top,Camille,0.0328226161696316
0,Aatrox,top,LeeSin,0.01908109103434728
1,Aatrox,top,Kayn,0.020207352809294404
2,Aatrox,top,Graves,0.025277197649908895
0,Aatrox,top,Yasuo,0.014438107936018069
1,Aatrox,top,Sylas,0.015105796717111175
2,Aatrox,top,Zed,0.02515307264943244
0,Aatrox,top,Ezreal,0.011396551382381305
1,Aatrox,top,Lucian,0.01583315498941389
2,Aatrox,top,Jhin,0.016731461917905536
0,Aatrox,top,Pantheon,0.014141753698249406
1,Aatrox,top,Thresh,0.01944009548117776
2,Aatrox,top,Pyke,0.020829589181113006
0,Ahri,mid,Akali,0.01104962889904768
1,Ahri,mid,Irelia,0.013225926869296968
2,Ahri,mid,Teemo,0.02361434593753728
0,Ahri,mid,LeeSin,0.01706448659310325
1,Ahri,mid,Diana,0.01849866908079293
2,Ahri,mid,Evelynn,0.02113022072674359
0,Ahri,mid,Yasuo,0.021219387767554544
1,Ahri,mid,Neeko,0.026563227021673536
2,Ahri,mid,Leblanc,0.028406783224850494
0,Ahri,mid,Ezreal,0.009991053968597232
1,Ahri,mid,MissFortune,0.013628514365654466
2,Ahri,mid,Kaisa,0.015433992550566792
0,Ahri,mid,Lux,0.0076013600231622375
1,Ahri,mid,Morgana,0.019665094889367785
2,Ahri,mid,Thresh,0.01992729373312006
0,Akali,top,Irelia,0.006434520383408924
1,Akali,top,Sett,0.019888943641119372
2,Akali,top,Camille,0.02727219256586106
0,Akali,top,LeeSin,0.00804577292319139
1,Akali,top,Ekko,0.010699508502698138
2,Akali,top,Kayn,0.012926111808283057
0,Akali,top,Yasuo,0.006262646478202542
1,Akali,top,Sylas,0.008531016502512073
2,Akali,top,Zed,0.010937417813910446
0,Akali,top,Ezreal,0.0053443966767642735
1,Akali,top,Kaisa,0.008008096491000665
2,Akali,top,Lucian,0.009041335424357599
0,Akali,top,Pyke,0.007671056229474214
1,Akali,top,Pantheon,0.008550630838427201
2,Akali,top,Lux,0.009105820650866878
0,Akshan,mid,Gwen,0.10441764036121547
1,Akshan,mid,Sett,0.12832084575094665
2,Akshan,mid,Irelia,0.1834783922623353
0,Akshan,mid,Viego,0.11496171983941601
1,Akshan,mid,Graves,0.11837872658897503
2,Akshan,mid,LeeSin,0.15247939231264782
0,Akshan,mid,Yasuo,0.12716516232616246
1,Akshan,mid,Yone,0.129440788080248
2,Akshan,mid,Sylas,0.13090149134170342
0,Akshan,mid,Ezreal,0.06582788306538265
1,Akshan,mid,Vayne,0.1326481052462009
2,Akshan,mid,Lucian,0.13288774722208593
0,Akshan,mid,Senna,0.11493376773212888
1,Akshan,mid,Thresh,0.15007643038010435
2,Akshan,mid,Morgana,0.15399796117983924
0,Alistar,sup,Shen,0.048110631160342046
1,Alistar,sup,Malphite,0.049135733379809615
2,Alistar,sup,TahmKench,0.054096677671158916
0,Alistar,sup,LeeSin,0.03327621071227819
1,Alistar,sup,MasterYi,0.049018760196864394
2,Alistar,sup,JarvanIV,0.05562982925769878
0,Alistar,sup,Galio,0.02810439744965047
1,Alistar,sup,Yasuo,0.037425719120610275
2,Alistar,sup,Zed,0.04678450687328157
0,Alistar,sup,Ezreal,0.023931906733392017
1,Alistar,sup,Ashe,0.04103415124750334
2,Alistar,sup,Tristana,0.04275362658485779
0,Alistar,sup,Thresh,0.030236502467025726
1,Alistar,sup,Nautilus,0.055322411048235307
2,Alistar,sup,Rakan,0.0625172763547945
0,Amumu,sup,Malphite,0.06572263773741367
1,Amumu,sup,DrMundo,0.10373367153537244
2,Amumu,sup,Volibear,0.11482935030765365
0,Amumu,sup,LeeSin,0.09201338982586961
1,Amumu,sup,Rammus,0.09220186416250448
2,Amumu,sup,MasterYi,0.10223265073672977
0,Amumu,sup,Veigar,0.058725406084093254
1,Amumu,sup,Annie,0.09538914124172869
2,Amumu,sup,Ahri,0.11521265593229141
0,Amumu,sup,Ezreal,0.06602312916499047
1,Amumu,sup,Ashe,0.08609529363880974
2,Amumu,sup,MissFortune,0.0863085196307461
0,Amumu,sup,Blitzcrank,0.06520718492378187
1,Amumu,sup,Lux,0.09815348892407644
2,Amumu,sup,Pyke,0.17469277540881198
0,Anivia,mid,Irelia,0.05085660895864222
1,Anivia,mid,Teemo,0.055004777334747214
2,Anivia,mid,Akali,0.055594213874442924
0,Anivia,mid,LeeSin,0.04128333180175726
1,Anivia,mid,Ekko,0.04184861189057094
2,Anivia,mid,Khazix,0.06710829623087981
0,Anivia,mid,Yasuo,0.041943392561642506
1,Anivia,mid,Orianna,0.05181831646945641
2,Anivia,mid,Veigar,0.07228375461312685
0,Anivia,mid,Ezreal,0.021714981045532666
1,Anivia,mid,Vayne,0.042489017368267386
2,Anivia,mid,Ashe,0.047962389582590276
0,Anivia,mid,Lux,0.0320728243714181
1,Anivia,mid,Thresh,0.04041471027883283
2,Anivia,mid,Blitzcrank,0.04738980207702753
0,Annie,mid,Malphite,0.07958929222527551
1,Annie,mid,Nasus,0.09280311580249993
2,Annie,mid,Kayle,0.09442118962187063
0,Annie,mid,LeeSin,0.09261943001954662
1,Annie,mid,MasterYi,0.0942552100870742
2,Annie,mid,Evelynn,0.11515115528098593
0,Annie,mid,Yasuo,0.07146841540706936
1,Annie,mid,Veigar,0.08216620272835594
2,Annie,mid,Orianna,0.11519096966743878
0,Annie,mid,Ezreal,0.053874875987333114
1,Annie,mid,Twitch,0.06251702186850412
2,Annie,mid,Ashe,0.07831713745478856
0,Annie,mid,Lulu,0.07678761441664055
1,Annie,mid,Lux,0.08443855947256469
2,Annie,mid,Blitzcrank,0.0935049867692015
0,Aphelios,bot,Irelia,0.029044470386895824
1,Aphelios,bot,Akali,0.032982106637676686
2,Aphelios,bot,Sett,0.049368970272542285
0,Aphelios,bot,Graves,0.03611912832036236
1,Aphelios,bot,LeeSin,0.0367619263443451
2,Aphelios,bot,Ekko,0.047821760388350655
0,Aphelios,bot,Yasuo,0.02863620919651757
1,Aphelios,bot,Sylas,0.033421408085663774
2,Aphelios,bot,Yone,0.0467147795626369
0,Aphelios,bot,Kaisa,0.02660885613323678
1,Aphelios,bot,Ezreal,0.03289457179987689
2,Aphelios,bot,Jhin,0.041368719760779535
0,Aphelios,bot,Senna,0.025395598816648348
1,Aphelios,bot,Thresh,0.03966388827697289
2,Aphelios,bot,Pyke,0.05778213156499212
0,Ashe,bot,Teemo,0.027144439743592153
1,Ashe,bot,Kayle,0.04779565261601576
2,Ashe,bot,Irelia,0.05165845976660072
0,Ashe,bot,MasterYi,0.030940430978405983
1,Ashe,bot,Kayn,0.041362150611782146
2,Ashe,bot,LeeSin,0.047567091749288005
0,Ashe,bot,Veigar,0.025337675806208115
1,Ashe,bot,Ahri,0.02653635027610291
2,Ashe,bot,Yasuo,0.030190058158824078
0,Ashe,bot,Caitlyn,0.025549452775477377
1,Ashe,bot,MissFortune,0.030927890692072416
2,Ashe,bot,Kaisa,0.03463765907709572
0,Ashe,bot,Lux,0.018677379467527084
1,Ashe,bot,Morgana,0.026521146630570563
2,Ashe,bot,Senna,0.02708833297263245
0,AurelionSol,mid,Teemo,0.13366834975890318
1,AurelionSol,mid,Akali,0.15312118976620318
2,AurelionSol,mid,Irelia,0.1576266620201481
0,AurelionSol,mid,LeeSin,0.11536376016969176
1,AurelionSol,mid,Ekko,0.11815126952582483
2,AurelionSol,mid,Warwick,0.13601424379830723
0,AurelionSol,mid,Yasuo,0.1286169739864579
1,AurelionSol,mid,TwistedFate,0.16844106947926768
2,AurelionSol,mid,Zoe,0.17923637540959117
0,AurelionSol,mid,Jhin,0.077559283083663
1,AurelionSol,mid,Ezreal,0.0787022969151245
2,AurelionSol,mid,Twitch,0.14577443191774436
0,AurelionSol,mid,Xerath,0.1035564292986881
1,AurelionSol,mid,Lulu,0.10394890967051915
2,AurelionSol,mid,Thresh,0.1197181988137711
0,Azir,mid,Irelia,0.08385226119023818
1,Azir,mid,Gangplank,0.09318909046105542
2,Azir,mid,Akali,0.10553295824016842
0,Azir,mid,LeeSin,0.05074603779526915
1,Azir,mid,Ekko,0.0933153372965279
2,Azir,mid,Taliyah,0.11441204833482399
0,Azir,mid,Yasuo,0.09741031129607824
1,Azir,mid,Viktor,0.11802531712677879
2,Azir,mid,Zed,0.11885804890881439
0,Azir,mid,Ezreal,0.058059347270104006
1,Azir,mid,Lucian,0.07065667720891912
2,Azir,mid,Vayne,0.07189352369888934
0,Azir,mid,Thresh,0.04377848397216858
1,Azir,mid,Pantheon,0.08011914787208933
2,Azir,mid,Velkoz,0.10428467375980925
0,Bard,sup,Gragas,0.04046010109683185
1,Bard,sup,Sett,0.05409821397297062
2,Bard,sup,Akali,0.06615265788734158
0,Bard,sup,LeeSin,0.027945294964200448
1,Bard,sup,Graves,0.05241912391813752
2,Bard,sup,Ekko,0.05283815205558672
0,Bard,sup,Yasuo,0.029110340889143223
1,Bard,sup,Galio,0.05011681988607991
2,Bard,sup,Ryze,0.05196912247182358
0,Bard,sup,Ezreal,0.01730423861139244
1,Bard,sup,Jhin,0.03184802875394043
2,Bard,sup,Caitlyn,0.037945752392965694
0,Bard,sup,Thresh,0.024586873332379276
1,Bard,sup,Pyke,0.03770969460486393
2,Bard,sup,Senna,0.045259013248974723
0,Blitzcrank,sup,Malphite,0.01558222391835205
1,Blitzcrank,sup,Teemo,0.019078787867656873
2,Blitzcrank,sup,Garen,0.02421910397607542
0,Blitzcrank,sup,LeeSin,0.010778264134534577
1,Blitzcrank,sup,MasterYi,0.01707373107881168
2,Blitzcrank,sup,Warwick,0.025277155714671335
0,Blitzcrank,sup,Yasuo,0.00929544472954454
1,Blitzcrank,sup,Zed,0.014674602723796396
2,Blitzcrank,sup,Veigar,0.01760787813742587
0,Blitzcrank,sup,Ezreal,0.00748467291293058
1,Blitzcrank,sup,Ashe,0.016223652830727457
2,Blitzcrank,sup,Lucian,0.016829940425174456
0,Blitzcrank,sup,Thresh,0.010258456710486238
1,Blitzcrank,sup,Pyke,0.0216607226107924
2,Blitzcrank,sup,Lux,0.023067329097607347
0,Brand,sup,Malphite,0.03399739295615042
1,Brand,sup,Teemo,0.034345737746485756
2,Brand,sup,Garen,0.05414212319048523
0,Brand,sup,MasterYi,0.04711628642877517
1,Brand,sup,Kayn,0.04865886377991916
2,Brand,sup,LeeSin,0.0492874306325075
0,Brand,sup,Veigar,0.019577499735633084
1,Brand,sup,Annie,0.045823588473264586
2,Brand,sup,Yasuo,0.055158399811739436
0,Brand,sup,MissFortune,0.02745419931458291
1,Brand,sup,Ashe,0.028108723538384284
2,Brand,sup,Ezreal,0.028182182645408962
0,Brand,sup,Lux,0.03194744754011201
1,Brand,sup,Morgana,0.04578606389104511
2,Brand,sup,Amumu,0.07611133133202179
0,Braum,sup,Shen,0.153796754761188
1,Braum,sup,Gragas,0.1595212007402556
2,Braum,sup,Mordekaiser,0.1818076432089989
0,Braum,sup,LeeSin,0.11351873617176814
1,Braum,sup,JarvanIV,0.13889852288610474
2,Braum,sup,Graves,0.18990221882228955
0,Braum,sup,Galio,0.10385755486133787
1,Braum,sup,Yasuo,0.1040636124125017
2,Braum,sup,Zed,0.14907241652812875
0,Braum,sup,Ezreal,0.0626583307501753
1,Braum,sup,Lucian,0.10320085915394556
2,Braum,sup,Ashe,0.12024482762094
0,Braum,sup,Thresh,0.08182700020958944
1,Braum,sup,Leona,0.13368017433079654
2,Braum,sup,Alistar,0.1361811498090424
0,Caitlyn,bot,Teemo,0.01834493126484734
1,Caitlyn,bot,Malphite,0.022530615510546453
2,Caitlyn,bot,Jax,0.02634981623817198
0,Caitlyn,bot,LeeSin,0.013186308814703415
1,Caitlyn,bot,MasterYi,0.01589815959497223
2,Caitlyn,bot,Graves,0.018863365167577167
0,Caitlyn,bot,Yasuo,0.015377323321458972
1,Caitlyn,bot,Veigar,0.0167395721000297
2,Caitlyn,bot,Ahri,0.017725310091816413
0,Caitlyn,bot,Ezreal,0.010656191223854136
1,Caitlyn,bot,Kaisa,0.015113008008459163
2,Caitlyn,bot,Ashe,0.017952022053983135
0,Caitlyn,bot,Lux,0.010450594857321078
1,Caitlyn,bot,Thresh,0.013547263985227948
2,Caitlyn,bot,Senna,0.013881087064574946
0,Camille,top,Fiora,0.018621445293789226
1,Camille,top,Irelia,0.01977850856615205
2,Camille,top,Akali,0.025750529978810062
0,Camille,top,LeeSin,0.013518504700564198
1,Camille,top,MonkeyKing,0.019591971118870857
2,Camille,top,Graves,0.021670845205380686
0,Camille,top,Sylas,0.013291771566335178
1,Camille,top,Vladimir,0.013389620539766216
2,Camille,top,Yasuo,0.01422561224747419
0,Camille,top,Ezreal,0.00911639668802734
1,Camille,top,Lucian,0.014180955721280513
2,Camille,top,Kaisa,0.017194712710870304
0,Camille,top,Thresh,0.018649428128661844
1,Camille,top,Pantheon,0.021801725426731006
2,Camille,top,Pyke,0.022716423201615592
0,Cassiopeia,mid,Akali,0.0253408848087208
1,Cassiopeia,mid,Irelia,0.0298428646893638
2,Cassiopeia,mid,Jax,0.04478784012050858
0,Cassiopeia,mid,LeeSin,0.030158143045253615
1,Cassiopeia,mid,Ekko,0.03769213353697257
2,Cassiopeia,mid,Kayn,0.04900030776692209
0,Cassiopeia,mid,Yasuo,0.028055263514735102
1,Cassiopeia,mid,Ryze,0.04924953133422477
2,Cassiopeia,mid,Veigar,0.051087914592217926
0,Cassiopeia,mid,Ezreal,0.019288049467402528
1,Cassiopeia,mid,Vayne,0.032756556727389155
2,Cassiopeia,mid,Lucian,0.033487922105528284
0,Cassiopeia,mid,Velkoz,0.023259647924530252
1,Cassiopeia,mid,Lux,0.026537362640398313
2,Cassiopeia,mid,Thresh,0.03496841118079694
0,Chogath,top,Malphite,0.08163647520129198
1,Chogath,top,Nasus,0.08903313136403361
2,Chogath,top,Darius,0.1260208573682838
0,Chogath,top,MasterYi,0.06251519537169249
1,Chogath,top,Warwick,0.07053343350031505
2,Chogath,top,LeeSin,0.09249979208751176
0,Chogath,top,Veigar,0.03913517230962527
1,Chogath,top,Yasuo,0.05210964022748257
2,Chogath,top,Galio,0.08232976972686289
0,Chogath,top,Ezreal,0.0429983452726438
1,Chogath,top,Ashe,0.05290744482660208
2,Chogath,top,MissFortune,0.06324732844330418
0,Chogath,top,Blitzcrank,0.05330572106862115
1,Chogath,top,Lux,0.06152715770976339
2,Chogath,top,Soraka,0.07737483945560521
0,Corki,mid,Akali,0.22969417305768014
1,Corki,mid,Fiora,0.30005218574768877
2,Corki,mid,Teemo,0.4553482890591044
0,Corki,mid,Ekko,0.2357322049335182
1,Corki,mid,Poppy,0.3209606401245874
2,Corki,mid,Warwick,0.42236237827842715
0,Corki,mid,Veigar,0.22407864885968137
1,Corki,mid,Sylas,0.3075459132983149
2,Corki,mid,Viktor,0.42148985005565504
0,Corki,mid,Ezreal,0.15691196425387824
1,Corki,mid,Lucian,0.23307354731752108
2,Corki,mid,MissFortune,0.3154370149383799
0,Corki,mid,Lux,0.18255077086774624
1,Corki,mid,Pyke,0.31348675965888756
2,Corki,mid,Amumu,0.3211316980272665
0,Darius,top,Garen,0.012811023939781086
1,Darius,top,Sett,0.013655843312558718
2,Darius,top,Aatrox,0.014585005444185855
0,Darius,top,MasterYi,0.006157263829641751
1,Darius,top,LeeSin,0.006339513168292469
2,Darius,top,Kayn,0.009248668588640261
0,Darius,top,Yasuo,0.0039233547599945
1,Darius,top,Zed,0.0063156361780683686
2,Darius,top,Sylas,0.008971661822333419
0,Darius,top,Ezreal,0.005529777722815789
1,Darius,top,Jhin,0.00680964268314628
2,Darius,top,Lucian,0.007351948303225163
0,Darius,top,Pantheon,0.006974450041139118
1,Darius,top,Pyke,0.0069751163446590304
2,Darius,top,Blitzcrank,0.007467883235240543
0,Diana,jg,Akali,0.016680311413736323
1,Diana,jg,Irelia,0.018042423347577066
2,Diana,jg,Garen,0.03461666719715609
0,Diana,jg,Kayn,0.03031709466520671
1,Diana,jg,MasterYi,0.03242800958256772
2,Diana,jg,Ekko,0.03474607900845795
0,Diana,jg,Yasuo,0.01673094352032077
1,Diana,jg,Ahri,0.029742690352725514
2,Diana,jg,Sylas,0.029993640714097148
0,Diana,jg,Ezreal,0.01497818065801584
1,Diana,jg,Lucian,0.02060207221825745
2,Diana,jg,Kaisa,0.02206240532073183
0,Diana,jg,Lux,0.020180019925735145
1,Diana,jg,Pantheon,0.024409852603973933
2,Diana,jg,Morgana,0.03140255117917658
0,Draven,bot,Rengar,0.01885500491098703
1,Draven,bot,Jax,0.020683094066548825
2,Draven,bot,Darius,0.021643303888943463
0,Draven,bot,LeeSin,0.011649050591831531
1,Draven,bot,Graves,0.015431328230612206
2,Draven,bot,MasterYi,0.016225173533131045
0,Draven,bot,Yasuo,0.007351353535222295
1,Draven,bot,Zed,0.014614930415063837
2,Draven,bot,Katarina,0.020717234135003513
0,Draven,bot,Vayne,0.011669310419784001
1,Draven,bot,Twitch,0.017527760011255774
2,Draven,bot,Jhin,0.017909038847121285
0,Draven,bot,Thresh,0.011545868589479258
1,Draven,bot,Senna,0.015182439210495554
2,Draven,bot,Pyke,0.017331053013752012
0,DrMundo,top,Jax,0.14067949780782926
1,DrMundo,top,Garen,0.14404772126845197
2,DrMundo,top,Volibear,0.16923641903282713
0,DrMundo,top,Warwick,0.10196226676862481
1,DrMundo,top,XinZhao,0.10480079804811136
2,DrMundo,top,MasterYi,0.11346183318444693
0,DrMundo,top,Veigar,0.06843156649150157
1,DrMundo,top,Fizz,0.10535769781541443
2,DrMundo,top,Yasuo,0.11725636077011294
0,DrMundo,top,Twitch,0.09329417210952616
1,DrMundo,top,Jhin,0.09438233236256985
2,DrMundo,top,MissFortune,0.0953780035916273
0,DrMundo,top,Amumu,0.08575224849133588
