,Common1,Common2,Common3
1,99,157,45
2,64,104,141
3,517,99,157
4,81,64,157
5,64,11,141
6,86,82,122
7,64,81,238
8,157,238,81
9,141,19,11
10,145,157,67
11,157,141,64
12,412,53,89
13,81,157,84
14,157,122,86
15,81,51,22
16,99,117,267
17,99,157,86
18,145,81,202
19,141,11,157
20,141,555,19
21,81,99,145
22,81,145,51
23,157,86,24
24,157,11,122
25,99,412,53
26,412,25,63
27,35,86,41
28,141,99,121
29,67,157,145
30,104,64,120
31,86,122,45
32,53,141,54
33,11,141,19
34,81,157,45
35,64,157,141
36,86,82,75
37,99,16,117
38,157,238,8
39,157,84,64
40,117,267,99
41,157,64,202
42,81,112,517
43,412,117,25
44,412,89,497
45,99,157,202
48,64,11,19
50,555,99,202
51,81,145,202
53,412,81,64
54,86,53,81
55,157,238,84
56,11,121,141
57,81,54,111
58,122,157,875
59,64,104,121
60,64,104,76
61,81,134,103
62,157,24,122
63,99,25,81
64,157,81,238
67,81,145,157
68,81,64,58
69,157,161,81
72,82,19,141
74,17,99,45
75,157,86,122
76,64,104,81
77,157,11,141
78,64,157,81
79,64,104,157
80,157,875,555
81,145,67,236
82,122,875,86
83,86,122,75
84,157,39,238
85,81,114,157
86,122,157,875
89,412,99,53
90,45,25,99
91,157,238,141
92,157,64,238
96,81,29,67
98,412,157,81
99,25,103,21
101,81,99,53
102,141,11,121
103,99,81,84
104,64,81,76
105,157,238,81
106,875,157,122
107,157,64,238
110,81,145,202
111,412,89,53
112,81,157,238
113,141,64,59
114,164,39,157
115,81,99,21
117,350,267,99
119,67,157,202
120,64,104,141
121,64,141,157
122,157,86,875
126,164,64,39
127,99,7,81
131,157,141,64
133,81,157,17
134,103,7,84
136,157,141,202
141,157,11,64
142,84,99,157
143,25,99,267
145,81,67,236
147,99,350,117
150,157,81,164
154,64,141,157
157,238,64,81
161,157,99,69
163,64,104,76
164,39,114,157
166,777,157,202
201,412,12,111
202,81,145,157
203,64,104,141
221,145,81,202
222,81,145,67
223,412,122,555
234,64,141,157
235,81,99,145
236,81,145,67
238,157,64,81
240,24,164,122
245,157,64,141
246,84,157,39
254,141,11,19
266,157,122,875
267,117,99,40
268,157,238,112
350,99,117,16
360,145,81,202
412,64,81,53
420,122,86,157
421,64,104,60
427,20,412,35
429,81,67,145
432,412,555,53
497,412,555,12
498,145,81,202
516,875,157,122
517,157,84,39
518,99,103,25
523,81,145,202
526,412,89,875
555,157,412,141
711,517,84,555
777,157,238,84
875,157,122,86
876,104,64,141
887,39,114,164
888,235,412,111
